"Attack2_Damage","Attack2_Name","Name","HP","Attack1_ConvertedEnergyCost","Attack1_Name","Attack1_Damage","Types","Rarity","Supertype","Attack2_Cost","Subtypes","RetreatCost","ID","Attack1_Cost","Attack2_ConvertedEnergyCost"
"70","Submission","Poliwrath","90","2","Corkscrew Punch","30","Fighting","Rare","Pokemon","Fighting, Fighting, Colorless, Colorless","Stage 2","2","neo2-28","Fighting, Colorless","4"
"20+","Double Claw","Scizor","80","1","False Swipe","?","Metal","Rare","Pokemon","Colorless, Colorless, Colorless","Stage 1","2","neo2-29","Metal","3"
,,"Smeargle","50","2","Sketch","","Colorless","Rare","Pokemon",,"Basic","1","neo2-30","Colorless, Colorless",
"50","Trample","Tyranitar","100","3","Slam","30×","Darkness","Rare","Pokemon","Darkness, Darkness, Colorless, Colorless","Stage 2","3","neo2-31","Colorless, Colorless, Colorless","4"
"30","Pursuit","Umbreon","70","2","Quick Attack","10+","Darkness","Rare","Pokemon","Darkness, Colorless, Colorless","Stage 1","1","neo2-32","Colorless, Colorless","3"
,,"Unown [A]","40","1","Hidden Power","10","Psychic","Rare","Pokemon",,"Basic","1","neo2-33","Psychic",
"40×","Double Lariat","Ursaring","80","2","Headpress","20","Colorless","Rare","Pokemon","Colorless, Colorless, Colorless, Colorless","Stage 1","3","neo2-34","Colorless, Colorless","4"
,,"Wobbuffet","90","1","Counter","","Psychic","Rare","Pokemon",,"Basic","3","neo2-35","Psychic",
"30","Swift","Yanma","60","1","Shockwave","","Grass","Rare","Pokemon","Grass, Grass, Grass","Basic","","neo2-36","Grass","3"
"30×","Spike Cannon","Corsola","50","1","Recover","","Water","Uncommon","Pokemon","Fighting, Fighting","Basic","1","neo2-37","Water","2"
,,"Eevee","50","1","Smash Kick","10","Colorless","Uncommon","Pokemon",,"Basic","1","neo2-38","Colorless",
"20","Plunder","Houndour","40","1","Bite","10","Darkness","Uncommon","Pokemon","Darkness, Colorless","Basic","1","neo2-39","Colorless","2"
,,"Igglybuff","30",,,,"Colorless","Uncommon","Pokemon",,"Baby","","neo2-40",,
,,"Kakuna","70","2","Secrete Poison","","Grass","Uncommon","Pokemon",,"Stage 1","2","neo2-41","Grass, Grass",
"","Hatch","Metapod","70","2","Harden","","Grass","Uncommon","Pokemon","Grass, Grass","Stage 1","2","neo2-42","Colorless, Colorless","2"
"20+","Spike Barrage","Omastar","80","1","Squeeze","10+","Fighting","Uncommon","Pokemon","Water, Water, Water","Stage 2","2","neo2-43","Water","3"
"30+","Water Gun","Poliwhirl","70","1","Belly Drum","","Water","Uncommon","Pokemon","Water, Water, Colorless","Stage 1","1","neo2-44","Colorless","3"
"","Dust Devil","Pupitar","70","2","Skull Bash","20","Fighting","Uncommon","Pokemon","Fighting, Fighting","Stage 1","1","neo2-45","Colorless, Colorless","2"
,,"Scyther","60","2","Fury Cutter","10+","Grass","Uncommon","Pokemon",,"Basic","1","neo2-46","Grass, Grass",
,,"Unown [D]","40","1","Hidden Power","10","Psychic","Uncommon","Pokemon",,"Basic","1","neo2-47","Psychic",
,,"Unown [F]","40","1","Hidden Power","10","Psychic","Uncommon","Pokemon",,"Basic","1","neo2-48","Psychic",
,,"Unown [M]","40","1","Hidden Power","10","Psychic","Uncommon","Pokemon",,"Basic","1","neo2-49","Psychic",
,,"Unown [N]","40","1","Hidden Power","10","Psychic","Uncommon","Pokemon",,"Basic","1","neo2-50","Psychic",
,,"Unown [U]","40","1","Hidden Power","10","Psychic","Uncommon","Pokemon",,"Basic","1","neo2-51","Psychic",
"50","Super Psy","Xatu","70","1","Energy Cycle","","Psychic","Uncommon","Pokemon","Psychic, Psychic, Colorless","Stage 1","1","neo2-52","Psychic","3"
,,"Caterpie","50","1","Spin Tackle","20","Grass","Common","Pokemon",,"Basic","1","neo2-53","Colorless",
,,"Dunsparce","30","1","Glare","10","Colorless","Common","Pokemon",,"Basic","","neo2-54","Colorless",
,,"Hoppip","30","1","Rolling Tackle","20","Grass","Common","Pokemon",,"Basic","","neo2-55","Grass",
,,"Kabuto","50","2","Work Together","10+","Water","Common","Pokemon",,"Stage 1","1","neo2-56","Fighting, Colorless",
,,"Larvitar","40","1","Bite","10","Fighting","Common","Pokemon",,"Basic","1","neo2-57","Colorless",
,,"Mareep","50","2","Thunder Jolt","30","Lightning","Common","Pokemon",,"Basic","1","neo2-58","Lightning, Colorless",
,,"Natu","40","1","Confuse Ray","10","Psychic","Common","Pokemon",,"Basic","1","neo2-59","Psychic",
,,"Omanyte","50","1","Bind","10","Fighting","Common","Pokemon",,"Stage 1","1","neo2-60","Water",
,,"Pineco","40","1","Burst","40","Grass","Common","Pokemon",,"Basic","2","neo2-61","Grass",
"","Hypnosis","Poliwag","40","1","Rollout","10","Water","Common","Pokemon","Water","Basic","1","neo2-62","Colorless","1"
"20","Tackle","Sentret","50","1","Scout","","Colorless","Common","Pokemon","Colorless, Colorless","Basic","1","neo2-63","Colorless","2"
,,"Spinarak","50","2","Poison Sting","20","Grass","Common","Pokemon",,"Basic","1","neo2-64","Grass, Colorless",
"","Nap Time","Teddiursa","40","1","Scratch","10","Colorless","Common","Pokemon","Colorless, Colorless","Basic","1","neo2-65","Colorless","2"
,,"Tyrogue","30","1","Smash Punch","30","Fighting","Common","Pokemon",,"Baby","","neo2-66","Colorless",
,,"Unown [E]","40","1","Hidden Power","10","Psychic","Common","Pokemon",,"Basic","1","neo2-67","Psychic",
,,"Unown [I]","40","1","Hidden Power","10","Psychic","Common","Pokemon",,"Basic","1","neo2-68","Psychic",
,,"Unown [O]","40","1","Hidden Power","10","Psychic","Common","Pokemon",,"Basic","1","neo2-69","Psychic",
,,"Weedle","40","1","Spike Stab","20","Grass","Common","Pokemon",,"Basic","1","neo2-70","Grass",
"20","Tail Slap","Wooper","50","1","Slime","","Water","Common","Pokemon","Colorless, Colorless","Basic","1","neo2-71","Water","2"
,,"Fossil Egg",,,,,"","Uncommon","Trainer",,"","","neo2-72",,
,,"Hyper Devolution Spray",,,,,"","Uncommon","Trainer",,"","","neo2-73",,
,,"Ruin Wall",,,,,"","Uncommon","Trainer",,"","","neo2-74",,
,,"Energy Ark",,,,,"","Common","Trainer",,"","","neo2-75",,
