"Name","HP","Attack1_ConvertedEnergyCost","Attack1_Name","Attack1_Damage","Types","Rarity","Supertype","Subtypes","RetreatCost","ID","Attack1_Cost"
"Haunter","70","1","Hypnosis","","Psychic","Uncommon","Pokemon","Stage 1","1","xy12-48","Psychic"
"Drowzee","60","1","Pound","10","Psychic","Common","Pokemon","Basic","1","xy12-49","Colorless"
"Koffing","60","2","Foul Gas","10","Psychic","Uncommon","Pokemon","Basic","1","xy12-50","Psychic, Psychic"
"Mewtwo","130","2","Psychic","20+","Psychic","Rare","Pokemon","Basic","2","xy12-51","Colorless, Colorless"
"Mew","40","2","Psy Bolt","30","Psychic","Rare Holo","Pokemon","Basic","1","xy12-53","Psychic, Colorless"
"Sandshrew","60","1","Sand Attack","10","Fighting","Common","Pokemon","Basic","1","xy12-54","Fighting"
"Diglett","40","2","Dig Through","","Fighting","Common","Pokemon","Basic","1","xy12-55","Fighting, Colorless"
"Dugtrio","90","2","Slash","40","Fighting","Rare","Pokemon","Stage 1","1","xy12-56","Colorless, Colorless"
"Machop","70","2","Dual Chop","20×","Fighting","Common","Pokemon","Basic","2","xy12-57","Fighting, Fighting"
"Machoke","90","2","Karate Chop","60-","Fighting","Uncommon","Pokemon","Stage 1","2","xy12-58","Fighting, Fighting"
"Machamp","160","3","Seismic Toss","120","Fighting","Rare Holo","Pokemon","Stage 2","2","xy12-59","Fighting, Fighting, Fighting"
"Onix","100","1","Harden","","Fighting","Common","Pokemon","Basic","3","xy12-61","Fighting"
"Hitmonchan","90","1","Jab","30","Fighting","Rare Holo","Pokemon","Basic","2","xy12-62","Fighting"
"Clefairy","40","1","Sing","","Fairy","Rare Holo","Pokemon","Basic","1","xy12-63","Colorless"
"Rattata","40","1","Bite","10","Colorless","Common","Pokemon","Basic","1","xy12-66","Colorless"
"Raticate","60","1","Crunch","10","Colorless","Rare","Pokemon","Stage 1","1","xy12-67","Colorless"
"Farfetch'd","70","1","Leek Slap","50","Colorless","Rare","Pokemon","Basic","1","xy12-68","Colorless"
"Doduo","60","1","Fury Attack","10×","Colorless","Common","Pokemon","Basic","1","xy12-69","Colorless"
"Chansey","120","2","Scrunch","","Colorless","Rare Holo","Pokemon","Basic","3","xy12-70","Colorless, Colorless"
"Porygon","60","1","Conversion 3","","Colorless","Uncommon","Pokemon","Basic","1","xy12-71","Colorless"
"Blastoise Spirit Link",,,,,"","Uncommon","Trainer","Pokemon Tool","","xy12-73",
"Brock's Grit",,,,,"","Uncommon","Trainer","Supporter","","xy12-74",
"Charizard Spirit Link",,,,,"","Uncommon","Trainer","Pokemon Tool","","xy12-75",
"Devolution Spray",,,,,"","Uncommon","Trainer","Item","","xy12-76",
"Energy Retrieval",,,,,"","Uncommon","Trainer","Item","","xy12-77",
"Full Heal",,,,,"","Uncommon","Trainer","Item","","xy12-78",
"Maintenance",,,,,"","Uncommon","Trainer","Item","","xy12-79",
"Misty's Determination",,,,,"","Uncommon","Trainer","Supporter","","xy12-80",
"Pidgeot Spirit Link",,,,,"","Uncommon","Trainer","Pokemon Tool","","xy12-81",
"Pokedex",,,,,"","Uncommon","Trainer","Item","","xy12-82",
"Potion",,,,,"","Uncommon","Trainer","Item","","xy12-83",
"Professor Oak's Hint",,,,,"","Uncommon","Trainer","Supporter","","xy12-84",
"Revive",,,,,"","Uncommon","Trainer","Item","","xy12-85",
"Slowbro Spirit Link",,,,,"","Uncommon","Trainer","Pokemon Tool","","xy12-86",
"Super Potion",,,,,"","Uncommon","Trainer","Item","","xy12-87",
"Switch",,,,,"","Uncommon","Trainer","Item","","xy12-88",
"Venusaur Spirit Link",,,,,"","Uncommon","Trainer","Pokemon Tool","","xy12-89",
"Double Colorless Energy",,,,,"","Uncommon","Energy","Special","","xy12-90",
"Grass Energy",,,,,"","Common","Energy","Basic","","xy12-91",
"Fire Energy",,,,,"","Common","Energy","Basic","","xy12-92",
"Water Energy",,,,,"","Common","Energy","Basic","","xy12-93",
"Lightning Energy",,,,,"","Common","Energy","Basic","","xy12-94",
"Psychic Energy",,,,,"","Common","Energy","Basic","","xy12-95",
"Fighting Energy",,,,,"","Common","Energy","Basic","","xy12-96",
"Darkness Energy",,,,,"","Common","Energy","Basic","","xy12-97",
"Metal Energy",,,,,"","Common","Energy","Basic","","xy12-98",
"Fairy Energy",,,,,"","Common","Energy","Basic","","xy12-99",
