"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","RTCOST","Rarity"
"xy4-38","Swalot","Pokemon","Stage 1","110","Psychic","Colorless, Colorless, Colorless","3","Rare"
"xy4-39","Munna","Pokemon","Basic","70","Psychic","Colorless, Colorless","2","Common"
"xy4-40","Musharna","Pokemon","Stage 1","90","Psychic","Colorless, Colorless","2","Rare"
"xy4-41","Litwick","Pokemon","Basic","50","Psychic","Colorless","1","Common"
"xy4-42","Lampent","Pokemon","Stage 1","70","Psychic","Colorless, Colorless","2","Uncommon"
"xy4-43","Chandelure","Pokemon","Stage 2","130","Psychic","Colorless, Colorless","2","Rare Holo"
"xy4-44","Pumpkaboo","Pokemon","Basic","60","Psychic","Colorless, Colorless","2","Common"
"xy4-45","Gourgeist","Pokemon","Stage 1","100","Psychic","Colorless, Colorless, Colorless","3","Rare Holo"
"xy4-46","Gligar","Pokemon","Basic","60","Fighting","Colorless","1","Common"
"xy4-47","Gliscor","Pokemon","Stage 1","90","Fighting","Colorless","1","Rare"
"xy4-48","Roggenrola","Pokemon","Basic","70","Fighting","Colorless, Colorless, Colorless","3","Common"
"xy4-49","Boldore","Pokemon","Stage 1","90","Fighting","Colorless, Colorless, Colorless","3","Uncommon"
"xy4-50","Gigalith","Pokemon","Stage 2","140","Fighting","Colorless, Colorless, Colorless","3","Rare Holo"
"xy4-51","Murkrow","Pokemon","Basic","60","Darkness","Colorless","1","Common"
"xy4-52","Honchkrow","Pokemon","Stage 1","100","Darkness","Colorless","1","Rare"
"xy4-53","Poochyena","Pokemon","Basic","60","Darkness","Colorless","1","Common"
"xy4-54","Mightyena","Pokemon","Stage 1","90","Darkness","Colorless","1","Rare"
"xy4-55","Spiritomb","Pokemon","Basic","70","Darkness","Colorless","1","Rare"
"xy4-56","Purrloin","Pokemon","Basic","50","Darkness","Colorless","1","Common"
"xy4-57","Liepard","Pokemon","Stage 1","90","Darkness","Colorless","1","Uncommon"
"xy4-59","Skarmory","Pokemon","Basic","100","Metal","Colorless","1","Common"
"xy4-60","Bronzor","Pokemon","Basic","50","Metal","Colorless","1","Common"
"xy4-61","Bronzong","Pokemon","Stage 1","90","Metal","Colorless, Colorless, Colorless","3","Rare"
"xy4-63","Heatran","Pokemon","Basic","130","Metal","Colorless, Colorless, Colorless","3","Rare Holo"
"xy4-64","Escavalier","Pokemon","Stage 1","100","Metal","Colorless, Colorless, Colorless","3","Rare"
"xy4-66","Klefki","Pokemon","Basic","70","Metal","Colorless","1","Uncommon"
"xy4-68","Swirlix","Pokemon","Basic","60","Fairy","Colorless","1","Common"
"xy4-69","Slurpuff","Pokemon","Stage 1","90","Fairy","Colorless","1","Rare Holo"
"xy4-70","Dedenne","Pokemon","Basic","70","Fairy","Colorless","1","Common"
"xy4-71","Diancie","Pokemon","Basic","90","Fairy","Colorless","1","Rare Holo"
"xy4-72","Deino","Pokemon","Basic","50","Dragon","Colorless","1","Common"
"xy4-73","Zweilous","Pokemon","Stage 1","90","Dragon","Colorless, Colorless","2","Uncommon"
"xy4-74","Hydreigon","Pokemon","Stage 2","140","Dragon","Colorless, Colorless, Colorless","3","Rare Holo"
"xy4-75","Goomy","Pokemon","Basic","50","Dragon","Colorless, Colorless","2","Common"
"xy4-76","Sliggoo","Pokemon","Stage 1","80","Dragon","Colorless, Colorless, Colorless","3","Uncommon"
"xy4-77","Goodra","Pokemon","Stage 2","140","Dragon","Colorless, Colorless, Colorless","3","Rare Holo"
"xy4-78","Spearow","Pokemon","Basic","60","Colorless","Colorless","1","Common"
"xy4-79","Fearow","Pokemon","Stage 1","90","Colorless","Colorless","1","Uncommon"
"xy4-80","Chansey","Pokemon","Basic","100","Colorless","Colorless, Colorless, Colorless","3","Common"
"xy4-81","Blissey","Pokemon","Stage 1","130","Colorless","Colorless, Colorless, Colorless","3","Rare"
"xy4-82","Girafarig","Pokemon","Basic","90","Colorless","Colorless","1","Uncommon"
"xy4-83","Whismur","Pokemon","Basic","60","Colorless","Colorless","1","Common"
"xy4-84","Loudred","Pokemon","Stage 1","90","Colorless","Colorless, Colorless","2","Uncommon"
"xy4-85","Exploud","Pokemon","Stage 2","140","Colorless","Colorless, Colorless, Colorless","3","Rare"
"xy4-86","Regigigas","Pokemon","Basic","130","Colorless","Colorless, Colorless, Colorless, Colorless","4","Rare Holo"
"xy4-87","Bunnelby","Pokemon","Basic","60","Colorless","Colorless","1","Common"
"xy4-88","Diggersby","Pokemon","Stage 1","100","Colorless","Colorless, Colorless","2","Rare"
"xy4-89","Fletchling","Pokemon","Basic","50","Colorless","Colorless","1","Common"
"xy4-90","Furfrou","Pokemon","Basic","90","Colorless","Colorless","1","Uncommon"
"xy4-91","AZ","Trainer","Supporter",,"","","0","Uncommon"
"xy4-92","Battle Compressor Team Flare Gear","Trainer","Item",,"","","0","Uncommon"
"xy4-93","Dimension Valley","Trainer","Stadium",,"","","0","Uncommon"
"xy4-94","Enhanced Hammer","Trainer","Item",,"","","0","Uncommon"
"xy4-95","Gengar Spirit Link","Trainer","Pokemon Tool",,"","","0","Uncommon"
"xy4-96","Hand Scope","Trainer","Item",,"","","0","Uncommon"
"xy4-97","Head Ringer Team Flare Hyper Gear","Trainer","Pokemon Tool F",,"","","0","Rare Holo"
"xy4-98","Jamming Net Team Flare Hyper Gear","Trainer","Pokemon Tool F",,"","","0","Rare Holo"
"xy4-99","Lysandre's Trump Card","Trainer","Supporter",,"","","0","Uncommon"
"xy4-100","Manectric Spirit Link","Trainer","Pokemon Tool",,"","","0","Uncommon"
"xy4-101","Professor Sycamore","Trainer","Supporter",,"","","0","Uncommon"
"xy4-102","Robo Substitute Team Flare Gear","Trainer","Item",,"","","0","Uncommon"
"xy4-103","Roller Skates","Trainer","Item",,"","","0","Uncommon"
"xy4-104","Shauna","Trainer","Supporter",,"","","0","Uncommon"
"xy4-105","Steel Shelter","Trainer","Stadium",,"","","0","Uncommon"
"xy4-106","Target Whistle Team Flare Gear","Trainer","Item",,"","","0","Uncommon"
"xy4-107","Tierno","Trainer","Supporter",,"","","0","Uncommon"
"xy4-108","Trick Coin","Trainer","Pokemon Tool",,"","","0","Uncommon"
"xy4-109","VS Seeker","Trainer","Item",,"","","0","Uncommon"
"xy4-110","Xerosic","Trainer","Supporter",,"","","0","Uncommon"
"xy4-111","Double Colorless Energy","Energy","Special",,"","","0","Uncommon"
"xy4-112","Mystery Energy","Energy","Special",,"","","0","Uncommon"
