"Attack2_Damage","Attack2_Name","Name","HP","Attack1_ConvertedEnergyCost","Attack1_Name","Attack1_Damage","Types","Rarity","Supertype","Attack2_Cost","Subtypes","RetreatCost","ID","Attack1_Cost","Attack2_ConvertedEnergyCost"
"120+","Circuit Cannon","Vikavolt","160","1","Mach Bolt","50","Lightning","Uncommon","Pokemon","Lightning, Lightning","Stage 2","2","sv5-56","Lightning","2"
"120","Strong Volt","Zeraora","120","1","Shocking Knuckle","20","Lightning","Uncommon","Pokemon","Lightning, Lightning, Colorless","Basic","1","sv5-57","Colorless","3"
,,"Yamper","70","1","Whimsy Tackle","20","Lightning","Common","Pokemon",,"Basic","1","sv5-58","Colorless",
,,"Boltund","120","1","Electrifying Dash","50","Lightning","Uncommon","Pokemon",,"Stage 1","1","sv5-59","Colorless",
"80+","Superalloy Hands","Iron Hands","140","2","Volt Wave","30","Lightning","Uncommon","Pokemon","Lightning, Lightning, Colorless","Basic, Future","3","sv5-61","Lightning, Colorless","3"
"140","Megaton Lariat","Iron Thorns","140","2","Destructo-Press","70×","Lightning","Rare","Pokemon","Lightning, Lightning, Lightning, Colorless","Basic, Future","3","sv5-62","Lightning, Colorless","4"
"20","Eerie Wave","Mr. Mime","90","1","Look-Alike Show","","Psychic","Common","Pokemon","Psychic","Basic","1","sv5-63","Colorless","1"
"40","Magical Shot","Marill","70","1","Ball Roll","10×","Psychic","Common","Pokemon","Psychic, Colorless, Colorless","Basic","2","sv5-64","Colorless","3"
"140","Power Tackle","Azumarill","130","1","Play Rough","30+","Psychic","Common","Pokemon","Psychic, Colorless, Colorless","Stage 1","2","sv5-65","Colorless","3"
,,"Girafarig","90","2","Psychic Assault","20+","Psychic","Common","Pokemon",,"Basic","1","sv5-66","Psychic, Colorless",
"60","Lagoon Flight","Latias","110","1","Allure","","Psychic","Uncommon","Pokemon","Psychic, Colorless","Basic","1","sv5-67","Colorless","2"
,,"Bronzor","80","1","Mirror Attack","10+","Psychic","Common","Pokemon",,"Basic","3","sv5-68","Psychic",
"100","Super Psy Bolt","Bronzong","110","1","Evolution Jammer","30","Psychic","Uncommon","Pokemon","Psychic, Colorless, Colorless","Stage 1","3","sv5-69","Psychic","3"
,,"Solosis","40","1","Surprise Attack","30","Psychic","Common","Pokemon",,"Basic","1","sv5-70","Colorless",
,,"Duosion","80","1","Double Trick","30×","Psychic","Common","Pokemon",,"Stage 1","2","sv5-71","Colorless",
"100","Brain Shake","Reuniclus","120","1","Summoning Gate","","Psychic","Uncommon","Pokemon","Psychic, Colorless","Stage 2","2","sv5-72","Colorless","2"
,,"Elgyem","60","1","Hide","","Psychic","Common","Pokemon",,"Basic","1","sv5-73","Psychic",
,,"Beheeyem","100","1","Cosmic Beatdown","20×","Psychic","Uncommon","Pokemon",,"Stage 1","1","sv5-74","Psychic",
,,"Cutiefly","30","1","Mini Drain","10","Psychic","Common","Pokemon",,"Basic","1","sv5-75","Colorless",
,,"Ribombee","70","1","Plentiful Pollen","30","Psychic","Uncommon","Pokemon",,"Stage 1","","sv5-76","Colorless",
"40","Hyper Voice","Scream Tail","90","1","Supportive Singing","","Psychic","Uncommon","Pokemon","Colorless, Colorless","Basic, Ancient","1","sv5-77","Colorless","2"
,,"Flutter Mane","90","3","Hex Hurl","90","Psychic","Rare","Pokemon",,"Basic, Ancient","1","sv5-78","Colorless, Colorless, Colorless",
"120","Zen Blade","Iron Valiant","130","1","Gemini Laser","20","Psychic","Uncommon","Pokemon","Psychic, Psychic, Colorless","Basic, Future","2","sv5-79","Colorless","3"
"100+","Majestic Sword","Iron Valiant","130","1","Calculation","","Psychic","Rare","Pokemon","Psychic, Psychic, Colorless","Basic, Future","2","sv5-80","Psychic","3"
"30","Kick","Meditite","70","1","Slap","10","Fighting","Common","Pokemon","Colorless, Colorless","Basic","1","sv5-82","Fighting","2"
"110","High Jump Kick","Medicham","120","1","Low Sweep","40","Fighting","Common","Pokemon","Colorless, Colorless, Colorless","Stage 1","1","sv5-83","Fighting","3"
,,"Relicanth","100","2","Razor Fin","30","Fighting","Rare","Pokemon",,"Basic","1","sv5-84","Fighting, Colorless",
,,"Drilbur","70","2","Sand Spray","20","Fighting","Common","Pokemon",,"Basic","1","sv5-85","Fighting, Colorless",
"180","Wild Tackle","Excadrill","130","1","Mud Shot","20","Fighting","Uncommon","Pokemon","Fighting, Fighting, Colorless","Stage 1","2","sv5-86","Colorless","3"
"40","Punch","Golett","90","1","Iron Defense","","Fighting","Common","Pokemon","Colorless, Colorless, Colorless","Basic","3","sv5-87","Fighting","3"
"120+","Fighting Fist","Golurk","160","1","Iron Defense","","Fighting","Uncommon","Pokemon","Colorless, Colorless, Colorless, Colorless","Stage 1","4","sv5-88","Fighting","4"
,,"Rockruff","70","1","Paw Shake Punch","10","Fighting","Common","Pokemon",,"Basic","1","sv5-89","Colorless",
,,"Lycanroc","120","1","Turbo Edge","50","Fighting","Uncommon","Pokemon",,"Stage 1","1","sv5-90","Colorless",
"50","Mud-Slap","Mudbray","80","1","Smash Kick","10","Fighting","Common","Pokemon","Fighting, Colorless, Colorless","Basic","2","sv5-91","Fighting","3"
"140","High Horsepower","Mudsdale","150","1","Mud Stock","","Fighting","Uncommon","Pokemon","Fighting, Colorless, Colorless","Stage 1","3","sv5-92","Fighting","3"
"30","Power Gem","Rolycoly","80","1","Rolling Tackle","10","Fighting","Common","Pokemon","Fighting, Colorless","Basic","3","sv5-93","Fighting","2"
"80","Boulder Crush","Carkol","110","1","Knock Away","20+","Fighting","Common","Pokemon","Fighting, Colorless, Colorless, Colorless","Stage 1","4","sv5-94","Fighting","4"
"150","Cragalanche","Coalossal","180","1","Gatling Tar","40+","Fighting","Uncommon","Pokemon","Fighting, Colorless, Colorless, Colorless","Stage 2","4","sv5-95","Fighting","4"
"80+","Wrathful Charge","Great Tusk","140","2","Lunge Out","30","Fighting","Uncommon","Pokemon","Fighting, Colorless, Colorless","Basic, Ancient","4","sv5-96","Fighting, Colorless","3"
"160","Giant Tusk","Great Tusk","140","2","Land Collapse","","Fighting","Uncommon","Pokemon","Fighting, Fighting, Colorless, Colorless","Basic, Ancient","3","sv5-97","Colorless, Colorless","4"
"60","Power Gem","Sandy Shocks","120","1","Magnetic Burst","20+","Fighting","Uncommon","Pokemon","Fighting, Colorless","Basic, Ancient","2","sv5-98","Fighting","2"
"30","Bite","Ekans","60","1","Poison Blend","","Darkness","Common","Pokemon","Darkness, Darkness","Basic","1","sv5-100","Darkness","2"
"70","Darkness Fang","Arbok","130","1","Panic Poison","","Darkness","Common","Pokemon","Darkness, Darkness","Stage 1","2","sv5-101","Darkness","2"
"30","Suffocating Gas","Gastly","60","1","Mysterious Beam","","Darkness","Common","Pokemon","Darkness, Darkness","Basic","1","sv5-102","Darkness","2"
,,"Haunter","90","2","Super Poison Breath","30","Darkness","Common","Pokemon",,"Stage 1","1","sv5-103","Darkness, Darkness",
,,"Poochyena","70","2","Gnaw Off","30+","Darkness","Common","Pokemon",,"Basic","1","sv5-105","Darkness, Colorless",
"130","Sharp Fang","Mightyena","120","2","Kick Away","50","Darkness","Common","Pokemon","Darkness, Darkness, Colorless","Stage 1","2","sv5-106","Darkness, Colorless","3"
"","Damage Collection","Sableye","70","1","Claw Slash","20","Darkness","Uncommon","Pokemon","Colorless, Colorless","Basic","1","sv5-107","Darkness","2"
"120","Speed Wing","Roaring Moon","140","2","Vengeance Fletching","70+","Darkness","Rare","Pokemon","Darkness, Colorless, Colorless, Colorless","Basic, Ancient","2","sv5-109","Darkness, Darkness","4"
"130","Steel Tackle","Forretress","130","1","Spike Cannon","30×","Metal","Uncommon","Pokemon","Colorless, Colorless, Colorless","Stage 1","3","sv5-110","Metal","3"
"100","Sharp Fang","Mawile","90","2","Invite and Strike","","Metal","Common","Pokemon","Metal, Metal, Colorless","Basic","1","sv5-112","Colorless, Colorless","3"
"50","Iron Tackle","Beldum","70","1","Dig Claws","10","Metal","Common","Pokemon","Metal, Colorless, Colorless","Basic","1","sv5-113","Metal","3"
,,"Metang","100","3","Beam","60","Metal","Common","Pokemon",,"Stage 1","2","sv5-114","Metal, Colorless, Colorless",
"200","Luster Blast","Metagross","180","1","Meteor Mash","60","Metal","Uncommon","Pokemon","Metal, Colorless, Colorless, Colorless","Stage 2","3","sv5-115","Metal","4"
,,"Meltan","80","2","Headbutt","50","Metal","Common","Pokemon",,"Basic","3","sv5-116","Metal, Metal",
"230","Iron Bash","Melmetal","160","3","Hammer In","120","Metal","Rare","Pokemon","Metal, Metal, Metal, Metal, Colorless","Stage 1","4","sv5-117","Metal, Metal, Colorless","5"
,,"Iron Treads","130","2","Wheel Pass","60","Metal","Uncommon","Pokemon",,"Basic, Future","2","sv5-118","Metal, Colorless",
"130","Shred","Koraidon","140","2","Primordial Beatdown","30×","Dragon","Rare","Pokemon","Fire, Fighting, Colorless","Basic, Ancient","2","sv5-119","Fighting, Colorless","3"
"160","Sparking Strike","Miraidon","110","1","Peak Acceleration","40","Dragon","Rare","Pokemon","Lightning, Lightning, Psychic","Basic, Future","2","sv5-121","Colorless","3"
"50","Strength","Lickitung","100","1","Tongue Pull","","Colorless","Common","Pokemon","Colorless, Colorless, Colorless","Basic","3","sv5-124","Colorless","3"
"70×","Tonguenado","Lickilicky","150","2","Body Slam","50","Colorless","Common","Pokemon","Colorless, Colorless, Colorless, Colorless","Stage 1","4","sv5-125","Colorless, Colorless","4"
,,"Hoothoot","70","2","Silent Wing","20","Colorless","Common","Pokemon",,"Basic","1","sv5-126","Colorless, Colorless",
,,"Noctowl","110","2","Talon Hunt","70","Colorless","Common","Pokemon",,"Stage 1","1","sv5-127","Colorless, Colorless",
"30","Dig","Dunsparce","60","1","Gnaw","10","Colorless","Common","Pokemon","Colorless, Colorless","Basic","","sv5-128","Colorless","2"
,,"Dudunsparce","140","3","Land Crush","90","Colorless","Rare","Pokemon",,"Stage 1","3","sv5-129","Colorless, Colorless, Colorless",
"20","Tackle","Skitty","60","1","Call for Family","","Colorless","Common","Pokemon","Colorless, Colorless","Basic","1","sv5-130","Colorless","2"
"110","Energy Blender","Delcatty","110","1","Tail Trickery","30","Colorless","Uncommon","Pokemon","Colorless, Colorless, Colorless","Stage 1","1","sv5-131","Colorless","3"
"20","Gust","Chatot","70","1","A Cappella","","Colorless","Common","Pokemon","Colorless","Basic","1","sv5-132","Colorless","1"
,,"Pidove","50","1","Gust","10","Colorless","Common","Pokemon",,"Basic","1","sv5-133","Colorless",
"70","Jet Wing","Tranquill","80","1","Speed Dive","20","Colorless","Common","Pokemon","Colorless, Colorless","Stage 1","","sv5-134","Colorless","2"
"180","Boundless Power","Unfezant","150","2","Opposing Winds","70","Colorless","Uncommon","Pokemon","Colorless, Colorless, Colorless","Stage 2","","sv5-135","Colorless, Colorless","3"
"","Cleaning Up","Minccino","70","1","Beat","10","Colorless","Common","Pokemon","Colorless, Colorless","Basic","1","sv5-136","Colorless","2"
"70×","Special Roll","Cinccino","110","1","Gentle Slap","30","Colorless","Uncommon","Pokemon","Colorless, Colorless","Stage 1","1","sv5-137","Colorless","2"
"100+","Raging Cannon","Drampa","120","1","Gentle Slap","20","Colorless","Rare","Pokemon","Colorless, Colorless, Colorless","Basic","2","sv5-138","Colorless","3"
,,"Iron Jugulis","130","3","Blasting Wind","110","Colorless","Uncommon","Pokemon",,"Basic, Future","2","sv5-139","Colorless, Colorless, Colorless",
,,"Ancient Booster Energy Capsule",,,,,"","Uncommon","Trainer",,"Pokemon Tool, Ancient","","sv5-140",,
,,"Bianca's Devotion",,,,,"","Uncommon","Trainer",,"Supporter","","sv5-142",,
,,"Boxed Order",,,,,"","Uncommon","Trainer",,"Item","","sv5-143",,
,,"Buddy-Buddy Poffin",,,,,"","Uncommon","Trainer",,"Item","","sv5-144",,
,,"Ciphermaniac's Codebreaking",,,,,"","Uncommon","Trainer",,"Supporter, Future","","sv5-145",,
,,"Eri",,,,,"","Uncommon","Trainer",,"Supporter","","sv5-146",,
,,"Explorer's Guidance",,,,,"","Uncommon","Trainer",,"Supporter, Ancient","","sv5-147",,
,,"Full Metal Lab",,,,,"","Uncommon","Trainer",,"Stadium","","sv5-148",,
,,"Future Booster Energy Capsule",,,,,"","Uncommon","Trainer",,"Pokemon Tool, Future","","sv5-149",,
,,"Hand Trimmer",,,,,"","Uncommon","Trainer",,"Item","","sv5-150",,
,,"Heavy Baton",,,,,"","Uncommon","Trainer",,"Pokemon Tool","","sv5-151",,
,,"Morty's Conviction",,,,,"","Uncommon","Trainer",,"Supporter","","sv5-155",,
,,"Perilous Jungle",,,,,"","Uncommon","Trainer",,"Stadium","","sv5-156",,
,,"Rescue Board",,,,,"","Uncommon","Trainer",,"Pokemon Tool","","sv5-159",,
,,"Salvatore",,,,,"","Uncommon","Trainer",,"Supporter","","sv5-160",,
,,"Mist Energy",,,,,"","Uncommon","Energy",,"Special","","sv5-161",,
