"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","RTCOST","Rarity"
"swsh6-44","Rapid Strike Urshifu","Pokemon","Stage 1, Rapid Strike","140","Water","Colorless, Colorless","2","Rare Holo"
"swsh6-47","Mareep","Pokemon","Basic","70","Lightning","Colorless, Colorless","2","Common"
"swsh6-48","Flaaffy","Pokemon","Stage 1","100","Lightning","Colorless, Colorless","2","Uncommon"
"swsh6-49","Ampharos","Pokemon","Stage 2","160","Lightning","Colorless, Colorless","2","Rare"
"swsh6-50","Blitzle","Pokemon","Basic, Rapid Strike","60","Lightning","Colorless","1","Common"
"swsh6-51","Zebstrika","Pokemon","Stage 1, Rapid Strike","120","Lightning","Colorless","1","Rare"
"swsh6-52","Thundurus","Pokemon","Basic","120","Lightning","Colorless","1","Rare Holo"
"swsh6-54","Galarian Slowpoke","Pokemon","Basic","70","Psychic","Colorless, Colorless","2","Common"
"swsh6-55","Gastly","Pokemon","Basic","50","Psychic","Colorless","1","Common"
"swsh6-56","Haunter","Pokemon","Stage 1","80","Psychic","Colorless","1","Uncommon"
"swsh6-57","Gengar","Pokemon","Stage 2","130","Psychic","Colorless","1","Rare Holo"
"swsh6-59","Ralts","Pokemon","Basic","60","Psychic","Colorless","1","Common"
"swsh6-60","Kirlia","Pokemon","Stage 1","80","Psychic","Colorless","1","Uncommon"
"swsh6-61","Gardevoir","Pokemon","Stage 2","140","Psychic","Colorless, Colorless","2","Rare Holo"
"swsh6-62","Shuppet","Pokemon","Basic, Single Strike","50","Psychic","Colorless","1","Common"
"swsh6-63","Banette","Pokemon","Stage 1, Single Strike","80","Psychic","Colorless","1","Rare"
"swsh6-64","Cresselia","Pokemon","Basic","120","Psychic","Colorless","1","Rare Holo"
"swsh6-65","Golett","Pokemon","Basic","90","Psychic","Colorless, Colorless, Colorless","3","Common"
"swsh6-66","Golurk","Pokemon","Stage 1","150","Psychic","Colorless, Colorless, Colorless, Colorless","4","Rare"
"swsh6-67","Swirlix","Pokemon","Basic","60","Psychic","Colorless","1","Common"
"swsh6-68","Slurpuff","Pokemon","Stage 1","110","Psychic","Colorless, Colorless","2","Rare"
"swsh6-69","Inkay","Pokemon","Basic, Rapid Strike","50","Psychic","Colorless","1","Common"
"swsh6-70","Malamar","Pokemon","Stage 1, Rapid Strike","120","Psychic","Colorless, Colorless, Colorless","3","Rare"
"swsh6-71","Hatenna","Pokemon","Basic","60","Psychic","Colorless","1","Common"
"swsh6-72","Hattrem","Pokemon","Stage 1","80","Psychic","Colorless","1","Uncommon"
"swsh6-73","Hatterene","Pokemon","Stage 2","130","Psychic","Colorless","1","Rare Holo"
"swsh6-76","Diglett","Pokemon","Basic, Rapid Strike","50","Fighting","Colorless","1","Common"
"swsh6-77","Dugtrio","Pokemon","Stage 1, Rapid Strike","90","Fighting","Colorless","1","Rare"
"swsh6-78","Galarian Farfetch'd","Pokemon","Basic, Single Strike","80","Fighting","Colorless","1","Common"
"swsh6-79","Galarian Sirfetch'd","Pokemon","Stage 1, Single Strike","130","Fighting","Colorless, Colorless","2","Rare"
"swsh6-81","Gallade","Pokemon","Stage 2","170","Fighting","Colorless, Colorless","2","Rare"
"swsh6-82","Galarian Yamask","Pokemon","Basic","60","Fighting","Colorless, Colorless","2","Common"
"swsh6-83","Galarian Runerigus","Pokemon","Stage 1","120","Fighting","Colorless, Colorless","2","Rare Holo"
"swsh6-84","Crabrawler","Pokemon","Basic","80","Fighting","Colorless, Colorless, Colorless","3","Common"
"swsh6-85","Crabominable","Pokemon","Stage 1","150","Fighting","Colorless, Colorless, Colorless, Colorless","4","Uncommon"
"swsh6-86","Rockruff","Pokemon","Basic, Single Strike","70","Fighting","Colorless","1","Common"
"swsh6-87","Lycanroc","Pokemon","Stage 1, Single Strike","120","Fighting","Colorless, Colorless","2","Rare Holo"
"swsh6-88","Passimian","Pokemon","Basic, Rapid Strike","110","Fighting","Colorless","1","Rare"
"swsh6-91","Clobbopus","Pokemon","Basic","70","Fighting","Colorless, Colorless","2","Common"
"swsh6-92","Grapploct","Pokemon","Stage 1","140","Fighting","Colorless, Colorless, Colorless","3","Rare Holo"
"swsh6-93","Kubfu","Pokemon","Basic","70","Fighting","Colorless","1","Common"
"swsh6-94","Koffing","Pokemon","Basic","70","Darkness","Colorless","1","Common"
"swsh6-95","Weezing","Pokemon","Stage 1","130","Darkness","Colorless, Colorless","2","Rare"
"swsh6-96","Galarian Weezing","Pokemon","Stage 1","130","Darkness","Colorless, Colorless","2","Rare"
"swsh6-98","Galarian Slowking","Pokemon","Stage 1","120","Darkness","Colorless, Colorless, Colorless","3","Rare Holo"
"swsh6-101","Qwilfish","Pokemon","Basic, Single Strike","90","Darkness","Colorless","1","Common"
"swsh6-102","Seviper","Pokemon","Basic, Single Strike","110","Darkness","Colorless, Colorless","2","Rare"
"swsh6-103","Spiritomb","Pokemon","Basic","70","Darkness","Colorless","1","Rare"
"swsh6-105","Venipede","Pokemon","Basic","70","Darkness","Colorless, Colorless","2","Common"
"swsh6-106","Whirlipede","Pokemon","Stage 1","90","Darkness","Colorless, Colorless, Colorless","3","Uncommon"
"swsh6-107","Scolipede","Pokemon","Stage 2","160","Darkness","Colorless, Colorless, Colorless","3","Rare"
"swsh6-108","Single Strike Urshifu","Pokemon","Stage 1, Single Strike","140","Darkness","Colorless, Colorless","2","Rare Holo"
"swsh6-109","Aron","Pokemon","Basic","70","Metal","Colorless, Colorless","2","Common"
"swsh6-110","Lairon","Pokemon","Stage 1","100","Metal","Colorless, Colorless, Colorless","3","Uncommon"
"swsh6-111","Aggron","Pokemon","Stage 2","180","Metal","Colorless, Colorless, Colorless, Colorless","4","Rare"
"swsh6-114","Cobalion","Pokemon","Basic","120","Metal","Colorless, Colorless","2","Rare Holo"
"swsh6-115","Tauros","Pokemon","Basic, Single Strike","130","Colorless","Colorless, Colorless","2","Rare Holo"
"swsh6-116","Porygon","Pokemon","Basic","60","Colorless","Colorless, Colorless","2","Common"
"swsh6-117","Porygon2","Pokemon","Stage 1","90","Colorless","Colorless, Colorless","2","Uncommon"
"swsh6-118","Porygon-Z","Pokemon","Stage 2","140","Colorless","Colorless, Colorless","2","Rare Holo"
"swsh6-120","Zangoose","Pokemon","Basic, Rapid Strike","110","Colorless","Colorless, Colorless","2","Rare"
"swsh6-121","Castform","Pokemon","Basic","70","Colorless","","0","Common"
"swsh6-122","Kecleon","Pokemon","Basic, Rapid Strike","90","Colorless","Colorless, Colorless","2","Rare"
"swsh6-123","Shaymin","Pokemon","Basic","70","Colorless","Colorless","1","Rare Holo"
"swsh6-126","Furfrou","Pokemon","Basic","90","Colorless","Colorless","1","Common"
"swsh6-127","Skwovet","Pokemon","Basic","60","Colorless","Colorless","1","Common"
"swsh6-128","Greedent","Pokemon","Stage 1","120","Colorless","Colorless","1","Rare Holo"
"swsh6-129","Agatha","Trainer","Supporter",,"","","0","Uncommon"
"swsh6-130","Avery","Trainer","Supporter",,"","","0","Uncommon"
"swsh6-131","Brawly","Trainer","Supporter, Rapid Strike",,"","","0","Uncommon"
"swsh6-132","Caitlin","Trainer","Supporter",,"","","0","Uncommon"
"swsh6-133","Crushing Gloves","Trainer","Pokemon Tool",,"","","0","Uncommon"
"swsh6-134","Doctor","Trainer","Supporter",,"","","0","Uncommon"
"swsh6-135","Dyna Tree Hill","Trainer","Stadium",,"","","0","Uncommon"
"swsh6-136","Echoing Horn","Trainer","Item, Rapid Strike",,"","","0","Uncommon"
"swsh6-137","Expedition Uniform","Trainer","Item",,"","","0","Uncommon"
"swsh6-138","Fire-Resistant Gloves","Trainer","Pokemon Tool",,"","","0","Uncommon"
"swsh6-139","Flannery","Trainer","Supporter, Single Strike",,"","","0","Uncommon"
"swsh6-140","Fog Crystal","Trainer","Item",,"","","0","Uncommon"
"swsh6-141","Galarian Chestplate","Trainer","Pokemon Tool",,"","","0","Uncommon"
"swsh6-142","Honey","Trainer","Supporter",,"","","0","Uncommon"
"swsh6-143","Justified Gloves","Trainer","Pokemon Tool",,"","","0","Uncommon"
"swsh6-144","Karen's Conviction","Trainer","Supporter, Single Strike",,"","","0","Uncommon"
"swsh6-145","Klara","Trainer","Supporter",,"","","0","Uncommon"
"swsh6-146","Melony","Trainer","Supporter",,"","","0","Uncommon"
"swsh6-147","Old Cemetery","Trainer","Stadium",,"","","0","Uncommon"
"swsh6-148","Path to the Peak","Trainer","Stadium",,"","","0","Uncommon"
"swsh6-149","Peonia","Trainer","Supporter",,"","","0","Uncommon"
"swsh6-150","Peony","Trainer","Supporter",,"","","0","Uncommon"
"swsh6-151","Rapid Strike Scroll of the Skies","Trainer","Pokemon Tool, Rapid Strike",,"","","0","Uncommon"
"swsh6-152","Rugged Helmet","Trainer","Pokemon Tool",,"","","0","Uncommon"
"swsh6-153","Siebold","Trainer","Supporter, Rapid Strike",,"","","0","Uncommon"
"swsh6-154","Single Strike Scroll of Piercing","Trainer","Pokemon Tool, Single Strike",,"","","0","Uncommon"
"swsh6-155","Weeding Gloves","Trainer","Pokemon Tool",,"","","0","Uncommon"
"swsh6-156","Welcoming Lantern","Trainer","Item, Single Strike",,"","","0","Uncommon"
"swsh6-157","Impact Energy","Energy","Special, Single Strike",,"","","0","Uncommon"
"swsh6-158","Lucky Energy","Energy","Special",,"","","0","Uncommon"
"swsh6-159","Spiral Energy","Energy","Special, Rapid Strike",,"","","0","Uncommon"
