"Attack2_Damage","Attack2_Name","Name","HP","Attack1_ConvertedEnergyCost","Attack1_Name","Attack1_Damage","Types","Rarity","Supertype","Attack2_Cost","Subtypes","RetreatCost","ID","Attack1_Cost","Attack2_ConvertedEnergyCost"
"50+","Rising Lunge","Rapidash","80","1","Fire Mane","20","Fire","Rare","Pokemon","Fire, Colorless, Colorless","Stage 1","","pl4-28","Fire","3"
"20+","Extend Fang","Raticate","70","1","Recruit","","Colorless","Rare","Pokemon","Colorless","Stage 1","","pl4-29","Colorless","1"
"60","Poison Claws","Sceptile","120","1","Leaf Blast","20×","Grass","Rare","Pokemon","Grass, Colorless, Colorless, Colorless","Stage 2","2","pl4-30","Grass","4"
"70×","Dual Cut","Sceptile","130","1","Leaf Supply","30","Grass","Rare","Pokemon","Grass, Colorless, Colorless","Stage 2","1","pl4-31","Grass","3"
"10","Will-o'-the-wisp","Spiritomb","60","0","Darkness Grace","","Darkness","Rare","Pokemon","Darkness","Basic","1","pl4-32","","1"
"50","Hyper Beam","Bronzong","90","1","Wide Laser","","Metal","Uncommon","Pokemon","Colorless, Colorless, Colorless","Stage 1","3","pl4-33","Metal","3"
"30+","Extrasensory","Bronzor","50","1","Speed Dive","10","Metal","Uncommon","Pokemon","Colorless, Colorless, Colorless","Basic","2","pl4-34","Metal","3"
"50","Fire Punch","Charmeleon","80","2","Slam","30×","Fire","Uncommon","Pokemon","Fire, Colorless, Colorless","Stage 1","1","pl4-35","Colorless, Colorless","3"
"10","Night Shade","Gastly","50","1","Lick","10","Psychic","Uncommon","Pokemon","Colorless, Colorless","Basic","1","pl4-36","Psychic","2"
"70","Double-edge","Graveler","90","2","Tackle","30","Fighting","Uncommon","Pokemon","Fighting, Fighting, Colorless","Stage 1","3","pl4-37","Colorless, Colorless","3"
"30","Blade Arms","Grovyle","80","1","Detect","","Grass","Uncommon","Pokemon","Grass, Colorless","Stage 1","1","pl4-38","Colorless","2"
"50","Cut","Grovyle","80","2","Quick Attack","20+","Grass","Uncommon","Pokemon","Grass, Colorless, Colorless","Stage 1","1","pl4-39","Colorless, Colorless","3"
"10","Pound","Gulpin","60","1","Endure","","Psychic","Uncommon","Pokemon","Psychic","Basic","2","pl4-40","Colorless","1"
,,"Haunter","70","2","Tongue Spring","","Psychic","Uncommon","Pokemon",,"Stage 1","1","pl4-41","Psychic, Colorless",
"30","Shadow Bind","Haunter","80","1","Psyshot","20","Psychic","Uncommon","Pokemon","Colorless, Colorless","Stage 1","1","pl4-42","Psychic","2"
"40×","Discharge","Luxio","80","1","Kick","20","Lightning","Uncommon","Pokemon","Lightning, Colorless, Colorless","Stage 1","1","pl4-43","Colorless","3"
"60","Head Bolt","Manectric","90","1","Tackle","20","Lightning","Uncommon","Pokemon","Lightning, Colorless, Colorless","Stage 1","","pl4-44","Colorless","3"
"60","Wing Attack","Pelipper","90","1","Water Ball","","Water","Uncommon","Pokemon","Water, Colorless, Colorless","Stage 1","2","pl4-45","Colorless","3"
"20","Combustion","Ponyta","40","1","Ascension","","Fire","Uncommon","Pokemon","Fire, Colorless","Basic","1","pl4-46","Colorless","2"
"40","Flare","Rapidash","90","1","Searing Flame","10","Fire","Uncommon","Pokemon","Fire, Colorless","Stage 1","","pl4-47","Fire","2"
"40+","Dragon Bump","Shelgon","80","1","Scrunch","","Colorless","Uncommon","Pokemon","Colorless, Colorless, Colorless","Stage 1","1","pl4-48","Colorless","3"
"50","Cloak Scale","Wormadam Plant Cloak","80","1","Magical Needle","20","Grass","Uncommon","Pokemon","Grass, Colorless, Colorless","Stage 1","1","pl4-49","Grass","3"
"60+","Cloak Headbutt","Wormadam Sandy Cloak","90","1","Hang Down","30","Fighting","Uncommon","Pokemon","Fighting, Colorless, Colorless","Stage 1","1","pl4-50","Fighting","3"
"30","Serve Trash","Wormadam Trash Cloak","90","1","Cloak Shard","","Metal","Uncommon","Pokemon","Colorless, Colorless","Stage 1","1","pl4-51","Metal","2"
"20","Super Singe","Bagon","60","1","Smash Kick","10","Colorless","Common","Pokemon","Fire, Colorless","Basic","1","pl4-52","Colorless","2"
"30×","Fury Attack","Beedrill G","80","1","Raid","10","Grass","Common","Pokemon","Grass, Colorless, Colorless","Basic, SP","1","pl4-53","Grass","3"
"20","Spinning Attack","Bronzor","60","1","Hypnosis","10","Metal","Common","Pokemon","Colorless, Colorless","Basic","2","pl4-54","Metal","2"
,,"Buneary","50","1","Bunny Hop","","Colorless","Common","Pokemon",,"Basic","1","pl4-55","Colorless",
,,"Burmy Plant Cloak","40","2","Tackle","20","Grass","Common","Pokemon",,"Basic","1","pl4-56","Grass, Colorless",
,,"Burmy Sandy Cloak","40","2","Tackle","20","Grass","Common","Pokemon",,"Basic","1","pl4-57","Fighting, Colorless",
,,"Burmy Trash Cloak","40","2","Tackle","20","Grass","Common","Pokemon",,"Basic","1","pl4-58","Metal, Colorless",
"20","Steady Firebreathing","Charmander","60","1","Call for Friends","","Fire","Common","Pokemon","Fire, Colorless","Basic","1","pl4-59","Colorless","2"
"20","Solarbeam","Cherubi","50","1","Ram","10","Grass","Common","Pokemon","Grass, Colorless","Basic","1","pl4-60","Colorless","2"
"30","Punch","Croagunk","60","1","Astonish","","Fighting","Common","Pokemon","Fighting, Colorless","Basic","1","pl4-61","Colorless","2"
"30","Thunder Jolt","Electrike","60","1","Zap Kick","10","Lightning","Common","Pokemon","Lightning, Colorless","Basic","1","pl4-62","Lightning","2"
,,"Electrike","60","1","Bite","10","Lightning","Common","Pokemon",,"Basic","1","pl4-63","Colorless",
"20","Suffocating Gas","Gastly","50","1","Gnaw","10","Psychic","Common","Pokemon","Psychic, Colorless","Basic","1","pl4-64","Colorless","2"
,,"Geodude","60","1","Stone Barrage","10×","Fighting","Common","Pokemon",,"Basic","2","pl4-65","Fighting",
"20","Drool","Gulpin","60","1","Collect","","Psychic","Common","Pokemon","Psychic, Colorless","Basic","1","pl4-66","Colorless","2"
"30","Speed Attack","Kabuto","80","1","Fast Evolution","","Fighting","Common","Pokemon","Fighting, Colorless","Stage 1","1","pl4-67","Colorless","2"
"30","Magnum Punch","Makuhita","70","1","Sand Attack","","Fighting","Common","Pokemon","Fighting, Colorless","Basic","2","pl4-68","Colorless","2"
"20+","Knock Away","Nosepass","70","1","Harden","","Fighting","Common","Pokemon","Fighting, Colorless","Basic","1","pl4-69","Colorless","2"
"20","Tickle","Omanyte","80","1","Collect","","Water","Common","Pokemon","Colorless, Colorless","Stage 1","1","pl4-70","Water","2"
"","Mega Shot","Pikachu","60","1","Pika Ball","10","Lightning","Common","Pokemon","Lightning, Colorless, Colorless","Basic","1","pl4-71","Lightning","3"
"10","Stomp","Ponyta","60","1","Tackle","10","Fire","Common","Pokemon","Fire, Colorless","Basic","1","pl4-72","Colorless","2"
,,"Rattata","30","1","Lunge","30","Colorless","Common","Pokemon",,"Basic","","pl4-73","Colorless",
"20","Swagger","Shinx","60","1","Gnaw","10","Lightning","Common","Pokemon","Colorless, Colorless","Basic","1","pl4-74","Colorless","2"
"20×","Double Headbutt","Snorunt","50","1","Ice Breath","","Water","Common","Pokemon","Water, Colorless","Basic","1","pl4-75","Colorless","2"
"20","Sleep Powder","Tangela","70","1","Absorb","10","Grass","Common","Pokemon","Grass, Colorless","Basic","2","pl4-76","Colorless","2"
"30","Stun Spore","Tangela","60","1","Collect","","Grass","Common","Pokemon","Grass, Colorless, Colorless","Basic","1","pl4-77","Colorless","3"
,,"Treecko","60","2","Tail Crush","20+","Grass","Common","Pokemon",,"Basic","1","pl4-78","Colorless, Colorless",
"20","Slash","Treecko","60","1","Pound","10","Grass","Common","Pokemon","Grass, Colorless","Basic","1","pl4-79","Colorless","2"
"30","Slashing Strike","Wingull","40","1","Glide","10","Water","Common","Pokemon","Water, Colorless","Basic","1","pl4-80","Colorless","2"
,,"Wingull","50","1","Rain Splash","20","Water","Common","Pokemon",,"Basic","1","pl4-81","Water",
,,"Beginning Door",,,,,"","Uncommon","Trainer",,"Item","","pl4-82",,
,,"Bench Shield",,,,,"","Uncommon","Trainer",,"Pokemon Tool","","pl4-83",,
,,"Buffer Piece",,,,,"","Uncommon","Trainer",,"Pokemon Tool","","pl4-84",,
,,"Department Store Girl",,,,,"","Uncommon","Trainer",,"Supporter","","pl4-85",,
,,"Energy Restore",,,,,"","Uncommon","Trainer",,"Item","","pl4-86",,
,,"Expert Belt",,,,,"","Uncommon","Trainer",,"Pokemon Tool","","pl4-87",,
,,"Lucky Egg",,,,,"","Uncommon","Trainer",,"Pokemon Tool","","pl4-88",,
,,"Old Amber","50",,,,"","Common","Trainer",,"Item","","pl4-89",,
,,"Professor Oak's Visit",,,,,"","Uncommon","Trainer",,"Supporter","","pl4-90",,
,,"Ultimate Zone",,,,,"","Uncommon","Trainer",,"Stadium","","pl4-91",,
,,"Dome Fossil","50",,,,"","Common","Trainer",,"Item","","pl4-92",,
,,"Helix Fossil","50",,,,"","Common","Trainer",,"Item","","pl4-93",,
,,"Bagon","50","1","Dragon Rage","40","Colorless","Rare","Pokemon",,"Basic","1","pl4-SH10","Colorless",
,,"Ponyta","60","2","Blue Fire","50","Fire","Rare","Pokemon",,"Basic","1","pl4-SH11","Fire, Fire",
,,"Shinx","50","1","Payback","10+","Lightning","Rare","Pokemon",,"Basic","1","pl4-SH12","Lightning",
,,"Arceus","70","2","Prize Count","20+","Darkness","Rare","Pokemon",,"Basic","1","pl4-AR1","Darkness, Colorless",
,,"Arceus","90","2","Leaf Refresh","30","Grass","Rare","Pokemon",,"Basic","2","pl4-AR2","Grass, Colorless",
,,"Arceus","80","3","Bright Flame","80","Fire","Rare","Pokemon",,"Basic","1","pl4-AR3","Fire, Colorless, Colorless",
,,"Arceus","90","3","Fastwave","50","Water","Rare","Pokemon",,"Basic","2","pl4-AR4","Water, Colorless, Colorless",
"","Sky Spear","Arceus","80","0","Ripple Swell","","Colorless","Rare","Pokemon","Colorless, Colorless, Colorless","Basic","1","pl4-AR5","","3"
,,"Arceus","70","2","Lightning Turn","30","Lightning","Rare","Pokemon",,"Basic","1","pl4-AR6","Lightning, Colorless",
,,"Arceus","80","3","Mind Bend","40","Psychic","Rare","Pokemon",,"Basic","1","pl4-AR7","Psychic, Colorless, Colorless",
,,"Arceus","80","3","Break Ground","60","Fighting","Rare","Pokemon",,"Basic","2","pl4-AR8","Fighting, Colorless, Colorless",
,,"Arceus","90","3","Metal Barrier","40","Metal","Rare","Pokemon",,"Basic","2","pl4-AR9","Metal, Colorless, Colorless",
