"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","RTCOST","Rarity"
"ex7-31","Dark Dragonair","Pokemon","Stage 1","70","Darkness","Colorless","1","Uncommon"
"ex7-32","Dark Dragonair","Pokemon","Stage 1","80","Darkness","Colorless","1","Uncommon"
"ex7-33","Dark Flaaffy","Pokemon","Stage 1","80","Lightning, Darkness","Colorless","1","Uncommon"
"ex7-34","Dark Golbat","Pokemon","Stage 1","70","Grass, Darkness","","0","Uncommon"
"ex7-35","Dark Golduck","Pokemon","Stage 1","70","Water, Darkness","Colorless","1","Uncommon"
"ex7-36","Dark Gyarados","Pokemon","Stage 1","80","Water, Darkness","Colorless, Colorless","2","Uncommon"
"ex7-37","Dark Houndoom","Pokemon","Stage 1","70","Fire, Darkness","Colorless","1","Uncommon"
"ex7-38","Dark Magcargo","Pokemon","Stage 1","80","Fire, Darkness","Colorless, Colorless","2","Uncommon"
"ex7-39","Dark Magneton","Pokemon","Stage 1","70","Lightning, Darkness","Colorless","1","Uncommon"
"ex7-40","Dark Pupitar","Pokemon","Stage 1","70","Fighting, Darkness","Colorless","1","Uncommon"
"ex7-41","Dark Pupitar","Pokemon","Stage 1","80","Fighting, Darkness","Colorless, Colorless","2","Uncommon"
"ex7-42","Dark Weezing","Pokemon","Stage 1","80","Grass, Darkness","Colorless, Colorless","2","Uncommon"
"ex7-43","Heracross","Pokemon","Basic","70","Fighting","Colorless","1","Uncommon"
"ex7-44","Magmar","Pokemon","Basic","70","Fire","Colorless","1","Uncommon"
"ex7-45","Mantine","Pokemon","Basic","70","Water","Colorless","1","Uncommon"
"ex7-46","Rocket's Meowth","Pokemon","Basic","60","Darkness","Colorless","1","Uncommon"
"ex7-47","Rocket's Wobbuffet","Pokemon","Basic","70","Darkness","Colorless","1","Uncommon"
"ex7-48","Seadra","Pokemon","Stage 1","70","Water","Colorless","1","Uncommon"
"ex7-49","Skiploom","Pokemon","Stage 1","60","Grass","","0","Uncommon"
"ex7-50","Togepi","Pokemon","Basic","40","Colorless","Colorless","1","Uncommon"
"ex7-51","Cubone","Pokemon","Basic","50","Fighting","Colorless","1","Common"
"ex7-52","Dratini","Pokemon","Basic","40","Colorless","Colorless","1","Common"
"ex7-53","Dratini","Pokemon","Basic","50","Colorless","Colorless","1","Common"
"ex7-54","Drowzee","Pokemon","Basic","50","Psychic","Colorless","1","Common"
"ex7-55","Ekans","Pokemon","Basic","60","Grass","Colorless","1","Common"
"ex7-56","Grimer","Pokemon","Basic","50","Grass","Colorless","1","Common"
"ex7-57","Hoppip","Pokemon","Basic","30","Grass","Colorless","1","Common"
"ex7-58","Horsea","Pokemon","Basic","50","Water","Colorless","1","Common"
"ex7-59","Houndour","Pokemon","Basic","50","Fire","Colorless","1","Common"
"ex7-60","Houndour","Pokemon","Basic","50","Fire","Colorless","1","Common"
"ex7-61","Koffing","Pokemon","Basic","50","Grass","Colorless","1","Common"
"ex7-62","Larvitar","Pokemon","Basic","50","Fighting","Colorless","1","Common"
"ex7-63","Larvitar","Pokemon","Basic","50","Fighting","Colorless","1","Common"
"ex7-64","Ledyba","Pokemon","Basic","50","Grass","Colorless","1","Common"
"ex7-65","Magikarp","Pokemon","Basic","30","Water","Colorless","1","Common"
"ex7-66","Magnemite","Pokemon","Basic","50","Lightning","Colorless","1","Common"
"ex7-67","Mareep","Pokemon","Basic","50","Lightning","Colorless","1","Common"
"ex7-68","Marill","Pokemon","Basic","50","Water","Colorless","1","Common"
"ex7-69","Onix","Pokemon","Basic","80","Fighting","Colorless, Colorless, Colorless","3","Common"
"ex7-70","Psyduck","Pokemon","Basic","50","Water","Colorless","1","Common"
"ex7-71","Rattata","Pokemon","Basic","40","Colorless","Colorless","1","Common"
"ex7-72","Rattata","Pokemon","Basic","40","Colorless","Colorless","1","Common"
"ex7-73","Remoraid","Pokemon","Basic","50","Water","Colorless","1","Common"
"ex7-74","Sandshrew","Pokemon","Basic","50","Fighting","Colorless","1","Common"
"ex7-75","Sentret","Pokemon","Basic","50","Colorless","Colorless","1","Common"
"ex7-76","Slowpoke","Pokemon","Basic","50","Psychic","Colorless","1","Common"
"ex7-77","Slugma","Pokemon","Basic","50","Fire","Colorless, Colorless","2","Common"
"ex7-78","Spinarak","Pokemon","Basic","50","Grass","Colorless","1","Common"
"ex7-79","Swinub","Pokemon","Basic","50","Fighting","Colorless","1","Common"
"ex7-80","Voltorb","Pokemon","Basic","40","Lightning","Colorless","1","Common"
"ex7-81","Wooper","Pokemon","Basic","50","Water","Colorless","1","Common"
"ex7-82","Zubat","Pokemon","Basic","50","Grass","Colorless","1","Common"
"ex7-83","Copycat","Trainer","Supporter",,"","","0","Uncommon"
"ex7-84","Pokemon Retriever","Trainer","Rocket's Secret Machine",,"","","0","Uncommon"
"ex7-85","Pow! Hand Extension","Trainer","Rocket's Secret Machine",,"","","0","Uncommon"
"ex7-86","Rocket's Admin.","Trainer","Supporter",,"","","0","Uncommon"
"ex7-87","Rocket's Hideout","Trainer","Stadium",,"","","0","Uncommon"
"ex7-88","Rocket's Mission","Trainer","Supporter",,"","","0","Uncommon"
"ex7-89","Rocket's Poke Ball","Trainer","Item",,"","","0","Uncommon"
"ex7-90","Rocket's Tricky Gym","Trainer","Stadium",,"","","0","Uncommon"
"ex7-91","Surprise! Time Machine","Trainer","Rocket's Secret Machine",,"","","0","Uncommon"
"ex7-92","Swoop! Teleporter","Trainer","Rocket's Secret Machine",,"","","0","Uncommon"
"ex7-93","Venture Bomb","Trainer","Rocket's Secret Machine",,"","","0","Uncommon"
"ex7-94","Dark Metal Energy","Energy","Special",,"","","0","Uncommon"
"ex7-95","R Energy","Energy","Special",,"","","0","Uncommon"
