"Name","HP","Attack1_ConvertedEnergyCost","Attack1_Name","Attack1_Damage","Types","Rarity","Supertype","Subtypes","RetreatCost","ID","Attack1_Cost"
"Deoxys Attack Forme","80","3","Psychic Boost","80","Psychic","Rare","Pokemon","Basic","2","dp6-24","Psychic, Psychic, Colorless"
"Deoxys Defense Forme","100","3","Psychic Defense","40","Psychic","Rare","Pokemon","Basic","2","dp6-25","Psychic, Colorless, Colorless"
"Deoxys Speed Forme","70","2","Speed Shot","","Psychic","Rare","Pokemon","Basic","","dp6-26","Colorless, Colorless"
"Ditto","60",,,,"Colorless","Rare","Pokemon","Basic","1","dp6-27",
"Forretress","90","4","Explosion","100","Metal","Rare","Pokemon","Stage 1","2","dp6-28","Metal, Metal, Colorless, Colorless"
"Groudon","100","0","Drought","","Fighting","Rare","Pokemon","Basic","3","dp6-29",""
"Heatran","100","3","Heavy Metal","40+","Metal","Rare","Pokemon","Basic","3","dp6-30","Colorless, Colorless, Colorless"
"Jirachi","70","0","One Desire","","Metal","Rare","Pokemon","Basic","1","dp6-31",""
"Kyogre","100","0","Drizzle","","Water","Rare","Pokemon","Basic","3","dp6-32",""
"Lopunny","80","0","Collect","","Colorless","Rare","Pokemon","Stage 1","1","dp6-33",""
"Mesprit","70","2","Extrasensory","20+","Psychic","Rare","Pokemon","Basic","1","dp6-34","Psychic, Psychic"
"Poliwrath","130","1","Focus Punch","60","Water","Rare","Pokemon","Stage 2","2","dp6-35","Fighting"
"Regice","90","3","Ice Reflect","50","Water","Rare","Pokemon","Basic","3","dp6-36","Water, Water, Colorless"
"Regigigas","100","3","Gigaton Punch","60+","Colorless","Rare","Pokemon","Basic","4","dp6-37","Colorless, Colorless, Colorless"
"Regirock","90","3","Stone Edge","40+","Fighting","Rare","Pokemon","Basic","3","dp6-38","Fighting, Fighting, Colorless"
"Registeel","90","3","Rotating Claws","50","Metal","Rare","Pokemon","Basic","4","dp6-39","Metal, Colorless, Colorless"
"Shedinja","60","1","Curse and Deceive","","Grass","Rare","Pokemon","Stage 1","","dp6-40","Colorless"
"Torkoal","80","2","Black Soot","30","Fire","Rare","Pokemon","Basic","2","dp6-41","Fire, Colorless"
"Unown [!]","50","1","Hidden Power","10+","Psychic","Rare","Pokemon","Basic","1","dp6-42","Psychic"
"Uxie","70","1","Psychic Restore","20","Psychic","Rare","Pokemon","Basic","1","dp6-43","Colorless"
"Victreebel","120","0","Burning Scent","","Grass","Rare","Pokemon","Stage 2","3","dp6-44",""
"Vileplume","120","3","Disturbing Pollen","60","Grass","Rare","Pokemon","Stage 2","2","dp6-45","Psychic, Colorless, Colorless"
"Anorith","80","1","Guard Claw","20","Fighting","Uncommon","Pokemon","Stage 1","1","dp6-46","Colorless"
"Camerupt","100","2","Eruption","30+","Fire","Uncommon","Pokemon","Stage 1","3","dp6-47","Fire, Colorless"
"Castform","60","2","Weather Ball","30+","Colorless","Uncommon","Pokemon","Basic","1","dp6-48","Colorless, Colorless"
"Castform Rain Form","70","2","Water Pulse","30","Water","Uncommon","Pokemon","Basic","1","dp6-49","Water, Colorless"
"Castform Snow-Cloud Form","70","2","Hail","","Water","Uncommon","Pokemon","Basic","1","dp6-50","Colorless, Colorless"
"Castform Sunny Form","70","2","Ember","40","Fire","Uncommon","Pokemon","Basic","1","dp6-51","Fire, Colorless"
"Dragonair","70","2","Wrap","20","Colorless","Uncommon","Pokemon","Stage 1","1","dp6-52","Colorless, Colorless"
"Drifblim","90","1","Expand","30","Psychic","Uncommon","Pokemon","Stage 1","","dp6-53","Psychic"
"Exeggutor","80","0","Psychic Strategy","","Psychic","Uncommon","Pokemon","Stage 1","1","dp6-54",""
"Gliscor","90","1","Poison Jab","20","Fighting","Uncommon","Pokemon","Stage 1","1","dp6-55","Fighting"
"Grumpig","90","0","Magical Step","","Psychic","Uncommon","Pokemon","Stage 1","2","dp6-56",""
"Houndoom","80","1","Burning Sensation","20","Fire","Uncommon","Pokemon","Stage 1","1","dp6-57","Colorless"
"Lanturn","90","2","Rushing Water","20","Water","Uncommon","Pokemon","Stage 1","1","dp6-58","Colorless, Colorless"
"Lanturn","90","1","Energy Split","","Lightning","Uncommon","Pokemon","Stage 1","2","dp6-59","Lightning"
"Ledian","80","1","Comet Punch","20×","Grass","Uncommon","Pokemon","Stage 1","1","dp6-60","Colorless"
"Lucario","90","1","Focus Blast","","Fighting","Uncommon","Pokemon","Stage 1","1","dp6-61","Fighting"
"Luxio","80","2","Spark","30","Lightning","Uncommon","Pokemon","Stage 1","1","dp6-62","Lightning, Colorless"
"Marowak","90","1","Heavy Bone","40","Fighting","Uncommon","Pokemon","Stage 1","2","dp6-63","Colorless"
"Metang","80","2","Agility","20","Metal","Uncommon","Pokemon","Stage 1","2","dp6-64","Colorless, Colorless"
"Metang","80","2","Psyshock","20","Metal","Uncommon","Pokemon","Stage 1","2","dp6-65","Metal, Colorless"
"Mightyena","90","1","Bite On","30","Darkness","Uncommon","Pokemon","Stage 1","1","dp6-66","Darkness"
"Ninjask","80","1","Chip Off","30","Grass","Uncommon","Pokemon","Stage 1","","dp6-67","Grass"
"Persian","80","2","Feint Attack","","Colorless","Uncommon","Pokemon","Stage 1","","dp6-68","Colorless, Colorless"
"Piloswine","100","2","Charge Dash","30+","Water","Uncommon","Pokemon","Stage 1","3","dp6-69","Fighting, Colorless"
"Seadra","80","1","Aqua Pump","30+","Water","Uncommon","Pokemon","Stage 1","1","dp6-70","Water"
"Starmie","80","1","Star Boomerang","30","Water","Uncommon","Pokemon","Stage 1","","dp6-71","Water"
"Swalot","90","2","Swallow Up","30","Psychic","Uncommon","Pokemon","Stage 1","2","dp6-72","Psychic, Colorless"
"Swellow","80","2","Mach Descent","30","Colorless","Uncommon","Pokemon","Stage 1","1","dp6-73","Colorless, Colorless"
"Tauros","80","2","Herd Charge","20×","Colorless","Uncommon","Pokemon","Basic","2","dp6-74","Colorless, Colorless"
"Tentacruel","90","0","Tentacle Strike","","Water","Uncommon","Pokemon","Stage 1","1","dp6-75",""
"Unown [J]","50","1","Hidden Power","10","Psychic","Uncommon","Pokemon","Basic","1","dp6-76","Psychic"
"Unown [R]","60","0","Hidden Power","","Psychic","Uncommon","Pokemon","Basic","1","dp6-77",""
"Unown [U]","50","1","Hidden Power","","Psychic","Uncommon","Pokemon","Basic","1","dp6-78","Colorless"
"Unown [V]","60","1","Hidden Power","30","Psychic","Uncommon","Pokemon","Basic","1","dp6-79","Psychic"
"Unown [W]","90","3","Hidden Power","50","Psychic","Uncommon","Pokemon","Basic","3","dp6-80","Psychic, Colorless, Colorless"
"Unown [Y]","50","2","Hidden Power","","Psychic","Uncommon","Pokemon","Basic","1","dp6-81","Colorless, Colorless"
"Unown [?]","70","0","Hidden Power","","Psychic","Uncommon","Pokemon","Basic","1","dp6-82",""
"Beldum","50","2","Take Down","30","Metal","Common","Pokemon","Basic","2","dp6-83","Metal, Colorless"
"Beldum","50","1","Allure","","Metal","Common","Pokemon","Basic","1","dp6-84","Colorless"
"Bellsprout","50","1","Vine Bind","","Grass","Common","Pokemon","Basic","1","dp6-85","Colorless"
"Buneary","50","1","Rest","","Colorless","Common","Pokemon","Basic","1","dp6-86","Colorless"
"Chinchou","60","1","Supersonic","","Water","Common","Pokemon","Basic","2","dp6-87","Colorless"
"Chinchou","50","1","Razor Fin","10","Lightning","Common","Pokemon","Basic","1","dp6-88","Colorless"
"Corphish","50","1","Knock Off","","Water","Common","Pokemon","Basic","1","dp6-89","Colorless"
"Cubone","60","1","Headbutt","10","Fighting","Common","Pokemon","Basic","1","dp6-90","Colorless"
"Dratini","40","1","Tail Slap","10","Colorless","Common","Pokemon","Basic","1","dp6-91","Colorless"
"Drifloon","50","1","Mind Bend","10","Psychic","Common","Pokemon","Basic","1","dp6-92","Psychic"
"Exeggcute","50","1","Call for Family","","Psychic","Common","Pokemon","Basic","1","dp6-93","Colorless"
"Gligar","60","0","Light Poison","10","Fighting","Common","Pokemon","Basic","1","dp6-94",""
"Gligar","50","1","Poison Sting","","Fighting","Common","Pokemon","Basic","1","dp6-95","Colorless"
"Gloom","70","1","Sleep Powder","20","Grass","Common","Pokemon","Stage 1","1","dp6-96","Grass"
"Gloom","80","0","Space Out","","Psychic","Common","Pokemon","Stage 1","2","dp6-97",""
"Gulpin","60","1","Amnesia","","Psychic","Common","Pokemon","Basic","2","dp6-98","Colorless"
"Hitmonchan","70","1","Counter Punch","","Fighting","Common","Pokemon","Basic","1","dp6-99","Fighting"
"Hitmonlee","80","2","Gut Kick","30","Fighting","Common","Pokemon","Basic","1","dp6-100","Fighting, Colorless"
"Hitmontop","80","2","Triple Kick","20×","Fighting","Common","Pokemon","Basic","1","dp6-101","Fighting, Colorless"
"Horsea","50","1","Smokescreen","","Water","Common","Pokemon","Basic","1","dp6-102","Colorless"
"Houndour","50","1","Roar","","Darkness","Common","Pokemon","Basic","1","dp6-103","Colorless"
"Ledyba","50","1","Supersonic","","Grass","Common","Pokemon","Basic","1","dp6-104","Colorless"
"Lileep","80","1","Astonish","20","Grass","Common","Pokemon","Stage 1","2","dp6-105","Colorless"
"Meowth","50","1","Pay Day","10","Colorless","Common","Pokemon","Basic","1","dp6-106","Colorless"
"Misdreavus","60","0","Show Off","","Psychic","Common","Pokemon","Basic","1","dp6-107",""
"Nincada","40","1","Scratch","10","Grass","Common","Pokemon","Basic","1","dp6-108","Colorless"
"Nosepass","70","1","Sharpen","10","Fighting","Common","Pokemon","Basic","1","dp6-109","Colorless"
"Numel","60","1","Rollout","10","Fire","Common","Pokemon","Basic","2","dp6-110","Colorless"
"Oddish","40","1","Stun Spore","","Grass","Common","Pokemon","Basic","1","dp6-111","Colorless"
"Oddish","50","1","Poisonpowder","","Psychic","Common","Pokemon","Basic","1","dp6-112","Colorless"
"Pineco","50","1","Tackle","10","Grass","Common","Pokemon","Basic","1","dp6-113","Colorless"
"Poliwag","40","1","Tackle","10","Water","Common","Pokemon","Basic","1","dp6-114","Colorless"
"Poliwhirl","80","2","Light Punch","20","Water","Common","Pokemon","Stage 1","1","dp6-115","Colorless, Colorless"
"Poochyena","50","1","Corner","","Darkness","Common","Pokemon","Basic","1","dp6-116","Darkness"
"Riolu","60","1","Punch","10","Fighting","Common","Pokemon","Basic","1","dp6-117","Colorless"
"Shinx","50","1","Recharge","","Lightning","Common","Pokemon","Basic","1","dp6-118","Colorless"
"Skitty","50","1","Growl","","Colorless","Common","Pokemon","Basic","1","dp6-119","Colorless"
"Sneasel","60","1","Rob","","Darkness","Common","Pokemon","Basic","1","dp6-120","Darkness"
"Spoink","50","1","Psybeam","","Psychic","Common","Pokemon","Basic","1","dp6-121","Psychic"
"Staryu","50","1","Recover","","Water","Common","Pokemon","Basic","1","dp6-122","Colorless"
"Swinub","60","1","Sniff Out","","Water","Common","Pokemon","Basic","2","dp6-123","Colorless"
"Taillow","50","1","Focus Energy","","Colorless","Common","Pokemon","Basic","1","dp6-124","Colorless"
"Tentacool","50","1","Crystal Barrier","","Water","Common","Pokemon","Basic","1","dp6-125","Colorless"
"Tyrogue","60","1","Gut Blow","10+","Fighting","Common","Pokemon","Basic","1","dp6-126","Fighting"
"Weepinbell","80","1","Poisonpowder","10","Grass","Common","Pokemon","Stage 1","2","dp6-127","Grass"
"Yanma","70","1","U-turn","10","Grass","Common","Pokemon","Basic","1","dp6-128","Colorless"
"Bubble Coat",,,,,"","Uncommon","Trainer","Pokemon Tool","","dp6-129",
"Buck's Training",,,,,"","Uncommon","Trainer","Supporter","","dp6-130",
"Cynthia's Feelings",,,,,"","Uncommon","Trainer","Supporter","","dp6-131",
"Energy Pickup",,,,,"","Uncommon","Trainer","Item","","dp6-132",
"Poke Radar",,,,,"","Uncommon","Trainer","Item","","dp6-133",
"Snowpoint Temple",,,,,"","Uncommon","Trainer","Stadium","","dp6-134",
"Stark Mountain",,,,,"","Uncommon","Trainer","Stadium","","dp6-135",
"Technical Machine TS-1",,"0","Evoluter","","","Uncommon","Trainer","Technical Machine","","dp6-136",""
"Technical Machine TS-2",,"0","Devoluter","","","Uncommon","Trainer","Technical Machine","","dp6-137",""
"Claw Fossil","40",,,,"","Common","Trainer","Item","","dp6-138",
"Root Fossil","40",,,,"","Common","Trainer","Item","","dp6-139",
