"Attack2_ConvertedEnergyCost","Attack1_ConvertedEnergyCost","Supertype","HP","Attack1_Name","Attack3_Name","Attack2_Name","ID","Rarity","Attack1_Damage","RetreatCost","Types","Attack3_Cost","Subtypes","Name","Attack1_Cost","Attack3_Damage","Attack2_Damage","Attack3_ConvertedEnergyCost","Attack2_Cost"
"5","3","Pokemon","120","Take Down",,"Surf","ex1-14","Rare Holo","50","4","Water",,"Stage 1","Wailord","Colorless, Colorless, Colorless",,"70",,"Water, Water, Water, Colorless, Colorless"
"4","2","Pokemon","110","Clutch",,"Flamethrower","ex1-15","Rare","20","2","Fire",,"Stage 2","Blaziken","Colorless, Colorless",,"80",,"Fire, Colorless, Colorless, Colorless"
"3","2","Pokemon","70","Headbutt",,"Battle Blast","ex1-16","Rare","20","1","Grass",,"Stage 1","Breloom","Colorless, Colorless",,"40+",,"Grass, Colorless, Colorless"
"4","2","Pokemon","80","Rend",,"Double Spin","ex1-17","Rare","20+","1","Fighting",,"Stage 1","Donphan","Fighting, Colorless",,"60×",,"Fighting, Colorless, Colorless, Colorless"
"2","1","Pokemon","60","Invisible Hand",,"Repulsion","ex1-18","Rare","","1","Fighting",,"Basic","Nosepass","Colorless",,"",,"Colorless, Colorless"
"2","1","Pokemon","70","Stockpile","Swallow","Spit Up","ex1-19","Rare","","1","Water","Water, Colorless, Colorless","Stage 1","Pelipper","Colorless","20","30","3","Water, Colorless"
,"3","Pokemon","100","Tail Rap",,,"ex1-20","Rare","50×","3","Grass",,"Stage 2","Sceptile","Grass, Colorless, Colorless",,,,
"2","1","Pokemon","70","Water Arrow",,"Fast Stream","ex1-21","Rare","","","Water",,"Stage 1","Seaking","Water",,"30",,"Colorless, Colorless"
,"3","Pokemon","70","Dark Slash",,,"ex1-22","Rare","40+","1","Water",,"Stage 1","Sharpedo","Water, Colorless, Colorless",,,,
"3","1","Pokemon","100","Water Arrow",,"Waterfall","ex1-23","Rare","","2","Water",,"Stage 2","Swampert","Water",,"50",,"Water, Colorless, Colorless"
"2","1","Pokemon","80","Confusion Gas",,"Poison Smog","ex1-24","Rare","10","2","Grass",,"Stage 1","Weezing","Grass",,"",,"Grass, Colorless"
"2","1","Pokemon","50","Rollout",,"Double Stab","ex1-25","Uncommon","10","1","Metal",,"Basic","Aron","Metal",,"20×",,"Colorless, Colorless"
,"1","Pokemon","70","Poison Thread",,,"ex1-26","Uncommon","","2","Grass",,"Stage 1","Cascoon","Grass",,,,
"3","1","Pokemon","70","Flare",,"Double Kick","ex1-27","Uncommon","20","1","Fire",,"Stage 1","Combusken","Fire",,"40×",,"Colorless, Colorless, Colorless"
,"2","Pokemon","80","Lunge",,,"ex1-28","Uncommon","50","1","Fire",,"Stage 1","Combusken","Colorless, Colorless",,,,
"2","1","Pokemon","80","Energy Call",,"Cannonball","ex1-29","Uncommon","10","1","Colorless",,"Stage 1","Delcatty","Colorless",,"30+",,"Colorless, Colorless"
"2","1","Pokemon","50","Charge",,"Thunder Jolt","ex1-30","Uncommon","","1","Lightning",,"Basic","Electrike","Lightning",,"30",,"Lightning, Colorless"
"3","2","Pokemon","70","Poison Breath",,"Swift","ex1-31","Uncommon","","1","Grass",,"Stage 1","Grovyle","Colorless, Colorless",,"30",,"Grass, Colorless, Colorless"
,"2","Pokemon","80","Slash",,,"ex1-32","Uncommon","20","1","Grass",,"Stage 1","Grovyle","Colorless, Colorless",,,,
"3","2","Pokemon","80","Shove",,"Slap Down","ex1-33","Uncommon","20","1","Fighting",,"Stage 1","Hariyama","Fighting, Colorless",,"40+",,"Fighting, Colorless, Colorless"
"3","1","Pokemon","70","Removal Beam",,"Super Psy","ex1-34","Uncommon","10","1","Psychic",,"Stage 1","Kirlia","Psychic",,"50",,"Psychic, Colorless, Colorless"
"1","1","Pokemon","70","Dazzle Dance",,"Life Drain","ex1-35","Uncommon","","1","Psychic",,"Stage 1","Kirlia","Colorless",,"",,"Psychic"
"3","2","Pokemon","70","Ram",,"Metal Claw","ex1-36","Uncommon","20","2","Metal",,"Stage 1","Lairon","Colorless, Colorless",,"40",,"Metal, Colorless, Colorless"
"4","1","Pokemon","80","Magnitude",,"One-Two Strike","ex1-37","Uncommon","20","2","Metal",,"Stage 1","Lairon","Metal",,"30+",,"Colorless, Colorless, Colorless, Colorless"
"2","1","Pokemon","70","Seek Out",,"Continuous Headbutt","ex1-38","Uncommon","","1","Colorless",,"Stage 1","Linoone","Colorless",,"40×",,"Colorless, Colorless"
"3","2","Pokemon","70","Thundershock",,"Gigashock","ex1-39","Uncommon","20","1","Lightning",,"Stage 1","Manectric","Colorless, Colorless",,"40",,"Lightning, Colorless, Colorless"
"3","1","Pokemon","70","Bubble",,"Slash","ex1-40","Uncommon","10","1","Water",,"Stage 1","Marshtomp","Water",,"40",,"Colorless, Colorless, Colorless"
,"2","Pokemon","80","Aqua Sonic",,,"ex1-41","Uncommon","20","1","Water",,"Stage 1","Marshtomp","Colorless, Colorless",,,,
"3","2","Pokemon","70","Bite",,"Ambush","ex1-42","Uncommon","20","1","Darkness",,"Stage 1","Mightyena","Colorless, Colorless",,"30+",,"Darkness, Colorless, Colorless"
,"1","Pokemon","60","Gooey Thread",,,"ex1-43","Uncommon","10","2","Grass",,"Stage 1","Silcoon","Grass",,,,
"1","1","Pokemon","40","Minor Errand-Running",,"Lullaby","ex1-44","Uncommon","","1","Colorless",,"Basic","Skitty","Colorless",,"10",,"Colorless"
"2","1","Pokemon","40","Claw",,"Slack Off","ex1-45","Uncommon","20","1","Colorless",,"Basic","Slakoth","Colorless",,"",,"Colorless, Colorless"
,"2","Pokemon","70","Wing Attack",,,"ex1-46","Uncommon","30","","Colorless",,"Stage 1","Swellow","Colorless, Colorless",,,,
"3","2","Pokemon","70","Fury Swipes",,"Rage","ex1-47","Uncommon","20×","1","Colorless",,"Stage 1","Vigoroth","Colorless, Colorless",,"20+",,"Colorless, Colorless, Colorless"
"2","2","Pokemon","80","Rest",,"Water Gun","ex1-48","Uncommon","","3","Water",,"Basic","Wailmer","Colorless, Colorless",,"20+",,"Water, Colorless"
"2","1","Pokemon","40","Teary Eyes",,"Ram","ex1-49","Common","","1","Metal",,"Basic","Aron","Colorless",,"20",,"Colorless, Colorless"
,"1","Pokemon","50","Gnaw",,,"ex1-50","Common","10","2","Metal",,"Basic","Aron","Colorless",,,,
,"1","Pokemon","40","Big Bite",,,"ex1-51","Common","10","1","Water",,"Basic","Carvanha","Colorless",,,,
,"1","Pokemon","50","Headbutt",,,"ex1-52","Common","10","1","Lightning",,"Basic","Electrike","Colorless",,,,
"2","1","Pokemon","50","Super Thunder Wave",,"Tackle","ex1-53","Common","","1","Lightning",,"Basic","Electrike","Colorless",,"20",,"Colorless, Colorless"
"2","1","Pokemon","50","Tackle",,"Double-edge","ex1-54","Common","10","1","Grass",,"Basic","Koffing","Colorless",,"30",,"Grass, Colorless"
,"1","Pokemon","50","Flail",,,"ex1-55","Common","10×","1","Water",,"Basic","Goldeen","Colorless",,,,
"2","1","Pokemon","50","Slap Push",,"Lunge Out","ex1-56","Common","10","1","Fighting",,"Basic","Makuhita","Colorless",,"20",,"Colorless, Colorless"
"2","1","Pokemon","50","Fling",,"Low Kick","ex1-57","Common","","1","Fighting",,"Basic","Makuhita","Colorless",,"30",,"Fighting, Colorless"
,"1","Pokemon","50","Fake Out",,,"ex1-58","Common","10","1","Fighting",,"Basic","Makuhita","Fighting",,,,
,"1","Pokemon","50","Bubble",,,"ex1-59","Common","10","1","Water",,"Basic","Mudkip","Water",,,,
"2","1","Pokemon","50","Pound",,"Fury Swipes","ex1-60","Common","10","1","Water",,"Basic","Mudkip","Colorless",,"10×",,"Colorless, Colorless"
"2","1","Pokemon","50","Headbutt",,"Burn Off","ex1-61","Common","10","1","Fire",,"Basic","Numel","Colorless",,"",,"Fire, Colorless"
"2","1","Pokemon","50","Stampede",,"Trembler","ex1-62","Common","10","1","Fighting",,"Basic","Phanpy","Colorless",,"",,"Fighting, Colorless"
,"1","Pokemon","40","Bite",,,"ex1-63","Common","10","1","Darkness",,"Basic","Poochyena","Colorless",,,,
"2","1","Pokemon","50","Knock Off",,"Rear Kick","ex1-64","Common","","1","Darkness",,"Basic","Poochyena","Darkness",,"20",,"Colorless, Colorless"
,"1","Pokemon","50","Shadow Bind",,,"ex1-65","Common","10","1","Darkness",,"Basic","Poochyena","Darkness",,,,
,"1","Pokemon","50","Confuse Ray",,,"ex1-66","Common","10","1","Psychic",,"Basic","Ralts","Psychic",,,,
"2","1","Pokemon","50","Headbutt",,"Hypnoblast","ex1-67","Common","10","1","Psychic",,"Basic","Ralts","Colorless",,"20",,"Psychic, Colorless"
"2","1","Pokemon","50","Pound",,"Link Blast","ex1-68","Common","10","1","Psychic",,"Basic","Ralts","Colorless",,"40",,"Psychic, Colorless"
,"1","Pokemon","40","Sleep Powder",,,"ex1-69","Common","10","1","Grass",,"Basic","Shroomish","Colorless",,,,
"1","1","Pokemon","40","Plus Energy",,"Scratch","ex1-70","Common","","1","Colorless",,"Basic","Skitty","Colorless",,"10",,"Colorless"
"2","1","Pokemon","50","Tackle",,"Lunge","ex1-71","Common","10","1","Colorless",,"Basic","Skitty","Colorless",,"30",,"Colorless, Colorless"
"2","1","Pokemon","40","Peck",,"Wing Attack","ex1-72","Common","10","1","Colorless",,"Basic","Taillow","Colorless",,"20",,"Colorless, Colorless"
"2","1","Pokemon","40","Peck",,"Fireworks","ex1-73","Common","10","1","Fire",,"Basic","Torchic","Colorless",,"30",,"Fire, Colorless"
,"1","Pokemon","50","Singe",,,"ex1-74","Common","","1","Fire",,"Basic","Torchic","Colorless",,,,
,"1","Pokemon","40","Poison Breath",,,"ex1-75","Common","","1","Grass",,"Basic","Treecko","Grass",,,,
"2","1","Pokemon","40","Tail Slap",,"Razor Leaf","ex1-76","Common","10","1","Grass",,"Basic","Treecko","Colorless",,"20",,"Grass, Colorless"
,"1","Pokemon","40","Surprise Attack",,,"ex1-77","Common","20","1","Water",,"Basic","Wingull","Water",,,,
"1","1","Pokemon","50","Signs of Evolution",,"Poison Barb","ex1-78","Common","","1","Grass",,"Basic","Wurmple","Colorless",,"",,"Grass"
,"1","Pokemon","40","Fury Swipes",,,"ex1-79","Common","10×","1","Colorless",,"Basic","Zigzagoon","Colorless",,,,
,,"Trainer",,,,,"ex1-80","Uncommon",,"","",,"Item","Energy Removal 2",,,,,
,,"Trainer",,,,,"ex1-81","Uncommon",,"","",,"Item","Energy Restore",,,,,
,,"Trainer",,,,,"ex1-82","Uncommon",,"","",,"Item","Energy Switch",,,,,
,,"Trainer",,,,,"ex1-83","Uncommon",,"","",,"Supporter","Lady Outing",,,,,
,,"Trainer",,,,,"ex1-84","Uncommon",,"","",,"Pokemon Tool","Lum Berry",,,,,
,,"Trainer",,,,,"ex1-85","Uncommon",,"","",,"Pokemon Tool","Oran Berry",,,,,
,,"Trainer",,,,,"ex1-86","Uncommon",,"","",,"Item","Poke Ball",,,,,
,,"Trainer",,,,,"ex1-87","Uncommon",,"","",,"Item","Pokemon Reversal",,,,,
,,"Trainer",,,,,"ex1-88","Uncommon",,"","",,"Item","PokeNav",,,,,
,,"Trainer",,,,,"ex1-89","Uncommon",,"","",,"Supporter","Professor Birch",,,,,
,,"Trainer",,,,,"ex1-90","Common",,"","",,"Item","Energy Search",,,,,
,,"Trainer",,,,,"ex1-91","Common",,"","",,"Item","Potion",,,,,
,,"Trainer",,,,,"ex1-92","Common",,"","",,"Item","Switch",,,,,
,,"Energy",,,,,"ex1-93","Rare",,"","",,"Special","Darkness Energy",,,,,
,,"Energy",,,,,"ex1-94","Rare",,"","",,"Special","Metal Energy",,,,,
,,"Energy",,,,,"ex1-95","Rare",,"","",,"Special","Rainbow Energy",,,,,
,,"Energy",,,,,"ex1-104","Common",,"","",,"Basic","Grass Energy",,,,,
,,"Energy",,,,,"ex1-105","Common",,"","",,"Basic","Fighting Energy",,,,,
,,"Energy",,,,,"ex1-106","Common",,"","",,"Basic","Water Energy",,,,,
,,"Energy",,,,,"ex1-107","Common",,"","",,"Basic","Psychic Energy",,,,,
,,"Energy",,,,,"ex1-108","Common",,"","",,"Basic","Fire Energy",,,,,
,,"Energy",,,,,"ex1-109","Common",,"","",,"Basic","Lightning Energy",,,,,
