"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity"
"ex12-70","Wurmple","Pokemon","Basic","50","Grass","Colorless","Common"
"ex12-71","Wynaut","Pokemon","Basic","50","Psychic","Colorless","Common"
"ex12-72","Cursed Stone","Trainer","Stadium",,"","","Uncommon"
"ex12-73","Fieldworker","Trainer","Supporter",,"","","Uncommon"
"ex12-74","Full Flame","Trainer","Stadium",,"","","Uncommon"
"ex12-75","Giant Stump","Trainer","Stadium",,"","","Uncommon"
"ex12-76","Power Tree","Trainer","Stadium",,"","","Uncommon"
"ex12-77","Strange Cave","Trainer","Stadium",,"","","Uncommon"
"ex12-78","Claw Fossil","Trainer","Item","40","","","Common"
"ex12-79","Mysterious Fossil","Trainer","Item","50","","","Common"
"ex12-80","Root Fossil","Trainer","Item","40","","","Common"
"ex12-81","Rainbow Energy","Energy","Special",,"","","Rare"
"ex12-82","React Energy","Energy","Special",,"","","Uncommon"
