"Attack2_Damage","Attack2_Name","Name","HP","Attack1_ConvertedEnergyCost","Attack1_Name","Attack1_Damage","Types","Rarity","Supertype","Attack2_Cost","Subtypes","RetreatCost","ID","Attack1_Cost","Attack2_ConvertedEnergyCost"
"","Glaciate","Kyurem","130","2","Outrage","20+","Water","Rare Holo","Pokemon","Water, Water, Colorless","Basic","2","bw11-43","Colorless, Colorless","3"
"50×","Thundering Hurricane","Zapdos","120","3","Random Spark","","Lightning","Rare Holo","Pokemon","Lightning, Colorless, Colorless, Colorless","Basic","2","bw11-46","Lightning, Colorless, Colorless","4"
"20+","Positive Ion","Plusle","60","1","Tag Draw","","Lightning","Uncommon","Pokemon","Lightning","Basic","1","bw11-47","Colorless","1"
"","Electrishower","Minun","60","1","Negative Ion","","Lightning","Uncommon","Pokemon","Lightning","Basic","1","bw11-48","Colorless","1"
"20","Static Shock","Emolga","70","1","Call for Family","","Lightning","Uncommon","Pokemon","Lightning","Basic","","bw11-49","Colorless","1"
"80","Disaster Volt","Thundurus","110","1","Charge","","Lightning","Rare Holo","Pokemon","Lightning, Lightning, Colorless","Basic","1","bw11-50","Colorless","3"
"120","Bolt Strike","Zekrom","130","2","Outrage","20+","Lightning","Rare Holo","Pokemon","Lightning, Lightning, Colorless","Basic","2","bw11-51","Colorless, Colorless","3"
"120","Psyslash","Mewtwo","120","2","Power Edge","30","Psychic","Rare Holo","Pokemon","Psychic, Psychic, Colorless, Colorless","Basic","2","bw11-53","Colorless, Colorless","4"
,,"Natu","50","2","Peck","20","Psychic","Common","Pokemon",,"Basic","1","bw11-55","Psychic, Colorless",
"60","Miracle Wing","Xatu","90","1","Fortunate Draw","","Psychic","Rare","Pokemon","Psychic, Colorless, Colorless","Stage 1","1","bw11-56","Psychic","3"
,,"Misdreavus","60","2","Spooky Shot","20","Psychic","Common","Pokemon",,"Basic","1","bw11-57","Psychic, Colorless",
"70","Spooky Shot","Mismagius","100","2","Absorb Life","30","Psychic","Rare","Pokemon","Psychic, Colorless, Colorless","Stage 1","1","bw11-58","Psychic, Colorless","3"
,,"Ralts","60","2","Mind Bend","10","Psychic","Common","Pokemon",,"Basic","1","bw11-59","Psychic, Colorless",
"40","Spinning Attack","Kirlia","80","2","Mind Bend","20","Psychic","Uncommon","Pokemon","Psychic, Colorless, Colorless","Stage 1","1","bw11-60","Psychic, Colorless","3"
,,"Sableye","70","2","Tight Jaw","30","Psychic","Uncommon","Pokemon",,"Basic","1","bw11-61","Psychic, Colorless",
,,"Croagunk","70","2","Poison Jab","20","Psychic","Common","Pokemon",,"Basic","1","bw11-62","Psychic, Colorless",
"60","Poison Jab","Toxicroak","90","1","Revenge","20+","Psychic","Rare","Pokemon","Psychic, Colorless, Colorless","Stage 1","1","bw11-63","Colorless","3"
,,"Woobat","50","1","Dual Cut","10×","Psychic","Common","Pokemon",,"Basic","1","bw11-64","Psychic",
"30","Heart Stamp","Swoobat","80","1","Energy Gift","","Psychic","Uncommon","Pokemon","Psychic","Stage 1","1","bw11-65","Colorless","1"
,,"Sigilyph","90","3","Psychic","50+","Psychic","Rare Holo","Pokemon",,"Basic","1","bw11-66","Psychic, Colorless, Colorless",
"30","Poison Gas","Trubbish","70","2","Pound","20","Psychic","Common","Pokemon","Psychic, Colorless, Colorless","Basic","2","bw11-67","Colorless, Colorless","3"
,,"Garbodor","100","3","Sludge Toss","60","Psychic","Rare Holo","Pokemon",,"Stage 1","3","bw11-68","Psychic, Psychic, Colorless",
"20×","Double Slap","Gothita","60","1","Hypnotic Gaze","","Psychic","Common","Pokemon","Colorless, Colorless","Basic","1","bw11-69","Colorless","2"
,,"Gothita","50","2","Trip Over","10+","Psychic","Common","Pokemon",,"Basic","1","bw11-70","Colorless, Colorless",
"20","Psybeam","Gothorita","80","1","Double Slap","20×","Psychic","Uncommon","Pokemon","Psychic, Colorless","Stage 1","1","bw11-71","Colorless","2"
,,"Gothitelle","130","3","Madkinesis","30+","Psychic","Rare Holo","Pokemon",,"Stage 2","2","bw11-72","Colorless, Colorless, Colorless",
,,"Solosis","30","1","Rollout","10","Psychic","Common","Pokemon",,"Basic","1","bw11-73","Colorless",
"20","Ram","Solosis","30","1","Nap","","Psychic","Common","Pokemon","Psychic, Colorless","Basic","1","bw11-74","Psychic","2"
,,"Duosion","60","1","Rollout","20","Psychic","Uncommon","Pokemon",,"Stage 1","1","bw11-75","Colorless",
"40×","Net Force","Reuniclus","90","1","Future Sight","","Psychic","Rare","Pokemon","Psychic","Stage 2","2","bw11-76","Colorless","1"
"50","Echoed Voice","Meloetta","80","1","Psychic","10+","Psychic","Rare Holo","Pokemon","Psychic, Colorless, Colorless","Basic","1","bw11-78","Psychic","3"
"10+","Quick Attack","Riolu","70","1","Punch","10","Fighting","Uncommon","Pokemon","Fighting, Colorless","Basic","1","bw11-79","Colorless","2"
,,"Lucario","100","2","Aura Sphere","50","Fighting","Rare Holo","Pokemon",,"Stage 1","1","bw11-80","Fighting, Fighting",
"60+","Pandemonium Blade","Gallade","140","1","Nerve Shot","30","Fighting","Rare","Pokemon","Fighting, Colorless, Colorless","Stage 2","2","bw11-81","Fighting","3"
"40","Rumble","Stunfisk","100","1","Muddy Water","20","Fighting","Uncommon","Pokemon","Fighting, Colorless","Basic","3","bw11-83","Fighting","2"
"90","Land Crush","Terrakion","130","2","Retaliate","30+","Fighting","Rare Holo","Pokemon","Fighting, Fighting, Colorless","Basic","4","bw11-84","Fighting, Colorless","3"
"80","Gaia Hammer","Landorus","110","1","Abundant Harvest","","Fighting","Rare Holo","Pokemon","Fighting, Fighting, Colorless","Basic","1","bw11-85","Fighting","3"
"40+","Shooting Star Pirouette","Meloetta","90","1","Magical Dance","","Fighting","Rare","Pokemon","Fighting, Colorless, Colorless","Basic","1","bw11-86","Colorless","3"
,,"Spiritomb","80","1","Hexed Mirror","","Darkness","Uncommon","Pokemon",,"Basic","1","bw11-87","Colorless",
"20","Scratch","Zorua","50","1","Ascension","","Darkness","Common","Pokemon","Colorless, Colorless","Basic","1","bw11-89","Darkness","2"
"20×","Dark Rush","Zoroark","100","2","Brutal Bash","20×","Darkness","Rare Holo","Pokemon","Darkness, Darkness","Stage 1","2","bw11-90","Colorless, Colorless","2"
"80","Iron Breaker","Cobalion","120","2","Energy Press","20+","Metal","Rare Holo","Pokemon","Metal, Metal, Colorless","Basic","2","bw11-91","Metal, Colorless","3"
"40","Cleave","Altaria","80","2","Speed Dive","20","Dragon","Uncommon","Pokemon","Water, Metal, Colorless","Stage 1","1","bw11-92","Colorless, Colorless","3"
"90","Shred","Rayquaza","120","1","Dragon Pulse","40","Dragon","Rare Holo","Pokemon","Fire, Lightning, Colorless","Basic","3","bw11-93","Lightning","3"
"20","Gnaw","Gible","50","1","Tackle","10","Dragon","Common","Pokemon","Water, Fighting","Basic","1","bw11-94","Colorless","2"
"40","Shred","Gabite","80","1","Tackle","20","Dragon","Uncommon","Pokemon","Water, Fighting","Stage 1","1","bw11-95","Colorless","2"
"100","Dragonblade","Garchomp","140","1","Mach Cut","60","Dragon","Rare Holo","Pokemon","Water, Fighting","Stage 2","1","bw11-96","Fighting","2"
"30","Power Breath","Deino","60","1","Deep Growl","","Dragon","Common","Pokemon","Psychic, Colorless","Basic","2","bw11-97","Darkness","2"
"80","Dragon Claw","Zweilous","80","2","Crunch","30","Dragon","Uncommon","Pokemon","Psychic, Darkness, Darkness","Stage 1","2","bw11-98","Colorless, Colorless","3"
,,"Hydreigon","150","4","Dragonblast","140","Dragon","Rare Holo","Pokemon",,"Stage 2","3","bw11-99","Psychic, Darkness, Darkness, Colorless",
,,"Swablu","40","2","Glare and Peck","10","Colorless","Common","Pokemon",,"Basic","1","bw11-103","Colorless, Colorless",
"20","Tail Smack","Minccino","60","1","Call for Family","","Colorless","Common","Pokemon","Colorless, Colorless","Basic","1","bw11-104","Colorless","2"
,,"Cinccino","90","3","Echoed Voice","50","Colorless","Rare Holo","Pokemon",,"Stage 1","1","bw11-105","Colorless, Colorless, Colorless",
,,"Druddigon","100","3","Clutch","60","Colorless","Uncommon","Pokemon",,"Basic","2","bw11-106","Colorless, Colorless, Colorless",
"80","Head Charge","Bouffalant","100","2","Revenge","20+","Colorless","Uncommon","Pokemon","Colorless, Colorless, Colorless, Colorless","Basic","2","bw11-107","Colorless, Colorless","4"
"80","Hurricane","Tornadus","110","1","Energy Wheel","","Colorless","Rare Holo","Pokemon","Colorless, Colorless, Colorless","Basic","1","bw11-108","Colorless","3"
,,"Bianca",,,,,"","Uncommon","Trainer",,"Supporter","","bw11-109",,
,,"Cedric Juniper",,,,,"","Uncommon","Trainer",,"Supporter","","bw11-110",,
,,"Crushing Hammer",,,,,"","Uncommon","Trainer",,"Item","","bw11-111",,
,,"Energy Switch",,,,,"","Uncommon","Trainer",,"Item","","bw11-112",,
,,"Double Colorless Energy",,,,,"","Uncommon","Energy",,"Special","","bw11-113",,
"30","Razor Leaf","Snivy","50","1","Growth","","Grass","Common","Pokemon","Grass, Colorless, Colorless","Basic","1","bw11-RC1","Colorless","3"
"40","Vine Whip","Servine","80","1","Leaf Blade","10+","Grass","Common","Pokemon","Grass, Colorless, Colorless","Stage 1","1","bw11-RC2","Colorless","3"
,,"Serperior","140","3","Solar Beam","80","Grass","Uncommon","Pokemon",,"Stage 2","2","bw11-RC3","Grass, Colorless, Colorless",
"40","Lunge","Growlithe","80","2","Rest","","Fire","Uncommon","Pokemon","Fire, Colorless, Colorless","Basic","2","bw11-RC4","Colorless, Colorless","3"
"20","Live Coal","Torchic","60","1","Peck","10","Fire","Common","Pokemon","Fire, Colorless","Basic","1","bw11-RC5","Fire","2"
"20","Peck","Piplup","60","1","Charm","","Water","Uncommon","Pokemon","Water, Colorless","Basic","1","bw11-RC6","Colorless","2"
"20","Tail Whap","Pikachu","60","1","Thundershock","10","Lightning","Uncommon","Pokemon","Colorless, Colorless","Basic","1","bw11-RC7","Lightning","2"
"20","Pound","Ralts","40","1","Hypnotic Gaze","","Psychic","Common","Pokemon","Psychic, Colorless","Basic","1","bw11-RC8","Psychic","2"
"20×","Double Slap","Kirlia","70","1","Tiptoe Step","","Psychic","Common","Pokemon","Psychic, Colorless","Stage 1","1","bw11-RC9","Psychic","2"
"","Eternal Radiance","Gardevoir","120","2","Psybeam","40","Psychic","Uncommon","Pokemon","Psychic, Psychic","Stage 2","1","bw11-RC10","Psychic, Colorless","2"
"30×","Round","Meloetta-EX","110","2","Brilliant Voice","20","Psychic","Rare","Pokemon","Psychic, Psychic, Psychic","Basic, EX","1","bw11-RC11","Colorless, Colorless","3"
"70","Mud-Slap","Stunfisk","90","1","Attract","","Fighting","Uncommon","Pokemon","Fighting, Fighting, Colorless","Basic","3","bw11-RC12","Fighting","3"
,,"Purrloin","50","1","Captivate","","Darkness","Uncommon","Pokemon",,"Basic","1","bw11-RC13","Darkness",
,,"Eevee","60","1","Surprise Attack","20","Colorless","Uncommon","Pokemon",,"Basic","1","bw11-RC14","Colorless",
"20","Scratch","Teddiursa","60","1","Honey Snack","","Colorless","Common","Pokemon","Colorless, Colorless","Basic","3","bw11-RC15","Colorless","2"
"50×","Fury Swipes","Ursaring","130","2","Picnic Weather","","Colorless","Common","Pokemon","Colorless, Colorless, Colorless, Colorless","Stage 1","3","bw11-RC16","Colorless, Colorless","4"
,,"Audino","80","3","Relaxed Roll","30×","Colorless","Common","Pokemon",,"Basic","2","bw11-RC17","Colorless, Colorless, Colorless",
,,"Minccino","60","1","Tail Slap","10×","Colorless","Common","Pokemon",,"Basic","1","bw11-RC18","Colorless",
,,"Cinccino","90","3","Echoed Voice","50","Colorless","Uncommon","Pokemon",,"Stage 1","1","bw11-RC19","Colorless, Colorless, Colorless",
,,"Elesa",,,,,"","Common","Trainer",,"Supporter","","bw11-RC20",,
