"Name","HP","Attack1_ConvertedEnergyCost","Attack1_Name","Attack1_Damage","Types","Rarity","Supertype","Subtypes","RetreatCost","ID","Attack1_Cost"
"Unown","60","2","Hidden Power","","Psychic","Rare","Pokemon","Basic","1","ex10-R","Colorless, Colorless"
"Unown","60","2","Hidden Power","","Psychic","Rare","Pokemon","Basic","1","ex10-S","Psychic, Psychic"
"Unown","60","2","Hidden Power","","Psychic","Rare","Pokemon","Basic","1","ex10-T","Colorless, Colorless"
"Unown","60","2","Hidden Power","10","Psychic","Rare","Pokemon","Basic","1","ex10-U","Psychic, Colorless"
"Unown","60","3","Hidden Power","20+","Psychic","Rare","Pokemon","Basic","1","ex10-V","Psychic, Colorless, Colorless"
"Unown","60","2","Hidden Power","20","Psychic","Rare","Pokemon","Basic","1","ex10-W","Psychic, Colorless"
"Unown","60","2","Hidden Power","20×","Psychic","Rare","Pokemon","Basic","1","ex10-X","Psychic, Colorless"
"Unown","60","1","Hidden Power","10","Psychic","Rare","Pokemon","Basic","1","ex10-Y","Colorless"
"Unown","60","1","Hidden Power","","Psychic","Rare","Pokemon","Basic","1","ex10-Z","Psychic"
"Unown","60","1","Hidden Power","","Psychic","Rare","Pokemon","Basic","1","ex10-!","Colorless"
"Unown","60","1","Hidden Power","","Psychic","Rare","Pokemon","Basic","1","ex10-?","Colorless"
