"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity"
"swsh2-86","Milcery","Pokemon","Basic","50","Psychic","Colorless","Common"
"swsh2-87","Alcremie","Pokemon","Stage 1","110","Psychic","Colorless","Rare"
"swsh2-88","Indeedee","Pokemon","Basic","100","Psychic","Colorless","Uncommon"
"swsh2-89","Dreepy","Pokemon","Basic","60","Psychic","Colorless","Common"
"swsh2-90","Drakloak","Pokemon","Stage 1","90","Psychic","Colorless","Uncommon"
"swsh2-91","Dragapult","Pokemon","Stage 2","150","Psychic","","Rare Holo"
"swsh2-94","Galarian Farfetch'd","Pokemon","Basic","80","Fighting","Colorless","Common"
"swsh2-95","Galarian Sirfetch'd","Pokemon","Stage 1","130","Fighting","Colorless, Colorless","Rare Holo"
"swsh2-96","Nosepass","Pokemon","Basic","80","Fighting","Colorless, Colorless, Colorless","Common"
"swsh2-97","Meditite","Pokemon","Basic","70","Fighting","Colorless","Common"
"swsh2-98","Medicham","Pokemon","Stage 1","110","Fighting","Colorless","Uncommon"
"swsh2-99","Barboach","Pokemon","Basic","70","Fighting","Colorless, Colorless","Common"
"swsh2-100","Whiscash","Pokemon","Stage 1","140","Fighting","Colorless, Colorless, Colorless","Rare"
"swsh2-101","Galarian Yamask","Pokemon","Basic","70","Fighting","Colorless, Colorless","Common"
"swsh2-102","Galarian Runerigus","Pokemon","Stage 1","100","Fighting","Colorless, Colorless","Rare"
"swsh2-103","Binacle","Pokemon","Basic","80","Fighting","Colorless, Colorless","Common"
"swsh2-104","Barbaracle","Pokemon","Stage 1","120","Fighting","Colorless, Colorless, Colorless","Rare"
"swsh2-105","Rolycoly","Pokemon","Basic","70","Fighting","Colorless, Colorless","Common"
"swsh2-106","Carkol","Pokemon","Stage 1","100","Fighting","Colorless, Colorless, Colorless","Uncommon"
"swsh2-107","Coalossal","Pokemon","Stage 2","160","Fighting","Colorless, Colorless, Colorless, Colorless","Rare Holo"
"swsh2-109","Falinks","Pokemon","Basic","90","Fighting","Colorless","Uncommon"
"swsh2-111","Stonjourner","Pokemon","Basic","140","Fighting","Colorless, Colorless, Colorless, Colorless","Rare Holo"
"swsh2-112","Koffing","Pokemon","Basic","70","Darkness","Colorless","Common"
"swsh2-113","Galarian Weezing","Pokemon","Stage 1","130","Darkness","Colorless, Colorless, Colorless","Rare Holo"
"swsh2-114","Stunky","Pokemon","Basic","70","Darkness","Colorless, Colorless","Common"
"swsh2-115","Skuntank","Pokemon","Stage 1","120","Darkness","Colorless, Colorless, Colorless","Uncommon"
"swsh2-116","Spiritomb","Pokemon","Basic","60","Darkness","Colorless, Colorless","Rare"
"swsh2-117","Trubbish","Pokemon","Basic","60","Darkness","Colorless","Common"
"swsh2-118","Garbodor","Pokemon","Stage 1","120","Darkness","Colorless, Colorless","Rare"
"swsh2-119","Vullaby","Pokemon","Basic","60","Darkness","Colorless","Common"
"swsh2-120","Mandibuzz","Pokemon","Stage 1","120","Darkness","Colorless, Colorless","Rare"
"swsh2-123","Impidimp","Pokemon","Basic","70","Darkness","Colorless","Common"
"swsh2-124","Morgrem","Pokemon","Stage 1","90","Darkness","Colorless, Colorless","Uncommon"
"swsh2-125","Grimmsnarl","Pokemon","Stage 2","170","Darkness","Colorless, Colorless, Colorless","Rare Holo"
"swsh2-126","Galarian Meowth","Pokemon","Basic","60","Metal","Colorless, Colorless","Common"
"swsh2-127","Galarian Perrserker","Pokemon","Stage 1","120","Metal","Colorless, Colorless","Rare"
"swsh2-128","Scizor","Pokemon","Stage 1","130","Metal","Colorless","Rare"
"swsh2-129","Bronzor","Pokemon","Basic","60","Metal","Colorless","Common"
"swsh2-130","Bronzong","Pokemon","Stage 1","130","Metal","Colorless, Colorless, Colorless","Uncommon"
"swsh2-131","Probopass","Pokemon","Stage 1","140","Metal","Colorless, Colorless, Colorless, Colorless","Rare"
"swsh2-132","Durant","Pokemon","Basic","100","Metal","Colorless","Uncommon"
"swsh2-133","Honedge","Pokemon","Basic","60","Metal","Colorless","Common"
"swsh2-134","Doublade","Pokemon","Stage 1","90","Metal","Colorless, Colorless","Uncommon"
"swsh2-135","Aegislash","Pokemon","Stage 2","140","Metal","Colorless, Colorless, Colorless","Rare"
"swsh2-138","Duraludon","Pokemon","Basic","130","Metal","Colorless, Colorless","Rare Holo"
"swsh2-139","Zacian","Pokemon","Basic","120","Metal","Colorless, Colorless","Rare"
"swsh2-140","Zamazenta","Pokemon","Basic","120","Metal","Colorless, Colorless","Rare"
"swsh2-141","Snorlax","Pokemon","Basic","150","Colorless","Colorless, Colorless, Colorless, Colorless","Rare"
"swsh2-142","Chatot","Pokemon","Basic","70","Colorless","Colorless","Uncommon"
"swsh2-143","Pidove","Pokemon","Basic","60","Colorless","Colorless","Common"
"swsh2-144","Tranquill","Pokemon","Stage 1","80","Colorless","Colorless","Uncommon"
"swsh2-145","Unfezant","Pokemon","Stage 2","150","Colorless","Colorless","Rare"
"swsh2-146","Bunnelby","Pokemon","Basic","70","Colorless","Colorless","Common"
"swsh2-147","Diggersby","Pokemon","Stage 1","130","Colorless","Colorless, Colorless, Colorless","Rare"
"swsh2-148","Hawlucha","Pokemon","Basic","90","Colorless","Colorless","Uncommon"
"swsh2-149","Stufful","Pokemon","Basic","80","Colorless","Colorless, Colorless","Common"
"swsh2-150","Bewear","Pokemon","Stage 1","140","Colorless","Colorless, Colorless, Colorless","Uncommon"
"swsh2-151","Skwovet","Pokemon","Basic","70","Colorless","Colorless","Common"
"swsh2-152","Greedent","Pokemon","Stage 1","120","Colorless","Colorless","Rare"
"swsh2-154","Boss's Orders","Trainer","Supporter",,"","","Rare Holo"
"swsh2-155","Burning Scarf","Trainer","Pokemon Tool",,"","","Uncommon"
"swsh2-156","Capacious Bucket","Trainer","Item",,"","","Uncommon"
"swsh2-157","Cursed Shovel","Trainer","Pokemon Tool",,"","","Uncommon"
"swsh2-158","Dan","Trainer","Supporter",,"","","Uncommon"
"swsh2-159","Full Heal","Trainer","Item",,"","","Uncommon"
"swsh2-160","Galar Mine","Trainer","Stadium",,"","","Uncommon"
"swsh2-161","Milo","Trainer","Supporter",,"","","Uncommon"
"swsh2-162","Nugget","Trainer","Item",,"","","Uncommon"
"swsh2-163","Oleana","Trainer","Supporter",,"","","Uncommon"
"swsh2-164","Poke Ball","Trainer","Item",,"","","Uncommon"
"swsh2-165","Scoop Up Net","Trainer","Item",,"","","Uncommon"
"swsh2-166","Skyla","Trainer","Supporter",,"","","Uncommon"
"swsh2-167","Sonia","Trainer","Supporter",,"","","Uncommon"
"swsh2-168","Tool Scrapper","Trainer","Item",,"","","Uncommon"
"swsh2-169","Training Court","Trainer","Stadium",,"","","Uncommon"
"swsh2-170","Turffield Stadium","Trainer","Stadium",,"","","Uncommon"
"swsh2-171","Capture Energy","Energy","Special",,"","","Uncommon"
"swsh2-172","Horror Psychic Energy","Energy","Special",,"","","Uncommon"
"swsh2-173","Speed Lightning Energy","Energy","Special",,"","","Uncommon"
"swsh2-174","Twin Energy","Energy","Special",,"","","Uncommon"
