"Attack2_Damage","Attack2_Name","Name","HP","Attack1_ConvertedEnergyCost","Attack1_Name","Attack1_Damage","Types","Rarity","Supertype","Attack2_Cost","Subtypes","RetreatCost","ID","Attack1_Cost","Attack2_ConvertedEnergyCost"
,,"Galvantula","90","1","Spider Thread","40","Lightning","Rare","Pokemon",,"Stage 1","1","sm9-48","Lightning",
"40","Static Shock","Helioptile","60","1","Pound","10","Lightning","Common","Pokemon","Lightning, Colorless, Colorless","Basic","1","sm9-49","Colorless","3"
"90","Volt Switch","Heliolisk","100","1","Random Spark","","Lightning","Uncommon","Pokemon","Lightning, Colorless, Colorless","Stage 1","1","sm9-50","Lightning","3"
"120","Wild Charge","Zeraora","120","1","Slash","20","Lightning","Rare Holo","Pokemon","Lightning, Lightning, Colorless","Basic","1","sm9-52","Colorless","3"
"20","Scratch","Nidoran ♀","60","1","Call for Family","","Psychic","Common","Pokemon","Colorless, Colorless","Basic","1","sm9-54","Colorless","2"
"30","Bite","Nidorina","90","1","Family Rescue","","Psychic","Uncommon","Pokemon","Colorless, Colorless","Stage 1","2","sm9-55","Colorless","2"
,,"Nidoqueen","160","3","Power Lariat","10+","Psychic","Rare","Pokemon",,"Stage 2","3","sm9-56","Colorless, Colorless, Colorless",
"20","Horn Attack","Nidoran ♂","60","1","Peck","10","Psychic","Common","Pokemon","Psychic, Colorless","Basic","1","sm9-57","Colorless","2"
"60","Horn Drill","Nidorino","90","1","Peck","20","Psychic","Uncommon","Pokemon","Psychic, Colorless, Colorless","Stage 1","2","sm9-58","Colorless","3"
"100+","King's Drum","Nidoking","160","2","Drag Off","","Psychic","Rare","Pokemon","Psychic, Colorless, Colorless","Stage 2","3","sm9-59","Colorless, Colorless","3"
,,"Tentacool","60","1","Wrap","10","Psychic","Common","Pokemon",,"Basic","1","sm9-60","Colorless",
"70","Paranormal","Tentacruel","100","1","Void Tentacles","","Psychic","Uncommon","Pokemon","Psychic, Colorless, Colorless","Stage 1","1","sm9-61","Colorless","3"
,,"Grimer","80","1","Pound","10","Psychic","Common","Pokemon",,"Basic","2","sm9-62","Colorless",
,,"Muk","130","1","Toxic Secretion","40","Psychic","Rare","Pokemon",,"Stage 1","4","sm9-63","Psychic",
"20×","Alolan Club","Alolan Marowak","120","0","Limbo Limbo","","Psychic","Rare","Pokemon","Colorless, Colorless","Stage 1","2","sm9-64","","2"
,,"Starmie","80","1","Strange Wave","40","Psychic","Rare","Pokemon",,"Stage 1","","sm9-65","Colorless",
,,"Mr. Mime","80","2","Psy Bolt","20","Psychic","Rare","Pokemon",,"Basic","1","sm9-66","Colorless, Colorless",
"","Mysterious Dance","Jynx","90","1","Dazzle Dance","","Psychic","Uncommon","Pokemon","Psychic, Colorless","Basic","1","sm9-68","Colorless","2"
,,"Cosmog","50","1","Mumble","10","Psychic","Common","Pokemon",,"Basic","1","sm9-69","Colorless",
,,"Cosmoem","100","1","Nap","","Psychic","Uncommon","Pokemon",,"Stage 1","3","sm9-70","Colorless",
"30","Low Kick","Mankey","50","1","Scout","","Fighting","Common","Pokemon","Fighting, Colorless","Basic","1","sm9-71","Colorless","2"
"80+","Wreck","Primeape","90","1","Low Kick","30","Fighting","Rare","Pokemon","Fighting, Colorless, Colorless","Stage 1","1","sm9-72","Fighting","3"
"90","Mega Kick","Hitmonlee","100","1","Special Combo","","Fighting","Uncommon","Pokemon","Fighting, Fighting, Colorless","Basic","1","sm9-73","Fighting","3"
"70","Magnum Punch","Hitmonchan","90","1","Hit and Run","30","Fighting","Uncommon","Pokemon","Fighting, Colorless, Colorless","Basic","1","sm9-74","Fighting","3"
,,"Omanyte","90","1","Tickle","30","Fighting","Uncommon","Pokemon",,"Stage 1","1","sm9-75","Colorless",
,,"Omastar","130","2","Bite","60","Fighting","Rare Holo","Pokemon",,"Stage 2","2","sm9-76","Fighting, Colorless",
,,"Kabuto","90","1","Ramming Shell","40","Fighting","Uncommon","Pokemon",,"Stage 1","1","sm9-77","Fighting",
,,"Kabutops","140","3","Rock Slide","80","Fighting","Rare","Pokemon",,"Stage 2","2","sm9-78","Fighting, Colorless, Colorless",
,,"Larvitar","70","2","Chip Away","30","Fighting","Common","Pokemon",,"Basic","2","sm9-79","Colorless, Colorless",
,,"Pupitar","80","2","Payback","30+","Fighting","Uncommon","Pokemon",,"Stage 1","1","sm9-80","Colorless, Colorless",
,,"Pancham","60","2","Arm Thrust","40","Fighting","Common","Pokemon",,"Basic","2","sm9-81","Colorless, Colorless",
,,"Alolan Grimer","70","2","Chemical Breath","20+","Darkness","Common","Pokemon",,"Basic","3","sm9-83","Colorless, Colorless",
,,"Alolan Muk","120","3","Gunk Shot","80","Darkness","Rare","Pokemon",,"Stage 1","3","sm9-84","Darkness, Colorless, Colorless",
"130+","Bite Off","Tyranitar","170","3","Spinning Tail","","Darkness","Rare Holo","Pokemon","Darkness, Colorless, Colorless, Colorless","Stage 2","4","sm9-85","Darkness, Colorless, Colorless","4"
"10","Bite","Poochyena","70","1","Howl in the Dark","","Darkness","Common","Pokemon","Darkness","Basic","1","sm9-86","Colorless","1"
"50","Dark Fang","Mightyena","100","1","Bite","30","Darkness","Rare","Pokemon","Colorless, Colorless","Stage 1","1","sm9-87","Darkness","2"
,,"Absol","100","3","Shadow Seeker","30+","Darkness","Rare Holo","Pokemon",,"Basic","1","sm9-88","Darkness, Colorless, Colorless",
"20","Spooky Shot","Spiritomb","70","1","Spirit Compressor","","Darkness","Uncommon","Pokemon","Colorless","Basic","1","sm9-89","Colorless","1"
,,"Zorua","60","1","Hide in Shadows","","Darkness","Common","Pokemon",,"Basic","1","sm9-90","Darkness",
"20×","Night Punishment","Zoroark","110","1","Taunt","","Darkness","Rare Holo","Pokemon","Darkness, Colorless, Colorless","Stage 1","2","sm9-91","Darkness","3"
"10","Corkscrew Punch","Vullaby","60","1","Collect","","Darkness","Common","Pokemon","Darkness","Basic","1","sm9-92","Colorless","1"
"120","Brave Bird","Mandibuzz","120","1","Trash Crash","","Darkness","Rare","Pokemon","Darkness, Colorless, Colorless","Stage 1","2","sm9-93","Darkness","3"
"170","Tantrum","Pangoro","140","3","Tighten Up","60","Darkness","Rare","Pokemon","Darkness, Darkness, Colorless, Colorless","Stage 1","4","sm9-94","Darkness, Colorless, Colorless","4"
"60","Clutch","Yveltal","110","1","Derail","30","Darkness","Rare Holo","Pokemon","Darkness, Darkness","Basic","","sm9-95","Darkness","2"
"90","Steel Wing","Skarmory","110","2","Calm Strike","20+","Metal","Rare","Pokemon","Metal, Metal, Colorless","Basic","1","sm9-98","Metal, Colorless","3"
,,"Jirachi","70","2","Slap","30","Metal","Rare Holo","Pokemon",,"Basic","1","sm9-99","Metal, Colorless",
,,"Bronzor","50","2","Tackle","20","Metal","Common","Pokemon",,"Basic","1","sm9-100","Metal, Colorless",
,,"Bronzong","130","3","Shady Stamp","70","Metal","Rare","Pokemon",,"Stage 1","3","sm9-101","Metal, Colorless, Colorless",
,,"Ferroseed","60","1","Continuous Tumble","20×","Metal","Common","Pokemon",,"Basic","3","sm9-102","Metal",
"80","Thorn Pod Throw","Ferrothorn","120","1","Guard Press","20","Metal","Rare","Pokemon","Colorless, Colorless, Colorless","Stage 1","3","sm9-103","Metal","3"
"20","Scratch","Pawniard","60","1","Rigidify","","Metal","Common","Pokemon","Colorless, Colorless","Basic","1","sm9-104","Metal","2"
"90","Power Edge","Bisharp","110","1","Single Lunge","30+","Metal","Rare","Pokemon","Metal, Colorless, Colorless","Stage 1","2","sm9-105","Metal","3"
,,"Honedge","60","1","Cut Down","","Metal","Common","Pokemon",,"Basic","2","sm9-107","Metal",
,,"Doublade","90","2","Tool Drop","30×","Metal","Uncommon","Pokemon",,"Stage 1","2","sm9-108","Colorless, Colorless",
,,"Aegislash","140","3","Shield Bash","100","Metal","Rare Holo","Pokemon",,"Stage 2","3","sm9-109","Metal, Colorless, Colorless",
,,"Klefki","60","2","Ram","30","Metal","Common","Pokemon",,"Basic","1","sm9-110","Metal, Colorless",
,,"Alolan Ninetales","110","3","Aurora Beam","80","Fairy","Rare Holo","Pokemon",,"Stage 1","1","sm9-111","Fairy, Colorless, Colorless",
"","Copycat","Mimikyu","70","1","Filch","","Fairy","Rare","Pokemon","Fairy, Colorless","Basic","1","sm9-112","Colorless","2"
,,"Alolan Exeggutor","160","1","Tropical Shake","20+","Dragon","Rare","Pokemon",,"Stage 1","3","sm9-114","Grass",
"60×","Egg Splat","Alolan Exeggutor","160","0","Paradise Draw","","Dragon","Rare","Pokemon","Grass, Colorless","Stage 1","4","sm9-115","","2"
,,"Dratini","60","1","Dragon Rage","60","Dragon","Common","Pokemon",,"Basic","2","sm9-116","Lightning",
,,"Dratini","70","1","Rain Splash","10","Dragon","Common","Pokemon",,"Basic","2","sm9-117","Water",
,,"Dragonair","90","2","Twister","30","Dragon","Uncommon","Pokemon",,"Stage 1","2","sm9-118","Water, Lightning",
,,"Dragonite","160","3","Dragon Claw","120","Dragon","Rare Holo","Pokemon",,"Stage 2","3","sm9-119","Water, Lightning, Colorless",
"20","Gust","Pidgey","50","1","Collect","","Colorless","Common","Pokemon","Colorless, Colorless","Basic","1","sm9-121","Colorless","2"
,,"Pidgey","60","1","Quick Attack","10+","Colorless","Common","Pokemon",,"Basic","1","sm9-122","Colorless",
,,"Pidgeotto","60","2","Gust","30","Colorless","Common","Pokemon",,"Stage 1","1","sm9-123","Colorless, Colorless",
"","Spin Storm","Pidgeot","130","2","Whirlwind","60","Colorless","Rare","Pokemon","Colorless, Colorless, Colorless","Stage 2","","sm9-124","Colorless, Colorless","3"
"20","Bite","Meowth","70","1","Scratch","10","Colorless","Common","Pokemon","Colorless, Colorless","Basic","1","sm9-125","Colorless","2"
"30+","Sharp Claws","Persian","100","1","Make 'Em Pay","20","Colorless","Uncommon","Pokemon","Colorless, Colorless","Stage 1","1","sm9-126","Colorless","2"
"20+","Tool Buster","Farfetch'd","80","1","Collect","","Colorless","Uncommon","Pokemon","Colorless","Basic","1","sm9-127","Colorless","1"
"80","Mega Punch","Kangaskhan","130","1","Fast Evolution","","Colorless","Uncommon","Pokemon","Colorless, Colorless, Colorless","Basic","2","sm9-128","Colorless","3"
,,"Tauros","130","2","Raging Herd","10+","Colorless","Uncommon","Pokemon",,"Basic","2","sm9-129","Colorless, Colorless",
"90+","Fossil Fangs","Aerodactyl","130","1","Supersonic","","Colorless","Rare","Pokemon","Colorless, Colorless, Colorless","Stage 1","1","sm9-130","Colorless","3"
"110","Blasting Wind","Lugia","130","1","Power Charger","30","Colorless","Rare Holo","Pokemon","Colorless, Colorless, Colorless, Colorless","Basic","2","sm9-131","Colorless","4"
"40","Slash","Zangoose","100","1","Head Hunt","","Colorless","Rare Holo","Pokemon","Colorless, Colorless","Basic","1","sm9-132","Colorless","2"
,,"Bill's Analysis",,,,,"","Rare Holo","Trainer",,"Supporter","","sm9-133",,
,,"Brock's Grit",,,,,"","Uncommon","Trainer",,"Supporter","","sm9-135",,
,,"Buff Padding",,,,,"","Uncommon","Trainer",,"Pokemon Tool","","sm9-136",,
,,"Dana",,,,,"","Uncommon","Trainer",,"Supporter","","sm9-137",,
,,"Dangerous Drill",,,,,"","Uncommon","Trainer",,"Item","","sm9-138",,
,,"Electrocharger",,,,,"","Uncommon","Trainer",,"Item","","sm9-139",,
,,"Erika's Hospitality",,,,,"","Rare Holo","Trainer",,"Supporter","","sm9-140",,
,,"Evelyn",,,,,"","Uncommon","Trainer",,"Supporter","","sm9-141",,
,,"Fairy Charm UB",,,,,"","Uncommon","Trainer",,"Pokemon Tool","","sm9-142",,
,,"Grass Memory",,,,,"","Uncommon","Trainer",,"Pokemon Tool","","sm9-143",,
,,"Ingo & Emmet",,,,,"","Uncommon","Trainer",,"Supporter","","sm9-144",,
,,"Jasmine",,,,,"","Uncommon","Trainer",,"Supporter","","sm9-145",,
,,"Judge Whistle",,,,,"","Uncommon","Trainer",,"Item","","sm9-146",,
,,"Lavender Town",,,,,"","Uncommon","Trainer",,"Stadium","","sm9-147",,
,,"Metal Goggles",,,,,"","Uncommon","Trainer",,"Pokemon Tool","","sm9-148",,
,,"Morgan",,,,,"","Uncommon","Trainer",,"Supporter","","sm9-149",,
,,"Nanu",,,,,"","Uncommon","Trainer",,"Supporter","","sm9-150",,
,,"Nita",,,,,"","Uncommon","Trainer",,"Supporter","","sm9-151",,
,,"Pokemon Communication",,,,,"","Uncommon","Trainer",,"Item","","sm9-152",,
,,"Pokemon Communication",,,,,"","Uncommon","Trainer",,"Item","","sm9-152a",,
,,"Pokemon Communication",,,,,"","Uncommon","Trainer",,"Item","","sm9-152b",,
,,"Return Label",,,,,"","Uncommon","Trainer",,"Item","","sm9-153",,
,,"Sabrina's Suggestion",,,,,"","Uncommon","Trainer",,"Supporter","","sm9-154",,
,,"Unidentified Fossil","60",,,,"","Uncommon","Trainer",,"Item","","sm9-155",,
,,"Viridian Forest",,,,,"","Uncommon","Trainer",,"Stadium","","sm9-156",,
,,"Water Memory",,,,,"","Uncommon","Trainer",,"Pokemon Tool","","sm9-157",,
