"Attack2_Damage","Attack2_Name","Name","HP","Attack1_ConvertedEnergyCost","Attack1_Name","Attack1_Damage","Types","Rarity","Supertype","Attack2_Cost","Subtypes","RetreatCost","ID","Attack1_Cost","Attack2_ConvertedEnergyCost"
,,"Great Ball",,,,,"","Uncommon","Trainer",,"Item","","ex6-92",,
,,"Life Herb",,,,,"","Uncommon","Trainer",,"Item","","ex6-93",,
,,"Mt. Moon",,,,,"","Uncommon","Trainer",,"Stadium","","ex6-94",,
,,"Poke Ball",,,,,"","Uncommon","Trainer",,"Item","","ex6-95",,
,,"PokeDex HANDY909",,,,,"","Uncommon","Trainer",,"Item","","ex6-96",,
,,"Pokemon Reversal",,,,,"","Uncommon","Trainer",,"Item","","ex6-97",,
,,"Prof. Oak's Research",,,,,"","Uncommon","Trainer",,"Supporter","","ex6-98",,
,,"Super Scoop Up",,,,,"","Uncommon","Trainer",,"Item","","ex6-99",,
,,"VS Seeker",,,,,"","Uncommon","Trainer",,"Item","","ex6-100",,
,,"Potion",,,,,"","Common","Trainer",,"Item","","ex6-101",,
,,"Switch",,,,,"","Common","Trainer",,"Item","","ex6-102",,
,,"Multi Energy",,,,,"","Rare","Energy",,"Special","","ex6-103",,
