"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text"
"gym1-14","Sabrina's Gengar","Pokémon","80","Psychic","","Sabrina's Haunter","14","Ken Sugimori","Rare Holo",,"94",,"https://images.pokemontcg.io/gym1/14.png","https://images.pokemontcg.io/gym1/14_hires.png","Legal",,,"Colorless","1","","","","","","","Pain Amplifier","Psychic","1","","Put a damage counter on each of your opponent's Pokémon has already has any damage counters on it.","Call of the Night","Psychic, Psychic, Psychic","3","40","Unless this attack Knocks Out the Defending Pokémon, flip 2 coins. If both of them are heads, your opponent shuffles his or her Active Pokémon and all cards attached to it into his or her deck."
"gym1-15","Brock","Trainer",,"","",,"15","Ken Sugimori","Rare Holo",,"",,"https://images.pokemontcg.io/gym1/15.png","https://images.pokemontcg.io/gym1/15_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","",""
"gym1-16","Erika","Trainer",,"","",,"16","Ken Sugimori","Rare Holo",,"",,"https://images.pokemontcg.io/gym1/16.png","https://images.pokemontcg.io/gym1/16_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","",""
"gym1-17","Lt. Surge","Trainer",,"","",,"17","Ken Sugimori","Rare Holo",,"",,"https://images.pokemontcg.io/gym1/17.png","https://images.pokemontcg.io/gym1/17_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","",""
"gym1-18","Misty","Trainer",,"","",,"18","Ken Sugimori","Rare Holo",,"",,"https://images.pokemontcg.io/gym1/18.png","https://images.pokemontcg.io/gym1/18_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","",""
"gym1-19","The Rocket's Trap","Trainer",,"","",,"19","Ken Sugimori","Rare Holo",,"",,"https://images.pokemontcg.io/gym1/19.png","https://images.pokemontcg.io/gym1/19_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","",""
"gym1-20","Brock's Golem","Pokémon","90","Fighting","","Brock's Graveler","20","Ken Sugimori","Rare",,"76",,"https://images.pokemontcg.io/gym1/20.png","https://images.pokemontcg.io/gym1/20_hires.png","Legal",,,"Colorless, Colorless, Colorless, Colorless","4","","","","","","","Rock Slide","Fighting, Fighting, Colorless","3","20","If your opponent has any Benched Pokémon, choose up to 3 of them. This attack does 10 damage to each of them. (Don't apply Weakness and Resistance for Benched Pokémon.)","Fissure","Fighting, Fighting, Colorless, Colorless","4","50",""
"gym1-21","Brock's Onix","Pokémon","70","Fighting","Steelix",,"21","Benimaru Itoh","Rare",,"95",,"https://images.pokemontcg.io/gym1/21.png","https://images.pokemontcg.io/gym1/21_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Bind","Fighting, Fighting","2","20","Flip a coin. If heads, the Defending Pokémon is now Paralyzed.","Tunneling","Fighting, Fighting, Fighting","3","","If your opponent has any Benched Pokémon, choose up to 2 of them. This attack does 20 damage to each of them. (Don't apply Weakness and Resistance for Benched Pokémon.) Brock's Onix can't attack during your next turn."
"gym1-22","Brock's Rhyhorn","Pokémon","60","Fighting","Rhydon",,"22","Ken Sugimori","Rare",,"111",,"https://images.pokemontcg.io/gym1/22.png","https://images.pokemontcg.io/gym1/22_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Horn Toss","Colorless, Colorless","2","20","If your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with the Defending Pokémon. (Do the damage before switching the Pokémon.)","Take Down","Fighting, Fighting, Colorless","3","40","Brock's Rhyhorn does 10 damage to itself."
"gym1-23","Brock's Sandslash","Pokémon","60","Fighting","","Brock's Sandshrew","23","Ken Sugimori","Rare",,"28",,"https://images.pokemontcg.io/gym1/23.png","https://images.pokemontcg.io/gym1/23_hires.png","Legal",,,"Colorless","1","","","","","","","Needles","Fighting, Fighting","2","10","Flip a coin. If heads, the Defending Pokémon is now Paralyzed and Poisoned.","Sandstorm","Fighting, Fighting","2","20","If the Defending Pokémon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing."
"gym1-24","Brock's Zubat","Pokémon","30","Grass","Golbat",,"24","Ken Sugimori","Rare",,"41",,"https://images.pokemontcg.io/gym1/24.png","https://images.pokemontcg.io/gym1/24_hires.png","Legal",,,"",,"","","","","","","Alert","Colorless","1","","Draw a card. Then, switch Brock's Zubat with 1 of your Benched Pokémon. You can't use this attack if your Bench is empty.","Wing Attack","Colorless, Colorless","2","20",""
"gym1-25","Erika's Clefairy","Pokémon","50","Colorless","Clefable",,"25","Ken Sugimori","Rare",,"35",,"https://images.pokemontcg.io/gym1/25.png","https://images.pokemontcg.io/gym1/25_hires.png","Legal",,,"Colorless","1","","","","","","","Moonwatching","Colorless","1","","Search your deck for a basic Energy card. Show that card to your opponent, then put it into your hand. Shuffle your deck afterward.","Comet Slap","Colorless, Colorless","2","10×","Flip 3 coins. This attack does 10 damage times the number of heads."
"gym1-26","Erika's Victreebel","Pokémon","80","Grass","","Erika's Weepinbell","26","Ken Sugimori","Rare",,"71",,"https://images.pokemontcg.io/gym1/26.png","https://images.pokemontcg.io/gym1/26_hires.png","Legal",,,"Colorless, Colorless","2","Fragrance Trap","Once during your turn (before your attack), you may flip a coin. If heads, and if your opponent has any Benched Pokémon, choose 1 of them and switch it with his or her Active Pokémon. This power can't be used if Erika's Victreebel is Asleep, Confused, or Paralyzed.","Pokémon Power","","","","Razor Leaf","Grass, Grass, Grass","3","50","","","","","",""
"gym1-27","Lt. Surge's Electabuzz","Pokémon","60","Lightning","Electivire",,"27","Ken Sugimori","Rare",,"125",,"https://images.pokemontcg.io/gym1/27.png","https://images.pokemontcg.io/gym1/27_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Charge","Lightning","1","","Take up to 2 Lightning Energy cards from your discard pile and attach them to Lt. Surge's Electabuzz.","Electric Current","Lightning, Lightning","2","20","Take 1 Lightning Energy card attached to Lt. Surge's Electabuzz and attach it to 1 of your Benched Pokémon. If you have no Benched Pokémon, discard that Energy card."
"gym1-28","Lt. Surge's Raichu","Pokémon","70","Lightning","","Lt. Surge's Pikachu","28","Ken Sugimori","Rare",,"26",,"https://images.pokemontcg.io/gym1/28.png","https://images.pokemontcg.io/gym1/28_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Mega Punch","Lightning, Lightning","2","30","","Thunderbolt","Lightning, Lightning, Lightning, Lightning","4","100","Discard all Energy cards attached to Lt. Surge's Raichu in order to use this attack."
"gym1-29","Misty's Cloyster","Pokémon","70","Water","","Misty's Shellder","29","Ken Sugimori","Rare",,"91",,"https://images.pokemontcg.io/gym1/29.png","https://images.pokemontcg.io/gym1/29_hires.png","Legal",,,"Colorless, Colorless","2","Shell Armor","You may reduce all damage done by attacks to Misty's Cloyster by 10 (after applying Weakness and Resistance). (Any other effects of attacks still happen). This power can't be used if Misty's Cloyster is Asleep, Confused, or Paralyzed.","Pokémon Power","","","","Triple Cannon","Water, Water, Colorless","3","20×","Flip 3 coins. This attack does 20 damage times the number of heads.","","","","",""
"gym1-30","Misty's Goldeen","Pokémon","30","Water","Seaking",,"30","Ken Sugimori","Rare",,"118",,"https://images.pokemontcg.io/gym1/30.png","https://images.pokemontcg.io/gym1/30_hires.png","Legal",,,"",,"","","","","","","Horn Hazard","Water","1","30","Flip a coin. If tails, this attack does nothing.","","","","",""
"gym1-31","Misty's Poliwrath","Pokémon","90","Water","","Misty's Poliwhirl","31","Ken Sugimori","Rare",,"62",,"https://images.pokemontcg.io/gym1/31.png","https://images.pokemontcg.io/gym1/31_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","","","","","","","Water Ring","Water, Water, Colorless, Colorless","4","30","Does 10 damage to each Pokémon that isn't Water on each player's Bench. (Don't apply Weakness and Resistance for Benched Pokémon.)","","","","",""
"gym1-32","Misty's Tentacool","Pokémon","40","Water","Tentacruel",,"32","Ken Sugimori","Rare",,"72",,"https://images.pokemontcg.io/gym1/32.png","https://images.pokemontcg.io/gym1/32_hires.png","Legal",,,"",,"","","","","","","Mysterious Light","Colorless","1","","Flip a coin. If heads, the Defending Pokémon is now Asleep.","Jellyfish Pod","Water, Colorless","2","","Search your deck for any number of Pokémon named Tentacool, Tentacruel, Misty's Tentacool, and/or Misty's Tentacruel. Show those cards to your opponent, then put them into your hand. Shuffle your deck afterward."
"gym1-33","Rocket's Snorlax","Pokémon","90","Colorless","",,"33","Shin-ichi Yoshida","Rare",,"143",,"https://images.pokemontcg.io/gym1/33.png","https://images.pokemontcg.io/gym1/33_hires.png","Legal",,,"Colorless, Colorless, Colorless, Colorless","4","Restless Sleep","If your opponent's attack does damage to Rocket's Snorlax and Rocket's Snorlax is already Asleep (even if it's Knocked Out), this power does 20 damage to the attacking Pokémon.","Pokémon Power","","","","Collapse","Colorless, Colorless, Colorless","3","20","Rocket's Snorlax is now Asleep (after doing damage).","","","","",""
"gym1-34","Sabrina's Venomoth","Pokémon","60","Grass","","Sabrina's Venonat","34","Ken Sugimori","Rare",,"49",,"https://images.pokemontcg.io/gym1/34.png","https://images.pokemontcg.io/gym1/34_hires.png","Legal",,,"",,"","","","","","","Healing Pollen","Grass","1","","Flip 3 coins. For each heads, remove 1 damage counter from each of your Pokémon. If a Pokémon has fewer damage counters than the number of heads, remove all of them.","Sonic Distortion","Psychic","1","10","Flip 2 coins. If 1 or both of them are heads, the Defending Pokémon is now Confused."
"gym1-35","Blaine's Growlithe","Pokémon","50","Fire","Arcanine",,"35","Ken Sugimori","Uncommon",,"58",,"https://images.pokemontcg.io/gym1/35.png","https://images.pokemontcg.io/gym1/35_hires.png","Legal",,,"Colorless","1","","","","","","","Shake","Colorless","1","10","If your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with the Defending Pokémon. (Do the damage before switching the Pokémon.)","Fire Tackle","Fire, Colorless","2","30","Blaine's Growlithe does 10 damage to itself."
"gym1-36","Blaine's Kangaskhan","Pokémon","80","Colorless","",,"36","Ken Sugimori","Uncommon",,"115",,"https://images.pokemontcg.io/gym1/36.png","https://images.pokemontcg.io/gym1/36_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","","","","","","","Child's Punch","Colorless","1","10","Flip a coin. If tails, this attack does nothing.","One-Two Punch","Colorless, Colorless, Colorless","3","30+","Flip a coin. If heads, this attack does 30 damage plus 10 more damage; if tails, this attack does 30 damage."
"gym1-37","Blaine's Magmar","Pokémon","60","Fire","Magmortar",,"37","Ken Sugimori","Uncommon",,"126",,"https://images.pokemontcg.io/gym1/37.png","https://images.pokemontcg.io/gym1/37_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Firebreathing","Fire","1","10+","Flip a coin. If heads, this attack does 10 damage plus 10 more damage; if tails, this attack does 10 damage.","Lava Burst","Fire, Fire, Fire","3","20×","Discard the top 5 cards of your deck. (If there are fewer than 5 cards in your deck, discard all of them.) This attack does 20 damage for each Fire Energy card you discarded in this way."
"gym1-38","Brock's Geodude","Pokémon","50","Fighting","Graveler",,"38","Atsuko Nishida","Uncommon",,"74",,"https://images.pokemontcg.io/gym1/38.png","https://images.pokemontcg.io/gym1/38_hires.png","Legal",,,"Colorless","1","","","","","","","Tackle","Colorless","1","10","","Lucky Shot","Fighting, Colorless","2","","Choose 1 of your opponent's Benched Pokémon and flip a coin. If heads, this attack does 30 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) This attack can't be used if your opponent has no Benched Pokémon."
"gym1-39","Brock's Golbat","Pokémon","70","Grass","Crobat","Brock's Zubat","39","Ken Sugimori","Uncommon",,"42",,"https://images.pokemontcg.io/gym1/39.png","https://images.pokemontcg.io/gym1/39_hires.png","Legal",,,"Colorless","1","","","","","","","Dive","Colorless","1","20","","Spiral Dive","Colorless, Colorless, Colorless","3","","Does 10 damage to each of your opponent's Pokémon. Don't apply Weakness and Resistance."
"gym1-40","Brock's Graveler","Pokémon","70","Fighting","Golem","Brock's Geodude","40","Ken Sugimori","Uncommon",,"75",,"https://images.pokemontcg.io/gym1/40.png","https://images.pokemontcg.io/gym1/40_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Rock Toss","Fighting, Colorless, Colorless","3","20×","Flip 3 coins. This attack does 20 damage times the number of heads.","","","","",""
"gym1-41","Brock's Lickitung","Pokémon","80","Colorless","Lickilicky",,"41","Ken Sugimori","Uncommon",,"108",,"https://images.pokemontcg.io/gym1/41.png","https://images.pokemontcg.io/gym1/41_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","","","","","","","Tongue Slap","Colorless, Colorless","2","20","","Slam","Colorless, Colorless, Colorless","3","30×","Flip 2 coins. This attack does 30 damage times the number of heads."
"gym1-42","Erika's Dratini","Pokémon","40","Colorless","Dragonair",,"42","Ken Sugimori","Uncommon",,"147",,"https://images.pokemontcg.io/gym1/42.png","https://images.pokemontcg.io/gym1/42_hires.png","Legal",,,"Colorless","1","Strange Barrier","Whenever an attack by a Basic Pokémon (including your own) does 20 or more damage to Erika's Dratini (after applying Weakness and Resistance), reduce that damage to 10. (Any other effects of attacks still happen.) This power stops working while Erika's Dratini is Asleep, Confused, or Paralyzed.","Pokémon Power","","","","Tail Strike","Colorless, Colorless","2","10+","Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.","","","","",""
"gym1-43","Erika's Exeggcute","Pokémon","50","Grass","Exeggutor",,"43","Atsuko Nishida","Uncommon",,"102",,"https://images.pokemontcg.io/gym1/43.png","https://images.pokemontcg.io/gym1/43_hires.png","Legal",,,"Colorless","1","","","","","","","Deflector","Psychic","1","","During your opponent's next turn, whenever Erika's Exeggcute takes damage, divide that damage in half (rounded down to the nearest 10). (Any other effects still happen.)","Egg Bomb","Grass, Colorless","2","40","Flip a coin. If tails, this attack does nothing to the Defending Pokémon and Erika's Exeggcute does 20 damage to itself."
"gym1-44","Erika's Exeggutor","Pokémon","70","Grass","","Erika's Exeggcute","44","Ken Sugimori","Uncommon",,"103",,"https://images.pokemontcg.io/gym1/44.png","https://images.pokemontcg.io/gym1/44_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Psychic Exchange","Psychic","1","","Shuffle your hand into your deck, then draw 5 cards.","Stomp","Grass, Colorless, Colorless","3","30+","Flip a coin. If heads, this attack does 30 damage plus 10 more damage; if tails, this attack does 30 damage."
"gym1-45","Erika's Gloom","Pokémon","60","Grass","Vileplume, Bellossom","Erika's Oddish","45","Ken Sugimori","Uncommon",,"44",,"https://images.pokemontcg.io/gym1/45.png","https://images.pokemontcg.io/gym1/45_hires.png","Legal",,,"Colorless","1","","","","","","","Healing Pollen","Grass","1","","Flip a coin. If heads, remove 4 damage counters from Erika's Gloom. If Erika's Gloom has fewer damage counters than that, remove all of them.","Magic Pollen","Grass, Grass, Grass","3","30","Flip a coin. If heads, the Defending Pokémon is now Asleep, Confused, Paralyzed, or Poisoned (your choice)."
"gym1-46","Erika's Gloom","Pokémon","70","Grass","Vileplume, Bellossom","Erika's Oddish","46","Ken Sugimori","Uncommon",,"44",,"https://images.pokemontcg.io/gym1/46.png","https://images.pokemontcg.io/gym1/46_hires.png","Legal",,,"Colorless","1","","","","","","","Dream Dance","Grass, Colorless","2","10","Both the Defending Pokémon and Erika's Gloom are now Asleep (after doing damage).","Vile Smell","Grass, Grass, Colorless","3","30","Both the Defending Pokémon and Erika's Gloom are now Confused (after doing damage)."
"gym1-47","Erika's Oddish","Pokémon","40","Grass","Gloom",,"47","Atsuko Nishida","Uncommon",,"43",,"https://images.pokemontcg.io/gym1/47.png","https://images.pokemontcg.io/gym1/47_hires.png","Legal",,,"Colorless","1","Photosynthesis","All Energy cards attached to Erika's Oddish provide Grass Energy instead of their usual type. This power works even while Erika's Oddish is Asleep, Confused, or Paralyzed.","Pokémon Power","","","","Poisonpowder","Grass, Grass","2","20","Flip a coin. If heads, the Defending Pokémon is now Poisoned.","","","","",""
"gym1-48","Erika's Weepinbell","Pokémon","60","Grass","Victreebel","Erika's Bellsprout","48","Atsuko Nishida","Uncommon",,"70",,"https://images.pokemontcg.io/gym1/48.png","https://images.pokemontcg.io/gym1/48_hires.png","Legal",,,"Colorless","1","","","","","","","Drool","Grass","1","10","","Flytrap","Grass, Grass","2","20","Before doing damage, choose 1 of your opponent's Benched Pokémon and switch it with his or her Active Pokémon. This attack can't be used if your opponent has no Benched Pokémon."
"gym1-49","Erika's Weepinbell","Pokémon","70","Grass","Victreebel","Erika's Bellsprout","49","Ken Sugimori","Uncommon",,"70",,"https://images.pokemontcg.io/gym1/49.png","https://images.pokemontcg.io/gym1/49_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Sleep Poison","Grass, Colorless","2","","The Defending Pokémon is now Asleep and Poisoned.","Vine Whip","Grass, Grass, Colorless","3","40",""
"gym1-50","Lt. Surge's Magnemite","Pokémon","30","Lightning","Magneton",,"50","Atsuko Nishida","Uncommon",,"81",,"https://images.pokemontcg.io/gym1/50.png","https://images.pokemontcg.io/gym1/50_hires.png","Legal",,,"",,"","","","","","","Removal Pulse","Lightning","1","10","If the Defending Pokémon has any Energy cards attached to it, flip a coin. If heads, choose 1 of those Energy cards and discard it.","Confusion Pulse","Lightning, Lightning","2","20","Flip a coin. If heads, the Defending Pokémon is now Confused."
"gym1-51","Lt. Surge's Raticate","Pokémon","70","Colorless","","Lt. Surge's Rattata","51","Ken Sugimori","Uncommon",,"20",,"https://images.pokemontcg.io/gym1/51.png","https://images.pokemontcg.io/gym1/51_hires.png","Legal",,,"Colorless","1","","","","","","","Super Fang","Colorless","1","?","Does damage to the Defending Pokémon equal to half the Defending Pokémon's remaining HP (rounded up to the nearest 10).","","","","",""
"gym1-52","Lt. Surge's Spearow","Pokémon","30","Colorless","Fearow",,"52","Ken Sugimori","Uncommon",,"21",,"https://images.pokemontcg.io/gym1/52.png","https://images.pokemontcg.io/gym1/52_hires.png","Legal",,,"",,"","","","","","","Drill Peck","Colorless","1","20","","","","","",""
"gym1-53","Misty's Poliwhirl","Pokémon","70","Water","Poliwrath, Politoed","Misty's Poliwag","53","Ken Sugimori","Uncommon",,"61",,"https://images.pokemontcg.io/gym1/53.png","https://images.pokemontcg.io/gym1/53_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Rapids","Water, Colorless","2","20","If the Defending Pokémon has any Energy cards attached to it, flip a coin. If heads, choose 1 of those Energy cards and discard it.","Water Punch","Colorless, Colorless, Colorless","3","30+","Flip a number of coins equal to the number of Water Energy attached to Misty's Poliwhirl. This attack does 30 damage plus 10 damage for each heads."
"gym1-54","Misty's Psyduck","Pokémon","50","Water","Golduck",,"54","Atsuko Nishida","Uncommon",,"54",,"https://images.pokemontcg.io/gym1/54.png","https://images.pokemontcg.io/gym1/54_hires.png","Legal",,,"Colorless","1","","","","","","","Scratch","Colorless","1","10","","Call for Friend","Water","1","","Flip a coin. If heads, you may search your deck for a Basic Pokémon with Misty in its name and put it onto your Bench. (You can't use this attack if your Bench is full.) Shuffle your deck afterward."
"gym1-55","Misty's Seaking","Pokémon","70","Water","","Misty's Goldeen","55","Ken Sugimori","Uncommon",,"119",,"https://images.pokemontcg.io/gym1/55.png","https://images.pokemontcg.io/gym1/55_hires.png","Legal",,,"Colorless","1","","","","","","","Horn Attack","Water","1","10","","Mud Splash","Water, Water","2","30","If your opponent has any Benched Pokémon, choose 1 of them and flip a coin. If heads, this attack does 10 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)"
