"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity"
"sm3-59","Espurr","Pokemon","Basic","60","Psychic","Colorless","Common"
"sm3-60","Meowstic","Pokemon","Stage 1","90","Psychic","Colorless","Rare"
"sm3-61","Sandygast","Pokemon","Basic","80","Psychic","Colorless, Colorless, Colorless","Common"
"sm3-62","Palossand","Pokemon","Stage 1","130","Psychic","Colorless, Colorless, Colorless, Colorless","Rare Holo"
"sm3-63","Necrozma-GX","Pokemon","Basic, GX","180","Psychic","Colorless, Colorless","Rare Holo GX"
"sm3-64","Machamp-GX","Pokemon","Stage 2, GX","250","Fighting","Colorless, Colorless, Colorless","Rare Holo GX"
"sm3-65","Rhyhorn","Pokemon","Basic","80","Fighting","Colorless, Colorless, Colorless","Common"
"sm3-66","Rhydon","Pokemon","Stage 1","110","Fighting","Colorless, Colorless, Colorless, Colorless","Uncommon"
"sm3-67","Rhyperior","Pokemon","Stage 2","160","Fighting","Colorless, Colorless, Colorless, Colorless","Rare Holo"
"sm3-68","Lunatone","Pokemon","Basic","90","Fighting","Colorless, Colorless","Uncommon"
"sm3-69","Solrock","Pokemon","Basic","90","Fighting","Colorless","Uncommon"
"sm3-70","Riolu","Pokemon","Basic","70","Fighting","Colorless","Common"
"sm3-71","Lucario","Pokemon","Stage 1","120","Fighting","Colorless","Rare Holo"
"sm3-72","Sawk","Pokemon","Basic","90","Fighting","Colorless, Colorless","Common"
"sm3-73","Crabrawler","Pokemon","Basic","80","Fighting","Colorless, Colorless","Common"
"sm3-74","Crabominable","Pokemon","Stage 1","140","Fighting","Colorless, Colorless, Colorless, Colorless","Rare"
"sm3-75","Lycanroc","Pokemon","Stage 1","110","Fighting","Colorless, Colorless","Rare Holo"
"sm3-76","Lycanroc","Pokemon","Stage 1","110","Fighting","Colorless, Colorless","Rare"
"sm3-77","Mudbray","Pokemon","Basic","80","Fighting","Colorless, Colorless","Common"
"sm3-78","Mudsdale","Pokemon","Stage 1","130","Fighting","Colorless, Colorless, Colorless","Rare"
"sm3-79","Passimian","Pokemon","Basic","110","Fighting","Colorless","Rare"
"sm3-80","Marshadow-GX","Pokemon","Basic, GX","150","Fighting","Colorless","Rare Holo GX"
"sm3-81","Alolan Rattata","Pokemon","Basic","40","Darkness","Colorless","Common"
"sm3-82","Alolan Raticate","Pokemon","Stage 1","120","Darkness","Colorless, Colorless, Colorless","Rare"
"sm3-83","Alolan Grimer","Pokemon","Basic","80","Darkness","Colorless, Colorless, Colorless","Common"
"sm3-84","Alolan Muk-GX","Pokemon","Stage 1, GX","220","Darkness","Colorless, Colorless, Colorless, Colorless","Rare Holo GX"
"sm3-85","Sneasel","Pokemon","Basic","70","Darkness","Colorless","Common"
"sm3-86","Weavile","Pokemon","Stage 1","90","Darkness","","Rare"
"sm3-87","Darkrai","Pokemon","Basic","120","Darkness","Colorless, Colorless","Rare Holo"
"sm3-88","Darkrai-GX","Pokemon","Basic, GX","180","Darkness","Colorless, Colorless","Rare Holo GX"
"sm3-88a","Darkrai-GX","Pokemon","Basic, GX","180","Darkness","Colorless, Colorless","Rare Holo GX"
"sm3-89","Inkay","Pokemon","Basic","60","Darkness","Colorless","Common"
"sm3-90","Malamar","Pokemon","Stage 1","100","Darkness","Colorless","Rare"
"sm3-91","Ralts","Pokemon","Basic","60","Fairy","Colorless","Common"
"sm3-92","Kirlia","Pokemon","Stage 1","80","Fairy","Colorless","Uncommon"
"sm3-92a","Kirlia","Pokemon","Stage 1","80","Fairy","Colorless","Uncommon"
"sm3-93","Gardevoir-GX","Pokemon","Stage 2, GX","230","Fairy","Colorless, Colorless","Rare Holo GX"
"sm3-94","Diancie","Pokemon","Basic","90","Fairy","Colorless","Rare Holo"
"sm3-95","Cutiefly","Pokemon","Basic","30","Fairy","","Common"
"sm3-96","Ribombee","Pokemon","Stage 1","70","Fairy","Colorless","Uncommon"
"sm3-97","Morelull","Pokemon","Basic","60","Fairy","Colorless","Common"
"sm3-98","Shiinotic","Pokemon","Stage 1","100","Fairy","Colorless, Colorless","Rare"
"sm3-99","Noivern-GX","Pokemon","Stage 1, GX","200","Dragon","","Rare Holo GX"
"sm3-100","Zygarde","Pokemon","Basic","150","Dragon","Colorless, Colorless, Colorless, Colorless","Rare Holo"
"sm3-101","Meowth","Pokemon","Basic","60","Colorless","Colorless","Common"
"sm3-102","Persian","Pokemon","Stage 1","90","Colorless","Colorless","Rare"
"sm3-103","Porygon","Pokemon","Basic","60","Colorless","Colorless","Common"
"sm3-104","Porygon2","Pokemon","Stage 1","80","Colorless","Colorless","Uncommon"
"sm3-105","Porygon-Z","Pokemon","Stage 2","130","Colorless","Colorless, Colorless","Rare Holo"
"sm3-105a","Porygon-Z","Pokemon","Stage 2","130","Colorless","Colorless, Colorless","Rare Holo"
"sm3-106","Hoothoot","Pokemon","Basic","60","Colorless","Colorless","Common"
"sm3-107","Noctowl","Pokemon","Stage 1","90","Colorless","Colorless","Uncommon"
"sm3-108","Bouffalant","Pokemon","Basic","120","Colorless","Colorless, Colorless","Uncommon"
"sm3-109","Noibat","Pokemon","Basic","50","Colorless","Colorless","Common"
"sm3-110","Stufful","Pokemon","Basic","70","Colorless","Colorless, Colorless","Common"
"sm3-111","Bewear","Pokemon","Stage 1","120","Colorless","Colorless, Colorless","Rare"
"sm3-112","Acerola","Trainer","Supporter",,"","","Uncommon"
"sm3-112a","Acerola","Trainer","Supporter",,"","","Uncommon"
"sm3-113","Bodybuilding Dumbbells","Trainer","Pokemon Tool",,"","","Uncommon"
"sm3-114","Escape Rope","Trainer","Item",,"","","Uncommon"
"sm3-115","Guzma","Trainer","Supporter",,"","","Uncommon"
"sm3-115a","Guzma","Trainer","Supporter",,"","","Uncommon"
"sm3-116","Kiawe","Trainer","Supporter",,"","","Uncommon"
"sm3-116a","Kiawe","Trainer","Supporter",,"","","Uncommon"
"sm3-117","Lana","Trainer","Supporter",,"","","Uncommon"
"sm3-118","Mount Lanakila","Trainer","Stadium",,"","","Uncommon"
"sm3-119","Olivia","Trainer","Supporter",,"","","Uncommon"
"sm3-120","Plumeria","Trainer","Supporter",,"","","Uncommon"
"sm3-121","Po Town","Trainer","Stadium",,"","","Uncommon"
"sm3-122","Rotom Dex Poke Finder Mode","Trainer","Item",,"","","Uncommon"
"sm3-123","Sophocles","Trainer","Supporter",,"","","Uncommon"
"sm3-124","Super Scoop Up","Trainer","Item",,"","","Uncommon"
"sm3-125","Tormenting Spray","Trainer","Item",,"","","Uncommon"
"sm3-126","Weakness Policy","Trainer","Pokemon Tool",,"","","Uncommon"
"sm3-127","Wicke","Trainer","Supporter",,"","","Uncommon"
"sm3-128","Wishful Baton","Trainer","Pokemon Tool",,"","","Uncommon"
"sm3-129","Golisopod-GX","Pokemon","Stage 1, GX","210","Grass","Colorless, Colorless, Colorless","Rare Ultra"
"sm3-130","Tapu Bulu-GX","Pokemon","Basic, GX","180","Grass","Colorless, Colorless, Colorless","Rare Ultra"
"sm3-131","Ho-Oh-GX","Pokemon","Basic, GX","190","Fire","Colorless, Colorless","Rare Ultra"
"sm3-132","Salazzle-GX","Pokemon","Stage 1, GX","200","Fire","Colorless, Colorless","Rare Ultra"
"sm3-133","Tapu Fini-GX","Pokemon","Basic, GX","170","Water","Colorless","Rare Ultra"
"sm3-134","Necrozma-GX","Pokemon","Basic, GX","180","Psychic","Colorless, Colorless","Rare Ultra"
"sm3-135","Machamp-GX","Pokemon","Stage 2, GX","250","Fighting","Colorless, Colorless, Colorless","Rare Ultra"
"sm3-136","Lycanroc-GX","Pokemon","Stage 1, GX","200","Fighting","Colorless","Rare Ultra"
"sm3-137","Marshadow-GX","Pokemon","Basic, GX","150","Fighting","Colorless","Rare Ultra"
"sm3-138","Alolan Muk-GX","Pokemon","Stage 1, GX","220","Darkness","Colorless, Colorless, Colorless, Colorless","Rare Ultra"
"sm3-139","Darkrai-GX","Pokemon","Basic, GX","180","Darkness","Colorless, Colorless","Rare Ultra"
"sm3-140","Gardevoir-GX","Pokemon","Stage 2, GX","230","Fairy","Colorless, Colorless","Rare Ultra"
"sm3-141","Noivern-GX","Pokemon","Stage 1, GX","200","Dragon","","Rare Ultra"
"sm3-142","Acerola","Trainer","Supporter",,"","","Rare Ultra"
"sm3-143","Guzma","Trainer","Supporter",,"","","Rare Ultra"
"sm3-144","Kiawe","Trainer","Supporter",,"","","Rare Ultra"
"sm3-145","Plumeria","Trainer","Supporter",,"","","Rare Ultra"
"sm3-146","Sophocles","Trainer","Supporter",,"","","Rare Ultra"
"sm3-147","Wicke","Trainer","Supporter",,"","","Rare Ultra"
"sm3-148","Golisopod-GX","Pokemon","Stage 1, GX","210","Grass","Colorless, Colorless, Colorless","Rare Rainbow"
"sm3-149","Tapu Bulu-GX","Pokemon","Basic, GX","180","Grass","Colorless, Colorless, Colorless","Rare Rainbow"
"sm3-150","Charizard-GX","Pokemon","Stage 2, GX","250","Fire","Colorless, Colorless","Rare Rainbow"
"sm3-151","Salazzle-GX","Pokemon","Stage 1, GX","200","Fire","Colorless, Colorless","Rare Rainbow"
"sm3-152","Tapu Fini-GX","Pokemon","Basic, GX","170","Water","Colorless","Rare Rainbow"
"sm3-153","Necrozma-GX","Pokemon","Basic, GX","180","Psychic","Colorless, Colorless","Rare Rainbow"
"sm3-154","Machamp-GX","Pokemon","Stage 2, GX","250","Fighting","Colorless, Colorless, Colorless","Rare Rainbow"
"sm3-155","Lycanroc-GX","Pokemon","Stage 1, GX","200","Fighting","Colorless","Rare Rainbow"
"sm3-156","Marshadow-GX","Pokemon","Basic, GX","150","Fighting","Colorless","Rare Rainbow"
"sm3-157","Alolan Muk-GX","Pokemon","Stage 1, GX","220","Darkness","Colorless, Colorless, Colorless, Colorless","Rare Rainbow"
"sm3-158","Darkrai-GX","Pokemon","Basic, GX","180","Darkness","Colorless, Colorless","Rare Rainbow"
"sm3-159","Gardevoir-GX","Pokemon","Stage 2, GX","230","Fairy","Colorless, Colorless","Rare Rainbow"
"sm3-160","Noivern-GX","Pokemon","Stage 1, GX","200","Dragon","","Rare Rainbow"
"sm3-161","Bodybuilding Dumbbells","Trainer","Pokemon Tool",,"","","Rare Secret"
"sm3-162","Choice Band","Trainer","Pokemon Tool",,"","","Rare Secret"
"sm3-163","Escape Rope","Trainer","Item",,"","","Rare Secret"
"sm3-164","Multi Switch","Trainer","Item",,"","","Rare Secret"
"sm3-165","Rescue Stretcher","Trainer","Item",,"","","Rare Secret"
"sm3-166","Super Scoop Up","Trainer","Item",,"","","Rare Secret"
"sm3-167","Fire Energy","Energy","Basic",,"","","Rare Secret"
"sm3-168","Darkness Energy","Energy","Basic",,"","","Rare Secret"
"sm3-169","Fairy Energy","Energy","Basic",,"","","Rare Secret"
