"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity"
"sm3-124","Super Scoop Up","Trainer","Item",,"","","Uncommon"
"sm3-125","Tormenting Spray","Trainer","Item",,"","","Uncommon"
"sm3-126","Weakness Policy","Trainer","Pokémon Tool",,"","","Uncommon"
"sm3-127","Wicke","Trainer","Supporter",,"","","Uncommon"
"sm3-128","Wishful Baton","Trainer","Pokémon Tool",,"","","Uncommon"
"sm3-129","Golisopod-GX","Pokémon","Stage 1, GX","210","Grass","Colorless, Colorless, Colorless","Rare Ultra"
"sm3-130","Tapu Bulu-GX","Pokémon","Basic, GX","180","Grass","Colorless, Colorless, Colorless","Rare Ultra"
"sm3-131","Ho-Oh-GX","Pokémon","Basic, GX","190","Fire","Colorless, Colorless","Rare Ultra"
"sm3-132","Salazzle-GX","Pokémon","Stage 1, GX","200","Fire","Colorless, Colorless","Rare Ultra"
"sm3-133","Tapu Fini-GX","Pokémon","Basic, GX","170","Water","Colorless","Rare Ultra"
"sm3-134","Necrozma-GX","Pokémon","Basic, GX","180","Psychic","Colorless, Colorless","Rare Ultra"
"sm3-135","Machamp-GX","Pokémon","Stage 2, GX","250","Fighting","Colorless, Colorless, Colorless","Rare Ultra"
"sm3-136","Lycanroc-GX","Pokémon","Stage 1, GX","200","Fighting","Colorless","Rare Ultra"
"sm3-137","Marshadow-GX","Pokémon","Basic, GX","150","Fighting","Colorless","Rare Ultra"
"sm3-138","Alolan Muk-GX","Pokémon","Stage 1, GX","220","Darkness","Colorless, Colorless, Colorless, Colorless","Rare Ultra"
"sm3-139","Darkrai-GX","Pokémon","Basic, GX","180","Darkness","Colorless, Colorless","Rare Ultra"
"sm3-140","Gardevoir-GX","Pokémon","Stage 2, GX","230","Fairy","Colorless, Colorless","Rare Ultra"
"sm3-141","Noivern-GX","Pokémon","Stage 1, GX","200","Dragon","","Rare Ultra"
"sm3-142","Acerola","Trainer","Supporter",,"","","Rare Ultra"
"sm3-143","Guzma","Trainer","Supporter",,"","","Rare Ultra"
"sm3-144","Kiawe","Trainer","Supporter",,"","","Rare Ultra"
"sm3-145","Plumeria","Trainer","Supporter",,"","","Rare Ultra"
"sm3-146","Sophocles","Trainer","Supporter",,"","","Rare Ultra"
"sm3-147","Wicke","Trainer","Supporter",,"","","Rare Ultra"
"sm3-148","Golisopod-GX","Pokémon","Stage 1, GX","210","Grass","Colorless, Colorless, Colorless","Rare Rainbow"
"sm3-149","Tapu Bulu-GX","Pokémon","Basic, GX","180","Grass","Colorless, Colorless, Colorless","Rare Rainbow"
"sm3-150","Charizard-GX","Pokémon","Stage 2, GX","250","Fire","Colorless, Colorless","Rare Rainbow"
"sm3-151","Salazzle-GX","Pokémon","Stage 1, GX","200","Fire","Colorless, Colorless","Rare Rainbow"
"sm3-152","Tapu Fini-GX","Pokémon","Basic, GX","170","Water","Colorless","Rare Rainbow"
"sm3-153","Necrozma-GX","Pokémon","Basic, GX","180","Psychic","Colorless, Colorless","Rare Rainbow"
"sm3-154","Machamp-GX","Pokémon","Stage 2, GX","250","Fighting","Colorless, Colorless, Colorless","Rare Rainbow"
"sm3-155","Lycanroc-GX","Pokémon","Stage 1, GX","200","Fighting","Colorless","Rare Rainbow"
"sm3-156","Marshadow-GX","Pokémon","Basic, GX","150","Fighting","Colorless","Rare Rainbow"
"sm3-157","Alolan Muk-GX","Pokémon","Stage 1, GX","220","Darkness","Colorless, Colorless, Colorless, Colorless","Rare Rainbow"
"sm3-158","Darkrai-GX","Pokémon","Basic, GX","180","Darkness","Colorless, Colorless","Rare Rainbow"
"sm3-159","Gardevoir-GX","Pokémon","Stage 2, GX","230","Fairy","Colorless, Colorless","Rare Rainbow"
"sm3-160","Noivern-GX","Pokémon","Stage 1, GX","200","Dragon","","Rare Rainbow"
"sm3-161","Bodybuilding Dumbbells","Trainer","Pokémon Tool",,"","","Rare Secret"
"sm3-162","Choice Band","Trainer","Pokémon Tool",,"","","Rare Secret"
"sm3-163","Escape Rope","Trainer","Item",,"","","Rare Secret"
"sm3-164","Multi Switch","Trainer","Item",,"","","Rare Secret"
"sm3-165","Rescue Stretcher","Trainer","Item",,"","","Rare Secret"
"sm3-166","Super Scoop Up","Trainer","Item",,"","","Rare Secret"
"sm3-167","Fire Energy","Energy","Basic",,"","","Rare Secret"
"sm3-168","Darkness Energy","Energy","Basic",,"","","Rare Secret"
"sm3-169","Fairy Energy","Energy","Basic",,"","","Rare Secret"
