#,id,name,supertype,hp,types,rarity,retreatCost,convertedRetreatCost,AbilityName,AbilityText,Attack1Name,Attack1Cost,Attack1ConvertedCost,Attack1Damage,DamageFormula,Attack1Text
2028,sm75-54,Kommo-o,Pokemon,160,Dragon,Rare Holo,"Colorless, Colorless",2,,,Raging Uppercut,"Fighting, Colorless, Colorless",3,90+,,"If this Pokemon has 8 or more damage counters on it, this attack does 120 more damage."
2426,sm9-130,Aerodactyl,Pokemon,130,Colorless,Rare,Colorless,1,,,Fossil Fangs,"Colorless, Colorless, Colorless",3,90+,,"If you don't have any Pokemon-GX or Pokemon-EX on your Bench, this attack does 90 more damage."
2504,smp-SM64,Silvally,Pokemon,130,Colorless,Promo,Colorless,1,,,X-Scissor,"Colorless, Colorless, Colorless",3,90+,30(H),"Flip a coin. If heads, this attack does 30 more damage."
2547,smp-SM105,Lycanroc,Pokemon,120,Fighting,Promo,"Colorless, Colorless",2,,,Stone Edge,"Fighting, Fighting, Colorless",3,90+,30(H),"Flip a coin. If heads, this attack does 30 more damage."
2567,smp-SM115,Pheromosa,Pokemon,110,Grass,Promo,,0,,,White Ray,"Grass, Grass, Colorless",3,90+,,"If you have only 1 Prize card remaining, this attack does 90 more damage."
2729,sv1-29,Scovillain,Pokemon,110,Grass,Uncommon,Colorless,1,,,Super Spicy Breath,"Grass, Colorless, Colorless",3,90+,,"If this Pokemon has any Fire Energy attached, this attack does 90 more damage."
2891,sv1-142,Revavroom,Pokemon,140,Metal,Rare,"Colorless, Colorless",2,Rumbling Engine,"You must discard an Energy card from your hand in order to use this Ability. Once during your turn, you may draw cards until you have 6 cards in your hand.",Knock Away,"Metal, Colorless, Colorless, Colorless",4,90+,90(H),"Flip a coin. If heads, this attack does 90 more damage."
3073,sv2-105,Tinkaton,Pokemon,140,Psychic,Rare,"Colorless, Colorless",2,Gather Materials,"You must discard a card from your hand in order to use this Ability. Once during your turn, you may draw 3 cards.",Special Hammer,"Psychic, Colorless",2,90+,"90(min(1,?Ea'As'?))","If this Pokemon has any Special Energy attached, this attack does 90 more damage."
3605,sv3pt5-127,Pinsir,Pokemon,120,Grass,Uncommon,"Colorless, Colorless",2,,,Reckless Throw,"Grass, Grass, Colorless",3,90+,,"If you have more Prize cards remaining than your opponent, this attack does 90 more damage."
3616,sv3pt5-134,Vaporeon,Pokemon,130,Water,Rare,"Colorless, Colorless",2,,,Fighting Whirlpool,"Water, Colorless, Colorless",3,90+,,"If your opponent's Active Pokemon is a Pokemon ex or Pokemon V, this attack does 90 more damage."
3618,sv3pt5-135,Jolteon,Pokemon,110,Lightning,Rare,,0,,,Fighting Lightning,"Lightning, Colorless, Colorless",3,90+,,"If your opponent's Active Pokemon is a Pokemon ex or Pokemon V, this attack does 90 more damage."
3620,sv3pt5-136,Flareon,Pokemon,130,Fire,Rare,"Colorless, Colorless",2,,,Fighting Blaze,"Fire, Colorless, Colorless",3,90+,,"If your opponent's Active Pokemon is a Pokemon ex or Pokemon V, this attack does 90 more damage."
3818,sv4-138,Orthworm,Pokemon,140,Metal,Uncommon,"Colorless, Colorless, Colorless",3,,,Crunch-Time Rush,"Metal, Colorless, Colorless",3,90+,,"If there are 3 or fewer cards in your deck, this attack does 150 more damage."
3929,sv4pt5-65,Revavroom,Pokemon,140,Metal,Rare,"Colorless, Colorless",2,Rumbling Engine,"You must discard an Energy card from your hand in order to use this Ability. Once during your turn, you may draw cards until you have 6 cards in your hand.",Knock Away,"Metal, Colorless, Colorless, Colorless",4,90+,,"Flip a coin. If heads, this attack does 90 more damage."
4380,sv6pt5-24,Toxicroak,Pokemon,130,Fighting,Common,Colorless,1,,,Clean Hit,"Fighting, Colorless, Colorless",3,90+,,"If your opponent's Active Pokemon is an Evolution Pokemon, this attack does 90 more damage."
4584,svp-8,Revavroom,Pokemon,140,Metal,Promo,"Colorless, Colorless",2,Rumbling Engine,"You must discard an Energy card from your hand in order to use this Ability. Once during your turn, you may draw cards until you have 6 cards in your hand.",Knock Away,"Metal, Colorless, Colorless, Colorless",4,90+,,"Flip a coin. If heads, this attack does 90 more damage."
4600,svp-20,Tinkaton,Pokemon,140,Psychic,Promo,"Colorless, Colorless",2,Gather Materials,"You must discard a card from your hand in order to use this Ability. Once during your turn, you may draw 3 cards.",Special Hammer,"Psychic, Colorless",2,90+,,"If this Pokemon has any Special Energy attached, this attack does 90 more damage."
4729,swsh1-19,Orbeetle,Pokemon,130,Grass,Rare,Colorless,1,Bug's Radar,"Once during your turn, you may look at the top 3 cards of your opponent's deck and put them back in any order.",Brainwave,"Grass, Colorless",2,90+,,This attack does 30 more damage for each Psychic Energy attached to this Pokemon.
4768,swsh1-44,Kingler,Pokemon,130,Water,Uncommon,"Colorless, Colorless",2,,,Claw Rend,"Water, Colorless, Colorless",3,90+,,"If your opponent's Active Pokemon already has any damage counters on it, this attack does 60 more damage."
4811,swsh1-75,Boltund,Pokemon,130,Lightning,Rare Holo,Colorless,1,,,Fighting Fangs,"Lightning, Colorless, Colorless",3,90+,,"If your opponent's Active Pokemon is a Pokemon V or Pokemon-GX, this attack does 90 more damage."
5541,swsh12pt5-59,Mewtwo,Pokemon,130,Psychic,Rare Holo,"Colorless, Colorless",2,,,Limit Break,"Psychic, Psychic, Colorless",3,90+,,"If your opponent has 3 or fewer Prize cards remaining, this attack does 90 more damage."
5687,swsh2-59,Electivire,Pokemon,140,Lightning,Rare,"Colorless, Colorless, Colorless",3,,,Electrified Bolt,"Lightning, Lightning, Colorless",3,90+,,"If this Pokemon has any Special Energy attached, this attack does 90 more damage."
6078,swsh35-42,Scrafty,Pokemon,120,Darkness,Rare Holo,"Colorless, Colorless",2,,,Bad Brawl,"Darkness, Colorless, Colorless",3,90+,,"If you played Piers from your hand during this turn, this attack does 90 more damage."
6477,swsh5-104,Bisharp,Pokemon,110,Metal,Uncommon,Colorless,1,,,Steel Slice,"Metal, Colorless, Colorless",3,90+,,"If your opponent's Active Pokemon is a Metal Pokemon, this attack does 90 more damage."
6559,swsh6-49,Ampharos,Pokemon,160,Lightning,Rare,"Colorless, Colorless",2,,,Searchlight Tail,"Lightning, Colorless",2,90+,,"Your opponent reveals their hand. If you find any Energy cards there, this attack does 90 more damage."
6616,swsh6-102,Seviper,Pokemon,110,Darkness,Rare,"Colorless, Colorless",2,,,Strong Tail,"Darkness, Darkness, Colorless",3,90+,,"If you played a Single Strike Supporter card from your hand during this turn, this attack does 90 more damage."
7192,swsh9-59,Claydol,Pokemon,110,Psychic,Uncommon,"Colorless, Colorless",2,,,Coinciding Figures,"Psychic, Colorless, Colorless",3,90+,,"If you and your opponent have the same number of Benched Pokemon, this attack does 90 more damage."
7249,swsh9-104,Klinklang,Pokemon,150,Metal,Rare,"Colorless, Colorless, Colorless",3,Gear Wall,Your Basic Pokemon take 20 less damage from attacks from your opponent's Pokemon (after applying Weakness and Resistance).,Tumbling Attack,"Metal, Colorless, Colorless",3,90+,,"Flip a coin. If heads, this attack does 90 more damage."
1520,sm5-12,Carnivine,Pokemon,90,Grass,Common,Colorless,1,,,Loom Over,"Grass, Grass",2,90-,,This attack does 10 less damage for each damage counter on this Pokemon.
2191,sm8-119,Alolan Persian,Pokemon,90,Darkness,Rare,Colorless,1,,,Empty Threat,,0,90-,,This attack does 30 less damage times the amount of Energy attached to your opponent's Active Pokemon.
701,sm12-6,Tangrowth,Pokemon,140,Grass,Uncommon,"Colorless, Colorless, Colorless",3,,,Slam,"Grass, Colorless, Colorless",3,80x,,Flip 2 coins. This attack does 80 damage for each heads.
1020,sm2-42,Alolan Golem,Pokemon,160,Lightning,Rare Holo,"Colorless, Colorless, Colorless, Colorless",4,,,Electromagnetic Rock Wrecker,"Lightning, Colorless, Colorless",3,80x,,Flip a coin for each Lightning Energy attached to this Pokemon. This attack does 80 damage for each heads.
1393,sm4-14,Camerupt,Pokemon,140,Fire,Rare,"Colorless, Colorless, Colorless, Colorless",4,,,Continuous Headbutt,"Fire, Colorless, Colorless",3,80x,,Flip a coin until you get tails. This attack does 80 damage for each heads.
1633,sm5-95,Alolan Exeggutor,Pokemon,130,Dragon,Rare,"Colorless, Colorless, Colorless",3,,,Draco Meteor Barrage,"Grass, Colorless, Colorless",3,80x,,Flip a coin for each Grass Energy attached to this Pokemon. This attack does 80 damage for each heads.
1796,sm6-98,Diggersby,Pokemon,130,Colorless,Uncommon,"Colorless, Colorless, Colorless",3,,,Rock Cannon,"Colorless, Colorless, Colorless, Colorless",4,80x,,Flip a coin until you get tails. This attack does 80 damage for each heads.
2237,sm8-153,Blissey,Pokemon,160,Colorless,Rare Holo,"Colorless, Colorless, Colorless",3,Happiness Supplement,"Once during your turn (before your attack), you may remove a Special Condition from your Active Pokemon.",Powerful Slap,"Colorless, Colorless, Colorless",3,80x,,Flip a coin for each Energy attached to this Pokemon. This attack does 80 damage for each heads.
2724,sv1-26,Toedscruel,Pokemon,120,Grass,Uncommon,"Colorless, Colorless",2,,,Triple Smash,"Grass, Colorless, Colorless",3,80x,,Flip 3 coins. This attack does 80 damage for each heads.
2738,sv1-35,Torkoal,Pokemon,130,Fire,Uncommon,"Colorless, Colorless, Colorless",3,,,Concentrated Fire,"Fire, Colorless, Colorless",3,80x,,Flip a coin for each Fire Energy attached to this Pokemon. This attack does 80 damage for each heads.
3559,sv3pt5-95,Onix,Pokemon,120,Fighting,Uncommon,"Colorless, Colorless, Colorless, Colorless",4,,,Thumpalanche,"Colorless, Colorless",2,80x,,Discard the top 5 cards of your deck. This attack does 80 damage for each Pokemon with a Retreat Cost of exactly 4 that you discarded in this way.
3931,sv4pt5-67,Gholdengo,Pokemon,130,Metal,Rare,"Colorless, Colorless",2,,,Scintillating Surfing,"Metal, Colorless, Colorless",3,80x,,Flip a coin for each Metal Energy attached to this Pokemon. This attack does 80 damage for each heads.
3971,sv5-21,Brambleghast,Pokemon,100,Grass,Rare,"Colorless, Colorless, Colorless",3,Resilient Soul,This Pokemon gets +50 HP for each Prize card your opponent has taken.,Powerful Needles,"Grass, Colorless, Colorless",3,80x,,Flip a coin for each Energy attached to this Pokemon. This attack does 80 damage for each heads.
5440,swsh12-124,Klang,Pokemon,90,Metal,Uncommon,"Colorless, Colorless, Colorless",3,,,Gear Grind,"Metal, Colorless, Colorless",3,80x,,Flip 2 coins. This attack does 80 damage for each heads.
5473,swsh12pt5-3,Bellossom,Pokemon,120,Grass,Rare,Colorless,1,,,Flower Spin,"Grass, Colorless",2,80x,,Flip 3 coins. This attack does 80 damage for each heads. Switch this Pokemon with 1 of your Benched Pokemon.
5775,swsh2-127,Galarian Perrserker,Pokemon,120,Metal,Rare,"Colorless, Colorless",2,,,Claw Dagger,"Metal, Metal, Colorless",3,80x,,Flip 3 coins. This attack does 80 damage for each heads.
5788,swsh2-134,Doublade,Pokemon,90,Metal,Uncommon,"Colorless, Colorless",2,,,Double Slash,"Metal, Metal, Colorless",3,80x,,Flip 2 coins. This attack does 80 damage for each heads.
5953,swsh3-94,Hippowdon,Pokemon,150,Fighting,Rare,"Colorless, Colorless, Colorless, Colorless",4,,,Triple Smash,"Fighting, Fighting, Colorless",3,80x,,Flip 3 coins. This attack does 80 damage for each heads.
6468,swsh5-99,Steelix,Pokemon,190,Metal,Rare Holo,"Colorless, Colorless, Colorless, Colorless",4,,,Steel Swing,"Colorless, Colorless, Colorless",3,80x,,Flip 2 coins. This attack does 80 damage for each heads.
7151,swsh9-26,Infernape,Pokemon,150,Fire,Rare Holo,Colorless,1,,,Infernal Vortex,Fire,1,80x,,"Reveal the top 5 cards of your deck. This attack does 80 damage for each Energy card you find there. Then, discard those Energy cards and shuffle the other cards back into your deck."
50,sm1-32,Poliwrath,Pokemon,150,Water,Rare Holo,"Colorless, Colorless, Colorless",3,,,Wake-Up Slap,"Water, Colorless, Colorless",3,80+,,"If your opponent's Active Pokemon is affected by a Special Condition, this attack does 80 more damage. Then, remove all Special Conditions from that Pokemon."
166,sm1-112,Bewear,Pokemon,130,Colorless,Rare,"Colorless, Colorless, Colorless",3,,,Superpower,"Colorless, Colorless, Colorless",3,80+,,"You may do 40 more damage. If you do, this Pokemon does 20 damage to itself."
449,sm11-45,Carracosta,Pokemon,160,Water,Uncommon,"Colorless, Colorless, Colorless",3,Ancient Custom,Pokemon Tool cards attached to your opponent's Pokemon have no effect.,Aqua Impact,"Fighting, Colorless, Colorless",3,80+,,This attack does 20 more damage for each Colorless in your opponent's Active Pokemon's Retreat Cost.
541,sm11-114,Garchomp,Pokemon,150,Fighting,Rare Holo,,0,Avenging Aura,"If you have more Prize cards remaining than your opponent, this Pokemon's attacks do 80 more damage to your opponent's Active Pokemon (before applying Weakness and Resistance).",Over Slice,"Fighting, Colorless",2,80+,,"You may discard an Energy from this Pokemon. If you do, this attack does 40 more damage."
862,sm12-117,Seismitoad,Pokemon,160,Fighting,Rare,"Colorless, Colorless, Colorless",3,Bulldoze,"Once during your turn (before your attack), you may search your deck for a card, shuffle your deck, then put that card on top of it.",Tremulous Fist,"Fighting, Colorless, Colorless, Colorless",4,80+,,This attack does 30 more damage for each of your Benched Pokemon that has any damage counters on it.
869,sm12-122,Crabominable,Pokemon,140,Fighting,Rare,"Colorless, Colorless, Colorless, Colorless",4,Solid Shell,This Pokemon takes 30 less damage from attacks (after applying Weakness and Resistance).,Freezing Punch,"Fighting, Fighting, Colorless",3,80+,,"If this Pokemon has any Water Energy attached to it, this attack does 80 more damage."
903,sm12-141,Probopass,Pokemon,130,Metal,Uncommon,"Colorless, Colorless, Colorless",3,,,Triple Nose,"Metal, Colorless, Colorless, Colorless",4,80+,,Flip 3 coins. This attack does 40 more damage for each heads.
918,sm12-155,Sylveon,Pokemon,110,Fairy,Rare,"Colorless, Colorless",2,,,Beloved Pulse,"Fairy, Colorless, Colorless",3,80+,,"If you played a TAG TEAM Supporter card from your hand during this turn, this attack does 80 more damage."
969,sm2-9,Golisopod,Pokemon,130,Grass,Rare Holo,"Colorless, Colorless",2,Armor,This Pokemon takes 30 less damage from attacks (after applying Weakness and Resistance).,Resolute Claws,"Grass, Colorless, Colorless",3,80+,,"If your opponent's Active Pokemon is a Pokemon-GX or a Pokemon-EX, this attack does 70 more damage (before applying Weakness and Resistance)."
1196,sm3-46,Eelektross,Pokemon,140,Lightning,Rare,"Colorless, Colorless, Colorless",3,,,Vacuum Bolt,"Lightning, Lightning, Colorless",3,80+,,"You may do 80 more damage. If you do, this attack does 80 damage to 1 of your Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)"
1211,sm3-55,Toxicroak,Pokemon,110,Psychic,Rare,"Colorless, Colorless",2,,,Poison Boost,"Psychic, Psychic, Colorless",3,80+,,"If this Pokemon is Poisoned, this attack does 80 more damage. Then, remove that Special Condition from this Pokemon."
1239,sm3-74,Crabominable,Pokemon,140,Fighting,Rare,"Colorless, Colorless, Colorless, Colorless",4,,,Double Stomp,"Fighting, Fighting, Fighting",3,80+,,Flip 2 coins. This attack does 40 more damage for each heads.
1260,sm3-87,Darkrai,Pokemon,120,Darkness,Rare Holo,"Colorless, Colorless",2,,,Dark Raid,"Darkness, Colorless, Colorless",3,80+,,"If your opponent has already used their GX attack, this attack does 80 more damage."
1528,sm5-19,Magmortar,Pokemon,130,Fire,Rare Holo,"Colorless, Colorless, Colorless",3,Incandescent Body,"If this Pokemon is your Active Pokemon and is damaged by an opponent's attack (even if this Pokemon is Knocked Out), the Attacking Pokemon is now Burned.",Fire Blaster,"Fire, Fire, Colorless",3,80+,,"You may discard 2 Energy from this Pokemon. If you do, this attack does 80 more damage."
1692,sm6-19,Pyroar,Pokemon,120,Fire,Rare Holo,"Colorless, Colorless",2,Unnerve,"Whenever your opponent plays an Item or Supporter card from their hand, prevent all effects of that card done to this Pokemon.",Dominating Fangs,"Fire, Colorless, Colorless",3,80+,,"If Lysandre Labs is in play, this attack does 60 more damage."
1771,sm6-77,Buzzwole,Pokemon,130,Fighting,Rare,"Colorless, Colorless",2,,,Swing Around,"Fighting, Fighting, Colorless",3,80+,,Flip 2 coins. This attack does 20 more damage for each heads.
1773,sm6-78,Pangoro,Pokemon,130,Darkness,Rare,"Colorless, Colorless, Colorless",3,,,Double Stomp,"Darkness, Darkness, Colorless",3,80+,,Flip 2 coins. This attack does 40 more damage for each heads.
1792,sm6-94,Goodra,Pokemon,160,Dragon,Rare Holo,"Colorless, Colorless, Colorless",3,Hydration,"Whenever you attach a Water Energy card from your hand to this Pokemon, heal 20 damage from it.",Soaking Horn,"Water, Fairy, Colorless",3,80+,,"If this Pokemon was healed during this turn, this attack does 80 more damage."
1851,sm7-35,Swampert,Pokemon,160,Water,Rare,"Colorless, Colorless, Colorless",3,Power Draw,"Once during your turn (before your attack), you may discard a card from your hand. If you do, draw 3 cards.",Hydro Pump,"Colorless, Colorless, Colorless",3,80+,,This attack does 20 more damage times the amount of Water Energy attached to this Pokemon.
1896,sm7-70,Lunala,Pokemon,160,Psychic,Rare Holo,"Colorless, Colorless",2,Shadow Shield,"If this Pokemon has any Psychic Energy attached to it, it takes 20 less damage from attacks (after applying Weakness and Resistance).",Full Moon Ray,"Psychic, Psychic, Psychic",3,80+,,This attack does 20 more damage times the amount of Energy attached to your opponent's Active Pokemon.
1927,sm7-89,Steelix,Pokemon,190,Metal,Rare Holo,"Colorless, Colorless, Colorless, Colorless",4,,,Tail Crush,"Metal, Colorless, Colorless",3,80+,,"Flip a coin. If heads, this attack does 40 more damage."
2095,sm8-47,Entei,Pokemon,130,Fire,Rare,"Colorless, Colorless",2,,,Eruption,"Fire, Fire, Colorless",3,80+,,Each player discards the top card of their deck. This attack does 60 more damage for each Energy card discarded in this way.
2116,sm8-63,White Kyurem,Pokemon,130,Water,Rare Holo,"Colorless, Colorless, Colorless",3,,,Freezing Flames,"Water, Water, Colorless",3,80+,,"If this Pokemon has any Fire Energy attached to it, this attack does 80 more damage."
2178,sm8-108,Naganadel,Pokemon,130,Psychic,Rare Holo,Colorless,1,Charging Up,"Once during your turn (before your attack), you may attach a basic Energy card from your discard pile to this Pokemon.",Turning Point,"Colorless, Colorless, Colorless",3,80+,,"If you have exactly 3 Prize cards remaining, this attack does 80 more damage."
2206,sm8-129,Cobalion,Pokemon,120,Metal,Rare Holo,"Colorless, Colorless",2,,,Metal Arms,"Metal, Metal, Colorless",3,80+,,"If this Pokemon has a Pokemon Tool card attached to it, this attack does 40 more damage."
2350,sm9-72,Primeape,Pokemon,90,Fighting,Rare,Colorless,1,,,Wreck,"Fighting, Colorless, Colorless",3,80+,,"If there is any Stadium card in play, this attack does 80 more damage. Then, discard that Stadium card."
2489,smp-SM47,Crabominable,Pokemon,140,Fighting,Promo,"Colorless, Colorless, Colorless, Colorless",4,,,Double Stomp,"Fighting, Fighting, Fighting",3,80+,,Flip 2 coins. This attack does 40 more damage for each heads.
2496,smp-SM52,Golisopod,Pokemon,130,Grass,Promo,"Colorless, Colorless",2,Armor,This Pokemon takes 30 less damage from attacks (after applying Weakness and Resistance).,Resolute Claws,"Grass, Colorless, Colorless",3,80+,,"If your opponent's Active Pokemon is a Pokemon-GX or a Pokemon-EX, this attack does 70 more damage (before applying Weakness and Resistance)."
2580,smp-SM127,Alolan Sandslash,Pokemon,120,Metal,Promo,"Colorless, Colorless",2,,,Tumbling Attack,"Metal, Metal, Colorless",3,80+,,"Flip a coin. If heads, this attack does 40 more damage."
2678,smp-SM237,Leafeon,Pokemon,110,Grass,Promo,"Colorless, Colorless",2,,,Leaf Blade,"Grass, Colorless, Colorless",3,80+,,"Flip a coin. If heads, this attack does 40 more damage."
2839,sv1-106,Houndstone,Pokemon,140,Psychic,Rare,"Colorless, Colorless, Colorless",3,,,Last Respects,"Psychic, Psychic",2,80+,,This attack does 10 more damage for each Psychic Pokemon in your discard pile.
2905,sv1-152,Greedent,Pokemon,120,Colorless,Uncommon,"Colorless, Colorless",2,,,Enhanced Fang,"Colorless, Colorless, Colorless",3,80+,,"If this Pokemon has a Pokemon Tool attached, this attack does 80 more damage."
2980,sv2-43,Gyarados,Pokemon,180,Water,Rare,"Colorless, Colorless, Colorless, Colorless",4,,,Revengeful Storm,"Water, Colorless, Colorless",3,80+,,"If you have more Prize cards remaining than your opponent, this attack does 100 more damage."
2999,sv2-55,Cetitan,Pokemon,180,Water,Uncommon,"Colorless, Colorless, Colorless",3,,,Special Horn,"Water, Water, Colorless",3,80+,,"If this Pokemon has any Special Energy attached, this attack does 140 more damage."
3058,sv2-96,Palossand,Pokemon,150,Psychic,Uncommon,"Colorless, Colorless, Colorless, Colorless",4,,,Earthen Power,"Psychic, Colorless, Colorless",3,80+,,"If you have a Stadium in play, this attack does 80 more damage."
3304,sv3-101,Houndstone,Pokemon,140,Psychic,Uncommon,"Colorless, Colorless, Colorless",3,,,Two Four-ocious,"Psychic, Colorless, Colorless",3,80+,,"If your opponent has exactly 2 or 4 Prize cards remaining, this attack does 120 more damage."
3341,sv3-129,Paldean Clodsire,Pokemon,140,Darkness,Uncommon,"Colorless, Colorless, Colorless",3,,,Venoshock,"Darkness, Colorless, Colorless",3,80+,,"If your opponent's Active Pokemon is Poisoned, this attack does 120 more damage."
3459,sv3pt5-28,Sandslash,Pokemon,120,Fighting,Uncommon,"Colorless, Colorless",2,,,Spike Rend,"Fighting, Colorless, Colorless",3,80+,,"If your opponent's Active Pokemon already has any damage counters on it, this attack does 100 more damage."
3603,sv3pt5-126,Magmar,Pokemon,90,Fire,Common,"Colorless, Colorless",2,,,Flare Combo,"Fire, Fire, Colorless",3,80+,,"If Electabuzz is on your Bench, this attack does 80 more damage."
3691,sv4-40,Palkia,Pokemon,130,Water,Rare,"Colorless, Colorless",2,,,Prize Count,"Water, Colorless, Colorless",3,80+,,"If you have more Prize cards remaining than your opponent, this attack does 80 more damage."
3871,sv4pt5-21,Lanturn,Pokemon,120,Lightning,Uncommon,"Colorless, Colorless",2,,,Aqua Spark,"Lightning, Lightning, Colorless",3,80+,,"If this Pokemon has any Water Energy attached, this attack does 120 more damage."
3899,sv4pt5-43,Houndstone,Pokemon,140,Psychic,Rare,"Colorless, Colorless, Colorless",3,,,Last Respects,"Psychic, Psychic",2,80+,,This attack does 10 more damage for each Psychic Pokemon in your discard pile.
3969,sv5-19,Dhelmise,Pokemon,130,Grass,Uncommon,"Colorless, Colorless, Colorless",3,,,Steel Anchor,"Grass, Grass, Colorless",3,80+,,"If you have any Metal Pokemon on your Bench, this attack does 80 more damage."
4023,sv5-61,Iron Hands,Pokemon,140,Lightning,Uncommon,"Colorless, Colorless, Colorless",3,,,Superalloy Hands,"Lightning, Lightning, Colorless",3,80+,,"If your opponent's Active Pokemon is a Pokemon ex or Pokemon V, this attack does 80 more damage."
4078,sv5-96,Great Tusk,Pokemon,140,Fighting,Uncommon,"Colorless, Colorless, Colorless, Colorless",4,,,Wrathful Charge,"Fighting, Colorless, Colorless",3,80+,,"If your Benched Pokemon have any damage counters on them, this attack does 80 more damage."
4273,sv6-93,Enamorus,Pokemon,120,Psychic,Rare,Colorless,1,,,Love Resonance,"Psychic, Colorless, Colorless",3,80+,,"If any of your Pokemon in play are the same type as any of your opponent's Pokemon in play, this attack does 120 more damage."
4285,sv6-102,Probopass,Pokemon,140,Fighting,Uncommon,"Colorless, Colorless, Colorless",3,,,Assault Laser,"Colorless, Colorless, Colorless",3,80+,,"If your opponent's Active Pokemon has a Pokemon Tool attached, this attack does 80 more damage."
4374,sv6pt5-21,Cresselia,Pokemon,120,Psychic,Rare,Colorless,1,,,Crescent Purge,"Psychic, Psychic, Psychic",3,80+,,"You may turn 1 of your face-down Prize cards face up. If you do, this attack does 80 more damage. (That Prize card remains face up for the rest of the game.)"
4469,sv7-44,Drednaw,Pokemon,140,Water,Rare,"Colorless, Colorless, Colorless",3,Impervious Shell,Prevent all damage done to this Pokemon by attacks from your opponent's Pokemon if that damage is 200 or more.,Hard Crunch,"Colorless, Colorless, Colorless",3,80+,,"If your opponent's Active Pokemon already has any damage counters on it, this attack does 80 more damage."
4553,sv7-106,Duraludon,Pokemon,130,Metal,Common,"Colorless, Colorless",2,,,Raging Hammer,"Metal, Metal, Colorless",3,80+,,This attack does 10 more damage for each damage counter on this Pokemon.
4832,swsh1-94,Hitmonlee,Pokemon,120,Fighting,Uncommon,Colorless,1,,,Coordinated Strike,"Fighting, Fighting, Colorless",3,80+,,"If Hitmonchan is on your Bench, this attack does 80 more damage."
